"hlf0632","year","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","1-Pers.- Haushalt","358","0.37143466415696","0.341605969099345","0.401263359214575"
"0","2017","(Ehe-)Paar ohne Kind(er)","1888","","",""
"0","2017","Alleinerziehende","181","","",""
"0","2017","Paar mit Kind(ern)","2735","","",""
"0","2017","Sonstige","123","","",""
"1","2017","1-Pers.- Haushalt","86","0.0927426404693199","0.0748356417263232","0.110649639212317"
"1","2017","(Ehe-)Paar ohne Kind(er)","422","0.0893496497163081","0.0814494478683665","0.0972498515642497"
"1","2017","Alleinerziehende","48","0.0369008094518237","0.0254708839126781","0.0483307349909693"
"1","2017","Paar mit Kind(ern)","867","0.0648942724675963","0.0604302556200976","0.0693582893150951"
"1","2017","Sonstige","38","0.0784706496604968","0.0557897947125446","0.101151504608449"
"2","2017","1-Pers.- Haushalt","121","","",""
"2","2017","(Ehe-)Paar ohne Kind(er)","588","0.106772934015186","0.0982197570729182","0.115326110957454"
"2","2017","Alleinerziehende","114","","",""
"2","2017","Paar mit Kind(ern)","1348","","",""
"2","2017","Sonstige","95","0.247302324173769","0.210912865292619","0.283691783054918"
"3","2017","1-Pers.- Haushalt","84","0.075646956296864","0.0593227343055441","0.0919711782881839"
"3","2017","(Ehe-)Paar ohne Kind(er)","508","0.0968050887461448","0.0886156193244548","0.104994558167835"
"3","2017","Alleinerziehende","110","","",""
"3","2017","Paar mit Kind(ern)","1262","","",""
"3","2017","Sonstige","50","0.0883914087189804","0.0644494077772229","0.112333409660738"
"4","2017","1-Pers.- Haushalt","56","0.0551526585843892","0.0410603587878461","0.0692449583809323"
"4","2017","(Ehe-)Paar ohne Kind(er)","322","0.0708247654968258","0.0637198761828543","0.0779296548107972"
"4","2017","Alleinerziehende","66","0.0581411772872689","0.0439530602700219","0.072329294304516"
"4","2017","Paar mit Kind(ern)","839","0.0727885268114643","0.0680807794809634","0.0774962741419652"
"4","2017","Sonstige","23","","",""
"5","2017","1-Pers.- Haushalt","119","","",""
"5","2017","(Ehe-)Paar ohne Kind(er)","638","0.145635834217685","0.13586635154048","0.155405316894889"
"5","2017","Alleinerziehende","190","","",""
"5","2017","Paar mit Kind(ern)","2087","","",""
"5","2017","Sonstige","102","","",""
"6","2017","1-Pers.- Haushalt","52","0.0438111068817521","0.0311759166423596","0.0564462971211446"
"6","2017","(Ehe-)Paar ohne Kind(er)","236","","",""
"6","2017","Alleinerziehende","77","0.0499414898306915","0.0367347425024528","0.0631482371589301"
"6","2017","Paar mit Kind(ern)","913","0.0838083211147693","0.0787868724818127","0.0888297697477259"
"6","2017","Sonstige","42","0.0606290770721234","0.0405006311005934","0.0807575230436534"
"7","2017","1-Pers.- Haushalt","47","0.0416485255597299","0.029315204186094","0.0539818469333659"
"7","2017","(Ehe-)Paar ohne Kind(er)","222","","",""
"7","2017","Alleinerziehende","100","","",""
"7","2017","Paar mit Kind(ern)","791","0.0726684812533082","0.0679643131276942","0.0773726493789222"
"7","2017","Sonstige","28","","",""
"8","2017","1-Pers.- Haushalt","52","0.0461134227770956","0.0331661030364504","0.0590607425177407"
"8","2017","(Ehe-)Paar ohne Kind(er)","112","","",""
"8","2017","Alleinerziehende","89","0.0935454145952444","0.0758901503103635","0.111200678880125"
