"hlf0632","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"0","2017","Städtischer Raum","1396","0.357815655255236","0.343320219471691","0.37231109103878"
"0","2017","Ländlicher Raum","723","0.276795632033987","0.260226426962562","0.293364837105413"
"1","2017","Städtischer Raum","318","0.0824151567818889","0.0740994644936811","0.0907308490700967"
"1","2017","Ländlicher Raum","225","0.0795248416103612","0.0695052740228137","0.0895444091979087"
"2","2017","Städtischer Raum","511","0.12167031486999","0.111784946747181","0.131555682992799"
"2","2017","Ländlicher Raum","312","0.105498069244168","0.0941216802496287","0.116874458238708"
"3","2017","Städtischer Raum","390","0.0790465236359561","0.0708876166225474","0.0872054306493649"
"3","2017","Ländlicher Raum","320","0.110569845471204","0.0989562735823105","0.122183417360097"
"4","2017","Städtischer Raum","268","0.0626203736684361","0.0552940292286886","0.0699467181081837"
"4","2017","Ländlicher Raum","189","0.0710469471842799","0.0615329913613599","0.0805609030072"
"5","2017","Städtischer Raum","597","0.139849820399737","0.129361888737004","0.150337752062469"
"5","2017","Ländlicher Raum","468","0.166144206197562","0.152360068194612","0.179928344200511"
"6","2017","Städtischer Raum","251","0.0530485034753755","0.0462709619680361","0.0598260449827148"
"6","2017","Ländlicher Raum","178","0.0570068822668795","0.0484205153482567","0.0655932491855023"
"7","2017","Städtischer Raum","224","0.0484040733396296","0.0419141585817459","0.0548939880975133"
"7","2017","Ländlicher Raum","178","0.0661018578903237","0.0569005804609415","0.0753031353197059"
"8","2017","Städtischer Raum","156","0.0354806649970211","0.0298866568468684","0.0410746731471739"
"8","2017","Ländlicher Raum","136","0.0441136016352495","0.0365089217730572","0.0517182814974418"
"9","2017","Städtischer Raum","50","0.0105650531522913","0.00747332560034693","0.0136567807042356"
"9","2017","Ländlicher Raum","32","0.00991649037246574","0.00624699412867216","0.0135859866162593"
"10","2017","Städtischer Raum","40","0.00908386042443919","0.00621489425208381","0.0119528265967946"
"10","2017","Ländlicher Raum","40","0.0132816260935194","0.00904213459050649","0.0175211175965323"
"0","2018","Städtischer Raum","1306","0.343039034044293","0.328411311797268","0.357666756291318"
"0","2018","Ländlicher Raum","732","0.296573154138912","0.279287170733973","0.31385913754385"
"1","2018","Städtischer Raum","365","0.0900670535492949","0.0812459519425363","0.0988881551560536"
"1","2018","Ländlicher Raum","191","0.0659231863286187","0.056531813210271","0.0753145594469664"
"2","2018","Städtischer Raum","467","0.113765127020162","0.103981178757362","0.123549075282962"
"2","2018","Ländlicher Raum","300","0.107543297045041","0.0958185372101915","0.11926805687989"
"3","2018","Städtischer Raum","423","0.104193056570315","0.09477932623836","0.113606786902271"
"3","2018","Ländlicher Raum","276","0.103772757940267","0.0922310666434016","0.115314449237133"
"4","2018","Städtischer Raum","271","0.0717206926818096","0.0637701509000135","0.0796712344636057"
"4","2018","Ländlicher Raum","196","0.0731865616643119","0.0633298843824805","0.0830432389461432"
"5","2018","Städtischer Raum","526","0.119081212954928","0.109101346893407","0.129061079016449"
"5","2018","Ländlicher Raum","426","0.159182953877017","0.145337163957889","0.173028743796145"
"6","2018","Städtischer Raum","229","0.0564716455978072","0.0493590543434162","0.0635842368521983"
"6","2018","Ländlicher Raum","171","0.06014762089022","0.0511493771350547","0.0691458646453853"
"7","2018","Städtischer Raum","230","0.0482667939367744","0.0416626430214018","0.054870944852147"
"7","2018","Ländlicher Raum","199","0.0696540624291012","0.0600198955998102","0.0792882292583921"
