"ple0162","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2012","(noch) kein Abschluss","227","","",""
"Ja","2012","Hauptschule","3603","0.950178415726578","0.943267891906359","0.957088939546797"
"Ja","2012","Realschule","2204","","",""
"Ja","2012","(Fach-)Abitur","770","0.917579824179185","0.898938204281699","0.93622144407667"
"Ja","2012","AkademikerIn","1545","","",""
"Nein","2012","(noch) kein Abschluss","22","","",""
"Nein","2012","Hauptschule","205","","",""
"Nein","2012","Realschule","165","","",""
"Nein","2012","(Fach-)Abitur","66","0.0824201758208155","0.0637785559233303","0.101061795718301"
"Nein","2012","AkademikerIn","128","","",""
"Ja","2013","(noch) kein Abschluss","328","0.954644395713803","0.932687302987514","0.976601488440092"
"Ja","2013","Hauptschule","3578","0.953350380258745","0.946621310749079","0.960079449768412"
"Ja","2013","Realschule","2142","","",""
"Ja","2013","(Fach-)Abitur","909","0.920467372441293","0.903501442320338","0.937433302562248"
"Ja","2013","AkademikerIn","1486","","",""
"Nein","2013","(noch) kein Abschluss","17","","",""
"Nein","2013","Hauptschule","195","","",""
"Nein","2013","Realschule","159","","",""
"Nein","2013","(Fach-)Abitur","68","0.0795326275587067","0.0625666974377516","0.0964985576796618"
"Nein","2013","AkademikerIn","127","","",""
"Ja","2014","(noch) kein Abschluss","","","",""
"Ja","2014","Hauptschule","","","",""
"Ja","2014","Realschule","","","",""
"Ja","2014","(Fach-)Abitur","","","",""
"Ja","2014","AkademikerIn","","","",""
"Nein","2014","(noch) kein Abschluss","","","",""
"Nein","2014","Hauptschule","","","",""
"Nein","2014","Realschule","","","",""
"Nein","2014","(Fach-)Abitur","","","",""
"Nein","2014","AkademikerIn","","","",""
"Ja","2015","(noch) kein Abschluss","266","","",""
"Ja","2015","Hauptschule","3170","0.914383764780167","0.905013321855896","0.923754207704437"
"Ja","2015","Realschule","1967","","",""
"Ja","2015","(Fach-)Abitur","857","0.868369293984481","0.846881656573048","0.889856931395915"
"Ja","2015","AkademikerIn","1412","","",""
"Nein","2015","(noch) kein Abschluss","30","0.0764043227162841","0.0461420077916004","0.106666637640968"
"Nein","2015","Hauptschule","255","","",""
"Nein","2015","Realschule","229","","",""
"Nein","2015","(Fach-)Abitur","94","0.131630706015519","0.110143068604085","0.153118343426952"
"Nein","2015","AkademikerIn","183","","",""
"Ja","2016","(noch) kein Abschluss","220","","",""
"Ja","2016","Hauptschule","101","","",""
"Ja","2016","Realschule","","","",""
"Ja","2016","(Fach-)Abitur","79","0.811127111747973","0.732002164414999","0.890252059080948"
"Ja","2016","AkademikerIn","62","0.666797923141819","0.56717716683972","0.766418679443919"
"Nein","2016","(noch) kein Abschluss","48","0.168387015328327","0.123585198674355","0.213188831982298"
"Nein","2016","Hauptschule","31","0.203508740809068","0.13482670398284","0.272190777635297"
"Nein","2016","Realschule","","","",""
"Nein","2016","(Fach-)Abitur","15","","",""
"Nein","2016","AkademikerIn","24","","",""
"Ja","2017","(noch) kein Abschluss","410","0.950492706674077","0.930450256154591","0.970535157193562"
"Ja","2017","Hauptschule","3071","0.960239270426322","0.95348925902184","0.966989281830804"
"Ja","2017","Realschule","2170","","",""
"Ja","2017","(Fach-)Abitur","956","0.920607137102434","0.904152564244437","0.93706170996043"
"Ja","2017","AkademikerIn","1517","","",""
"Nein","2017","(noch) kein Abschluss","40","0.0495072933259233","0.029464842806438","0.0695497438454086"
"Nein","2017","Hauptschule","148","","",""
"Nein","2017","Realschule","103","","",""
"Nein","2017","(Fach-)Abitur","81","0.0793928628975662","0.0629382900395698","0.0958474357555627"
"Nein","2017","AkademikerIn","137","","",""
"Ja","2018","(noch) kein Abschluss","27","","",""
"Ja","2018","Hauptschule","9","0.201995304051599","-0.00118229388636687","0.405172901989564"
"Ja","2018","Realschule","","","",""
"Ja","2018","(Fach-)Abitur","10","","",""
"Ja","2018","AkademikerIn","6","0.472866780339536","0.126901359633634","0.818832201045437"
"Nein","2018","(noch) kein Abschluss","7","0.276742129043054","0.126361168094577","0.427123089991531"
"Nein","2018","Hauptschule","6","0.798004695948402","0.594827098010436","1.00118229388637"
"Nein","2018","Realschule","","","",""
"Nein","2018","(Fach-)Abitur","2","","",""
"Nein","2018","AkademikerIn","2","","",""
"Ja","2019","(noch) kein Abschluss","486","0.931317572969776","0.910161569267011","0.952473576672541"
"Ja","2019","Hauptschule","2846","","",""
"Ja","2019","Realschule","2256","","",""
"Ja","2019","(Fach-)Abitur","1100","","",""
"Ja","2019","AkademikerIn","1765","","",""
"Nein","2019","(noch) kein Abschluss","63","0.0686824270302239","0.0475264233274591","0.0898384307329886"
"Nein","2019","Hauptschule","183","","",""
"Nein","2019","Realschule","155","","",""
"Nein","2019","(Fach-)Abitur","105","","",""
"Nein","2019","AkademikerIn","178","","",""
"Ja","2020","(noch) kein Abschluss","168","","",""
"Ja","2020","Hauptschule","86","0.687486333092336","0.605236558285001","0.769736107899672"
"Ja","2020","Realschule","1","","",""
"Ja","2020","(Fach-)Abitur","56","0.690291978635389","0.587016939397855","0.793567017872923"
"Ja","2020","AkademikerIn","60","0.755541463089906","0.661949762830892","0.849133163348919"
"Nein","2020","(noch) kein Abschluss","61","0.301349754634038","0.241921130072008","0.360778379196067"
"Nein","2020","Hauptschule","36","0.312513666907664","0.230263892100328","0.394763441714999"
"Nein","2020","Realschule","1","","",""
"Nein","2020","(Fach-)Abitur","21","","",""
"Nein","2020","AkademikerIn","21","","",""
