year,ple0162,age_gr,sex,proportion,n,lower_confidence,upper_confidence
2012,Yes,46-65 y.,female,0.21894189891355692,40229,0.21490086436315942,0.22298293346395442
2012,Yes,66 and older,female,0.18835616438356165,40229,0.18453532203135425,0.19217700673576904
2012,Yes,46-65 y.,male,0.1747756258856873,40229,0.17106443827833226,0.17848681349304232
2012,Yes,66 and older,male,0.15836088804912613,40229,0.1547933109146213,0.16192846518363094
2012,Yes,30-45 y.,female,0.12966461974492205,40229,0.12638184928000523,0.13294739020983887
2012,Yes,30-45 y.,male,0.07699574870099198,40229,0.07439066503015451,0.07960083237182944
2012,Yes,18-29 y.,female,0.03353802550779405,40229,0.0317786943917971,0.035297356623791
2012,Yes,18-29 y.,male,0.019367028814359942,40229,0.018020327767530094,0.02071372986118979
2012,No,46-65 y.,female,0.209106239460371,40229,0.2051322288404723,0.21308025008026968
2012,No,30-45 y.,female,0.16526138279932545,40229,0.16163187781847868,0.16889088778017222
2012,No,46-65 y.,male,0.163575042158516,40229,0.1599604569688029,0.16718962734822912
2012,No,66 and older,male,0.1315345699831366,40229,0.12823176694600966,0.13483737302026352
2012,No,66 and older,female,0.12310286677908938,40229,0.11989220275830349,0.12631353079987526
2012,No,30-45 y.,male,0.09780775716694773,40229,0.09490492018578131,0.10071059414811415
2012,No,18-29 y.,female,0.07925801011804384,40229,0.07661817373749485,0.08189784649859283
2012,No,18-29 y.,male,0.03035413153456998,40229,0.028677637801536697,0.032030625267603266
2013,Yes,46-65 y.,female,0.226764500349406,44486,0.22287326213304567,0.23065573856576635
2013,Yes,46-65 y.,male,0.18087584439785698,44486,0.1772989217784946,0.18445276701721935
2013,Yes,66 and older,female,0.16922897740507803,44486,0.1657446221533901,0.17271333265676597
2013,Yes,66 and older,male,0.14675052410901468,44486,0.14346221800849662,0.15003883020953274
2013,Yes,30-45 y.,female,0.13487071977638015,44486,0.13169645071870295,0.13804498883405736
2013,Yes,30-45 y.,male,0.08082925692988586,44486,0.07829630596756083,0.0833622078922109
2013,Yes,18-29 y.,female,0.037968786396459356,44486,0.03619274807555304,0.03974482471736567
2013,Yes,18-29 y.,male,0.022711390635918937,44486,0.02132693936382478,0.024095841908013095
2013,No,46-65 y.,female,0.21805792163543442,44486,0.21422069351069653,0.2218951497601723
2013,No,30-45 y.,female,0.20272572402044292,44486,0.19898975988367543,0.20646168815721042
2013,No,46-65 y.,male,0.1567291311754685,44486,0.15335079546036662,0.16010746689057037
2013,No,66 and older,female,0.12095400340715502,44486,0.11792387999825717,0.12398412681605288
2013,No,30-45 y.,male,0.11925042589437819,44486,0.11623880304912305,0.12226204873963332
2013,No,66 and older,male,0.08006814310051108,44486,0.07754610234584439,0.08259018385517777
2013,No,18-29 y.,female,0.05792163543441227,44486,0.0557508929027557,0.06009237796606884
2013,No,18-29 y.,male,0.044293015332197615,44486,0.042381074730265214,0.046204955934130015
2015,Yes,46-65 y.,female,0.2273016681522985,38036,0.22308989520419212,0.23151344110040487
2015,Yes,66 and older,female,0.18706226919648541,38036,0.18314322292083934,0.19098131547213149
2015,Yes,46-65 y.,male,0.1795492168597988,38036,0.17569197672881315,0.18340645699078445
2015,Yes,66 and older,male,0.15471794218769896,38036,0.15108356650871618,0.15835231786668175
2015,Yes,30-45 y.,female,0.12301031452947918,38036,0.11970945791676238,0.12631117114219598
2015,Yes,30-45 y.,male,0.06379727492677957,38036,0.06134118272239952,0.06625336713115962
2015,Yes,18-29 y.,female,0.04011205908569973,38036,0.03814006141331713,0.04208405675808233
2015,Yes,18-29 y.,male,0.024449255061759836,38036,0.022897166851284567,0.026001343272235106
2015,No,46-65 y.,female,0.2029520295202952,38036,0.19891001767927086,0.20699404136131955
2015,No,46-65 y.,male,0.1906519065190652,38036,0.18670418142492784,0.19459963161320254
2015,No,30-45 y.,female,0.15744157441574416,38036,0.1537812601289404,0.16110188870254794
2015,No,66 and older,female,0.11562115621156212,38036,0.11240752173176398,0.11883479069136026
2015,No,66 and older,male,0.11070110701107011,38036,0.10754785624607127,0.11385435777606895
2015,No,30-45 y.,male,0.0897908979089791,38036,0.0869178332743043,0.09266396254365389
2015,No,18-29 y.,female,0.07134071340713408,38036,0.06875395672880463,0.07392747008546352
2015,No,18-29 y.,male,0.06150061500615006,38036,0.059086180787408446,0.06391504922489168
2017,Yes,46-65 y.,female,0.2472898096844134,45410,0.24332157518607644,0.25125804418275033
2017,Yes,46-65 y.,male,0.18887015177065766,45410,0.1852701130113399,0.19247019052997544
2017,Yes,66 and older,female,0.1699590460130089,45410,0.16650441057936274,0.17341368144665506
2017,Yes,66 and older,male,0.1467116357504216,45410,0.14345731382813934,0.14996595767270385
2017,Yes,30-45 y.,female,0.11406889906046735,45410,0.11114498960719074,0.11699280851374397
2017,Yes,30-45 y.,male,0.06191279209828957,45410,0.05969616763314183,0.06412941656343732
2017,Yes,18-29 y.,female,0.04095398699108649,45410,0.03913114872693532,0.042776825255237655
2017,Yes,18-29 y.,male,0.030233678631655023,45410,0.028658755486623735,0.03180860177668631
2017,No,46-65 y.,female,0.2237093690248566,45410,0.21987640644657885,0.22754233160313436
2017,No,46-65 y.,male,0.1586998087954111,45410,0.15533899836819345,0.16206061922262874
2017,No,30-45 y.,female,0.1586998087954111,45410,0.15533899836819345,0.16206061922262874
2017,No,66 and older,female,0.1089866156787763,45410,0.10612039900761336,0.11185283234993923
2017,No,66 and older,male,0.10133843212237094,45410,0.0985627770533697,0.10411408719137218
2017,No,18-29 y.,female,0.0841300191204589,45410,0.08157689030937573,0.08668314793154205
2017,No,30-45 y.,male,0.0841300191204589,45410,0.08157689030937573,0.08668314793154205
2017,No,18-29 y.,male,0.08030592734225621,45410,0.0778062968438621,0.08280555784065032
2019,Yes,46-65 y.,female,0.2451276102088167,42417,0.24103388221433839,0.24922133820329503
2019,Yes,46-65 y.,male,0.19535962877030164,42417,0.1915864757641788,0.19913278177642446
2019,Yes,66 and older,female,0.16090487238979118,42417,0.15740802810095839,0.16440171667862397
2019,Yes,66 and older,male,0.15498839907192574,42417,0.15154436825713719,0.1584324298867143
