year,plh0191,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Agree completely,0.01453,351,4394,0.01099,0.01807
1990,Agree,0.03295,896,4394,0.02767,0.03823
1990,Disagree,0.05731,1585,4394,0.05043,0.06418
1990,Disagree completely,0.05599,1562,4394,0.04919,0.06279
1991,Agree completely,0.01541,344,4135,0.01165,0.01916
1991,Agree,0.04024,950,4135,0.03425,0.04623
1991,Disagree,0.06513,1653,4135,0.05761,0.07265
1991,Disagree completely,0.04720,1188,4135,0.04073,0.05366
1992,Agree completely,0.04219,576,10933,0.03842,0.04596
1992,Agree,0.10690,1601,10933,0.10111,0.11270
1992,Disagree,0.23313,3498,10933,0.22520,0.24105
1992,Disagree completely,0.38394,5258,10933,0.37482,0.39306
1993,Agree completely,0.06234,932,12986,0.05818,0.06650
1993,Agree,0.13120,2147,12986,0.12539,0.13700
1993,Disagree,0.27644,4524,12986,0.26875,0.28413
1993,Disagree completely,0.34451,5383,12986,0.33634,0.35268
1995,Agree completely,0.04908,699,13173,0.04539,0.05277
1995,Agree,0.10954,1831,13173,0.10420,0.11487
1995,Disagree,0.27696,4620,13173,0.26932,0.28461
1995,Disagree completely,0.37728,6023,13173,0.36900,0.38556
1996,Agree completely,0.03861,590,12969,0.03529,0.04192
1996,Agree,0.11284,1802,12969,0.10739,0.11828
1996,Disagree,0.31026,5060,12969,0.30230,0.31822
1996,Disagree completely,0.35270,5517,12969,0.34448,0.36093
1997,Agree completely,0.04759,630,12738,0.04389,0.05128
1997,Agree,0.11610,1852,12738,0.11054,0.12167
1997,Disagree,0.29326,4809,12738,0.28535,0.30116
1997,Disagree completely,0.35736,5447,12738,0.34903,0.36568
2008,Agree completely,0.04004,846,19182,0.03727,0.04282
2008,Agree,0.12277,2617,19182,0.11813,0.12742
2008,Disagree,0.31311,7171,19182,0.30654,0.31967
2008,Disagree completely,0.35591,8548,19182,0.34913,0.36268
2013,Agree completely,0.03425,814,18735,0.03165,0.03686
2013,Agree,0.07013,1765,18735,0.06648,0.07379
2013,Disagree,0.23186,6090,18735,0.22582,0.23791
2013,Disagree completely,0.36846,10066,18735,0.36155,0.37537
2018,Agree completely,0.03755,1114,25400,0.03522,0.03989
2018,Agree,0.09548,2749,25400,0.09186,0.09909
2018,Disagree,0.29479,8956,25400,0.28919,0.30040
2018,Disagree completely,0.40173,12581,25400,0.39570,0.40776
