year,bula_h,sex,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,male,At least once per month,0.19549,35,97,0.11616,0.27483
1990,Schleswig-Holstein,male,Seldom,0.36953,62,97,0.27298,0.46609
1990,Schleswig-Holstein,female,At least once per month,0.21578,41,110,0.13855,0.29300
1990,Schleswig-Holstein,female,Seldom,0.39242,69,110,0.30075,0.48409
1990,Hamburg,female,Seldom,0.33849,31,31,0.16916,0.50782
1990,Lower Saxony,male,At least once per week,0.20237,116,470,0.16601,0.23873
1990,Lower Saxony,male,At least once per month,0.24680,139,470,0.20778,0.28582
1990,Lower Saxony,male,Seldom,0.29204,166,470,0.25089,0.33320
1990,Lower Saxony,male,Never,0.09012,49,470,0.06420,0.11604
1990,Lower Saxony,female,At least once per week,0.11456,69,485,0.08618,0.14293
1990,Lower Saxony,female,At least once per month,0.24347,141,485,0.20523,0.28170
1990,Lower Saxony,female,Seldom,0.36408,212,485,0.32121,0.40695
1990,Lower Saxony,female,Never,0.11551,63,485,0.08703,0.14398
1990,North Rhine-Westphalia,male,Daily,0.02020,40,1260,0.01243,0.02797
1990,North Rhine-Westphalia,male,At least once per week,0.24556,377,1260,0.22179,0.26934
1990,North Rhine-Westphalia,male,At least once per month,0.22792,344,1260,0.20475,0.25109
1990,North Rhine-Westphalia,male,Seldom,0.25782,392,1260,0.23366,0.28198
1990,North Rhine-Westphalia,male,Never,0.05259,107,1260,0.04026,0.06492
1990,North Rhine-Westphalia,female,At least once per week,0.16906,240,1285,0.14856,0.18956
1990,North Rhine-Westphalia,female,At least once per month,0.24537,380,1285,0.22183,0.26890
1990,North Rhine-Westphalia,female,Seldom,0.30709,469,1285,0.28185,0.33232
1990,North Rhine-Westphalia,female,Never,0.11230,196,1285,0.09503,0.12957
1990,Hesse,male,At least once per week,0.27214,139,470,0.23186,0.31242
1990,Hesse,male,At least once per month,0.21252,118,470,0.17550,0.24955
1990,Hesse,male,Seldom,0.24429,151,470,0.20541,0.28318
1990,Hesse,male,Never,0.07103,62,470,0.04778,0.09428
1990,Hesse,female,At least once per week,0.14789,82,488,0.11636,0.17941
1990,Hesse,female,At least once per month,0.18891,112,488,0.15414,0.22367
1990,Hesse,female,Seldom,0.38360,198,488,0.34041,0.42678
1990,Hesse,female,Never,0.13799,96,488,0.10736,0.16862
1990,"Rhineland-Palatinate, Saarland",male,At least once per week,0.27069,97,290,0.21946,0.32191
1990,"Rhineland-Palatinate, Saarland",male,At least once per month,0.21809,85,290,0.17048,0.26570
1990,"Rhineland-Palatinate, Saarland",male,Seldom,0.29257,108,290,0.24012,0.34502
1990,"Rhineland-Palatinate, Saarland",female,At least once per week,0.15488,65,346,0.11670,0.19305
1990,"Rhineland-Palatinate, Saarland",female,At least once per month,0.24727,101,346,0.20175,0.29280
1990,"Rhineland-Palatinate, Saarland",female,Seldom,0.32360,132,346,0.27423,0.37296
1990,"Rhineland-Palatinate, Saarland",female,Never,0.12431,48,346,0.08949,0.15912
1990,Baden-Wuerttemberg,male,Daily,0.02632,32,896,0.01583,0.03680
1990,Baden-Wuerttemberg,male,At least once per week,0.26035,281,896,0.23160,0.28910
1990,Baden-Wuerttemberg,male,At least once per month,0.20218,228,896,0.17587,0.22849
1990,Baden-Wuerttemberg,male,Seldom,0.25253,266,896,0.22407,0.28099
1990,Baden-Wuerttemberg,male,Never,0.06064,89,896,0.04500,0.07628
1990,Baden-Wuerttemberg,female,At least once per week,0.13395,144,882,0.11146,0.15644
1990,Baden-Wuerttemberg,female,At least once per month,0.22984,236,882,0.20206,0.25763
