year,regtyp,sampreg,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,West,Daily,0.01656,153,7482,0.01367,0.01945
1990,Urban regions,West,At least once per week,0.25274,1812,7482,0.24289,0.26258
1990,Urban regions,West,At least once per month,0.28099,2065,7482,0.27081,0.29118
1990,Urban regions,West,Seldom,0.34478,2524,7482,0.33401,0.35555
1990,Urban regions,West,Never,0.10493,928,7482,0.09798,0.11187
1990,Rural regions,West,Daily,0.02143,48,1954,0.01501,0.02785
1990,Rural regions,West,At least once per week,0.22931,448,1954,0.21066,0.24795
1990,Rural regions,West,At least once per month,0.25880,535,1954,0.23938,0.27823
1990,Rural regions,West,Seldom,0.37861,712,1954,0.35709,0.40012
1990,Rural regions,West,Never,0.11185,211,1954,0.09787,0.12583
1995,Urban regions,West,Daily,0.02222,166,7493,0.01888,0.02556
1995,Urban regions,West,At least once per week,0.24877,1801,7493,0.23898,0.25856
1995,Urban regions,West,At least once per month,0.28372,2132,7493,0.27351,0.29393
1995,Urban regions,West,Seldom,0.32923,2467,7493,0.31859,0.33988
1995,Urban regions,West,Never,0.11606,927,7493,0.10880,0.12331
1995,Urban regions,East,At least once per week,0.12994,160,1204,0.11094,0.14894
1995,Urban regions,East,At least once per month,0.24388,309,1204,0.21962,0.26815
1995,Urban regions,East,Seldom,0.42068,529,1204,0.39278,0.44858
1995,Urban regions,East,Never,0.19806,206,1204,0.17554,0.22058
1995,Rural regions,West,Daily,0.02624,51,2064,0.01934,0.03313
1995,Rural regions,West,At least once per week,0.22295,467,2064,0.20499,0.24092
1995,Rural regions,West,At least once per month,0.28542,596,2064,0.26593,0.30491
1995,Rural regions,West,Seldom,0.34337,705,2064,0.32288,0.36386
1995,Rural regions,West,Never,0.12202,245,2064,0.10789,0.13614
1995,Rural regions,East,Daily,0.01305,35,2463,0.00857,0.01753
1995,Rural regions,East,At least once per week,0.10432,275,2463,0.09225,0.11640
1995,Rural regions,East,At least once per month,0.23015,598,2463,0.21352,0.24677
1995,Rural regions,East,Seldom,0.43211,1128,2463,0.41254,0.45167
1995,Rural regions,East,Never,0.22038,427,2463,0.20400,0.23675
1998,Urban regions,West,Daily,0.01960,161,8003,0.01656,0.02264
1998,Urban regions,West,At least once per week,0.25211,1990,8003,0.24259,0.26162
1998,Urban regions,West,At least once per month,0.30582,2431,8003,0.29572,0.31591
1998,Urban regions,West,Seldom,0.32060,2611,8003,0.31038,0.33083
1998,Urban regions,West,Never,0.10187,810,8003,0.09525,0.10850
1998,Urban regions,East,At least once per week,0.14823,180,1243,0.12847,0.16799
1998,Urban regions,East,At least once per month,0.26901,349,1243,0.24434,0.29367
1998,Urban regions,East,Seldom,0.43543,566,1243,0.40786,0.46301
1998,Urban regions,East,Never,0.14152,148,1243,0.12214,0.16091
1998,Rural regions,West,Daily,0.01497,40,2337,0.01005,0.01989
1998,Rural regions,West,At least once per week,0.21230,517,2337,0.19571,0.22888
1998,Rural regions,West,At least once per month,0.29021,702,2337,0.27181,0.30862
1998,Rural regions,West,Seldom,0.37694,849,2337,0.35729,0.39659
1998,Rural regions,West,Never,0.10558,229,2337,0.09312,0.11804
1998,Rural regions,East,At least once per week,0.10847,301,2581,0.09647,0.12047
1998,Rural regions,East,At least once per month,0.21947,597,2581,0.20350,0.23545
1998,Rural regions,East,Seldom,0.49429,1333,2581,0.47500,0.51358
1998,Rural regions,East,Never,0.16851,350,2581,0.15407,0.18296
2003,Urban regions,West,Daily,0.01701,233,12975,0.01478,0.01923
2003,Urban regions,West,At least once per week,0.24207,3365,12975,0.23470,0.24944
2003,Urban regions,West,At least once per month,0.30449,4172,12975,0.29657,0.31241
2003,Urban regions,West,Seldom,0.33553,4107,12975,0.32741,0.34366
2003,Urban regions,West,Never,0.10090,1098,12975,0.09571,0.10608
2003,Urban regions,East,At least once per week,0.17018,316,1745,0.15254,0.18782
2003,Urban regions,East,At least once per month,0.27371,500,1745,0.25279,0.29464
2003,Urban regions,East,Seldom,0.41872,751,1745,0.39557,0.44188
2003,Urban regions,East,Never,0.12805,178,1745,0.11237,0.14373
2003,Rural regions,West,Daily,0.01759,69,3812,0.01342,0.02177
2003,Rural regions,West,At least once per week,0.18926,827,3812,0.17683,0.20170
2003,Rural regions,West,At least once per month,0.28101,1150,3812,0.26673,0.29528
2003,Rural regions,West,Seldom,0.40535,1428,3812,0.38977,0.42094
2003,Rural regions,West,Never,0.10678,338,3812,0.09698,0.11659
2003,Rural regions,East,At least once per week,0.11047,422,3553,0.10017,0.12078
2003,Rural regions,East,At least once per month,0.21864,833,3553,0.20505,0.23223
2003,Rural regions,East,Seldom,0.49414,1791,3553,0.47770,0.51059
2003,Rural regions,East,Never,0.16991,507,3553,0.15756,0.18226
2008,Urban regions,West,Daily,0.01675,162,11059,0.01435,0.01914
2008,Urban regions,West,At least once per week,0.23832,2762,11059,0.23038,0.24626
2008,Urban regions,West,At least once per month,0.30268,3536,11059,0.29412,0.31125
2008,Urban regions,West,Seldom,0.35043,3748,11059,0.34154,0.35932
2008,Urban regions,West,Never,0.09182,851,11059,0.08644,0.09720
2008,Urban regions,East,At least once per week,0.16735,252,1603,0.14907,0.18563
2008,Urban regions,East,At least once per month,0.27410,443,1603,0.25226,0.29595
2008,Urban regions,East,Seldom,0.42623,745,1603,0.40201,0.45045
2008,Urban regions,East,Never,0.12273,163,1603,0.10666,0.13879
2008,Rural regions,West,Daily,0.01952,67,3453,0.01491,0.02414
2008,Rural regions,West,At least once per week,0.18752,689,3453,0.17450,0.20055
2008,Rural regions,West,At least once per month,0.28722,1023,3453,0.27213,0.30232
2008,Rural regions,West,Seldom,0.39936,1370,3453,0.38302,0.41570
2008,Rural regions,West,Never,0.10637,304,3453,0.09608,0.11666
2008,Rural regions,East,At least once per week,0.09022,299,3128,0.08018,0.10026
2008,Rural regions,East,At least once per month,0.24469,771,3128,0.22962,0.25976
2008,Rural regions,East,Seldom,0.49550,1620,3128,0.47797,0.51302
2008,Rural regions,East,Never,0.16187,438,3128,0.14896,0.17478
2013,Urban regions,West,Daily,0.01961,238,14245,0.01734,0.02189
2013,Urban regions,West,At least once per week,0.26341,3509,14245,0.25618,0.27065
2013,Urban regions,West,At least once per month,0.33849,4957,14245,0.33072,0.34626
2013,Urban regions,West,Seldom,0.30587,4574,14245,0.29831,0.31344
2013,Urban regions,West,Never,0.07261,967,14245,0.06835,0.07687
2013,Urban regions,East,At least once per week,0.16183,316,1928,0.14539,0.17828
2013,Urban regions,East,At least once per month,0.31371,585,1928,0.29299,0.33442
2013,Urban regions,East,Seldom,0.41192,839,1928,0.38994,0.43389
2013,Urban regions,East,Never,0.09961,188,1928,0.08623,0.11298
2013,Rural regions,West,Daily,0.01447,81,5514,0.01131,0.01762
2013,Rural regions,West,At least once per week,0.23413,1146,5514,0.22295,0.24530
2013,Rural regions,West,At least once per month,0.32038,1836,5514,0.30806,0.33270
2013,Rural regions,West,Seldom,0.34563,2015,5514,0.33308,0.35819
2013,Rural regions,West,Never,0.08539,436,5514,0.07802,0.09277
2013,Rural regions,East,At least once per week,0.09287,340,3729,0.08355,0.10219
2013,Rural regions,East,At least once per month,0.27310,1044,3729,0.25880,0.28740
2013,Rural regions,East,Seldom,0.47581,1817,3729,0.45978,0.49184
2013,Rural regions,East,Never,0.15076,528,3729,0.13927,0.16225
2019,No answer / don't know,Does not apply,At least once per week,0.44382,36,36,0.27922,0.60842
2019,No answer / don't know,West,At least once per week,0.38415,166,382,0.33531,0.43299
2019,No answer / don't know,West,At least once per month,0.33661,135,382,0.28916,0.38406
2019,No answer / don't know,West,Seldom,0.21824,81,382,0.17676,0.25972
