year,quintil_oecd,regtyp,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,Seldom,0.36595451412818747,18165,0.35894944973186327,0.37295957852451167
1990,1st Quintile,Urban regions,Never,0.2687801516195727,18165,0.2623331028829498,0.2752272003561956
1990,1st Quintile,Urban regions,At least once per month,0.1874569262577533,18165,0.18178131930072122,0.19313253321478535
1990,1st Quintile,Urban regions,At least once per week,0.15988973121984837,18165,0.15455985892826968,0.16521960351142706
1990,1st Quintile,Urban regions,Daily,0.01791867677463818,18165,0.015989530920421886,0.019847822628854477
1990,1st Quintile,Rural regions,Seldom,0.45348837209302323,18165,0.44624866240276345,0.460728081783283
1990,1st Quintile,Rural regions,Never,0.23255813953488372,18165,0.22641448361635444,0.238701795453413
1990,1st Quintile,Rural regions,At least once per month,0.16046511627906976,18165,0.1551274912513669,0.1658027413067726
1990,1st Quintile,Rural regions,At least once per week,0.13488372093023257,18165,0.12991602069533648,0.13985142116512866
1990,1st Quintile,Rural regions,Daily,0.018604651162790697,18165,0.016639612346296417,0.020569689979284978
1990,2nd Quintile,Urban regions,Seldom,0.38368172623061364,18165,0.37660998353914,0.3907534689220873
1990,2nd Quintile,Urban regions,At least once per month,0.2521915037086986,18165,0.24587613380091453,0.25850687361648267
1990,2nd Quintile,Urban regions,At least once per week,0.20701281186783546,18165,0.20112071242664303,0.2129049113090279
1990,2nd Quintile,Urban regions,Never,0.14160485502360082,18165,0.13653470198438894,0.1466750080628127
1990,2nd Quintile,Urban regions,Daily,0.015509103169251517,18165,0.013712146664618955,0.01730605967388408
1990,2nd Quintile,Rural regions,Seldom,0.39054726368159204,18165,0.38345238153840816,0.3976421458247759
1990,2nd Quintile,Rural regions,At least once per month,0.3034825870646766,18165,0.2967965119989872,0.31016866213036604
1990,2nd Quintile,Rural regions,At least once per week,0.19154228855721392,18165,0.18581960989497057,0.19726496721945727
1990,2nd Quintile,Rural regions,Never,0.1044776119402985,18165,0.10002937192331754,0.10892585195727947
1990,2nd Quintile,Rural regions,Daily,0.009950248756218905,18165,0.008506858235249591,0.011393639277188219
1990,3rd Quintile,Urban regions,Seldom,0.3660426081342802,18165,0.35903718736118934,0.37304802890737104
1990,3rd Quintile,Urban regions,At least once per month,0.26533247256294384,18165,0.25891182259255235,0.27175312253333533
1990,3rd Quintile,Urban regions,At least once per week,0.22724338282763074,18165,0.22114934200077413,0.23333742365448734
1990,3rd Quintile,Urban regions,Never,0.12007746933505488,18165,0.11535040674739354,0.12480453192271622
1990,3rd Quintile,Urban regions,Daily,0.02130406714009038,18165,0.019204191753364346,0.023403942526816414
1990,3rd Quintile,Rural regions,Seldom,0.3687150837988827,18165,0.36169897154650543,0.37573119605125993
