year,pgisced97,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,At least once per week,0.35185185185185186,18165,0.3449071207747253,0.3587965829289784
1990,Pre-primary Level,Seldom,0.30864197530864196,18165,0.301924325362167,0.3153596252551169
1990,Pre-primary Level,At least once per month,0.24691358024691357,18165,0.2406426312767976,0.2531845292170295
1990,Pre-primary Level,Never,0.09259259259259259,18165,0.0883773007057443,0.09680788447944087
1990,Primary Level,Never,0.37101910828025475,18165,0.36399396421399527,0.37804425234651423
1990,Primary Level,Seldom,0.3089171974522293,18165,0.302197890883654,0.31563650402080456
1990,Primary Level,At least once per month,0.16719745222929935,18165,0.1617708970869014,0.1726240073716973
1990,Primary Level,At least once per week,0.12261146496815287,18165,0.1178416680511981,0.12738126188510762
1990,Primary Level,Daily,0.030254777070063694,18165,0.027763831869999096,0.03274572227012829
1990,Lower Secondary Level,Seldom,0.374390243902439,18165,0.3673521932489388,0.38142829455593924
1990,Lower Secondary Level,At least once per month,0.23089430894308943,18165,0.2247660374501379,0.23702258043604096
1990,Lower Secondary Level,At least once per week,0.19471544715447153,18165,0.18895689562200946,0.2004739986869336
1990,Lower Secondary Level,Never,0.1772357723577236,18165,0.17168246434876472,0.18278908036668245
1990,Lower Secondary Level,Daily,0.022764227642276424,18165,0.020595202888811167,0.024933252395741682
1990,Upper Secondary Level,Seldom,0.3480565371024735,18165,0.34112916948346145,0.3549839047214855
1990,Upper Secondary Level,At least once per month,0.2968197879858657,18165,0.2901759640343416,0.30346361193738985
1990,Upper Secondary Level,At least once per week,0.25353356890459366,18165,0.24720710191589984,0.2598600358932875
1990,Upper Secondary Level,Never,0.0801678445229682,18165,0.07621879329564608,0.08411689575029031
1990,Upper Secondary Level,Daily,0.02142226148409894,18165,0.019316696283659573,0.023527826684538306
1990,Post-secondary Non-tertiary Level,At least once per week,0.3436426116838488,18165,0.33673604729711604,0.35054917607058156
1990,Post-secondary Non-tertiary Level,At least once per month,0.32646048109965636,18165,0.3196412529689064,0.33327970923040634
1990,Post-secondary Non-tertiary Level,Seldom,0.23367697594501718,18165,0.22752304995169198,0.2398309019383424
1990,Post-secondary Non-tertiary Level,Never,0.08247422680412371,18165,0.07847379719713658,0.08647465641111084
1990,Post-secondary Non-tertiary Level,Daily,0.013745704467353952,18165,0.012052473021797237,0.015438935912910666
