year,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Daily,0.01166,201,9436,0.00949,0.01383
1990,At least once per week,0.16314,2260,9436,0.15569,0.17060
1990,At least once per month,0.18197,2600,9436,0.17418,0.18975
1990,Seldom,0.23251,3236,9436,0.22399,0.24104
1990,Never,0.07025,1139,9436,0.06510,0.07541
1995,Daily,0.01703,262,13234,0.01482,0.01923
1995,At least once per week,0.17797,2703,13234,0.17145,0.18448
1995,At least once per month,0.22451,3635,13234,0.21740,0.23162
1995,Seldom,0.28704,4829,13234,0.27933,0.29475
1995,Never,0.11112,1805,13234,0.10577,0.11648
1998,Daily,0.01360,235,14198,0.01169,0.01550
1998,At least once per week,0.18069,2988,14198,0.17436,0.18702
1998,At least once per month,0.23814,4079,14198,0.23113,0.24515
1998,Seldom,0.29668,5359,14198,0.28916,0.30419
1998,Never,0.09349,1537,14198,0.08870,0.09828
2003,Daily,0.01276,346,22129,0.01128,0.01424
2003,At least once per week,0.17533,4930,22129,0.17032,0.18034
2003,At least once per month,0.23875,6655,22129,0.23314,0.24437
2003,Seldom,0.31090,8077,22129,0.30480,0.31700
2003,Never,0.09349,2121,22129,0.08965,0.09733
2008,Daily,0.01318,262,19276,0.01157,0.01479
2008,At least once per week,0.17234,4002,19276,0.16701,0.17768
2008,At least once per month,0.24361,5773,19276,0.23755,0.24967
2008,Seldom,0.32063,7483,19276,0.31404,0.32722
2008,Never,0.08816,1756,19276,0.08416,0.09217
2013,Daily,0.01261,366,25463,0.01124,0.01398
2013,At least once per week,0.17452,5311,25463,0.16986,0.17918
2013,At least once per month,0.24760,8422,25463,0.24229,0.25290
2013,Seldom,0.26145,9245,25463,0.25605,0.26685
2013,Never,0.06637,2119,25463,0.06332,0.06943
2017,Daily,0.00019,117,3967,-0.00024,0.00061
2017,At least once per week,0.00125,758,3967,0.00015,0.00235
2017,At least once per month,0.00133,899,3967,0.00020,0.00247
2017,Seldom,0.00107,836,3967,0.00005,0.00208
2017,Never,0.00179,1357,3967,0.00047,0.00310
2018,Daily,0.00013,60,3168,-0.00026,0.00052
2018,At least once per week,0.00168,785,3168,0.00025,0.00310
2018,At least once per month,0.00164,1000,3168,0.00023,0.00305
2018,Seldom,0.00109,661,3168,-0.00006,0.00224
2018,Never,0.00104,662,3168,-0.00008,0.00217
2019,Daily,0.01310,512,28791,0.01179,0.01441
2019,At least once per week,0.22000,7579,28791,0.21521,0.22478
2019,At least once per month,0.30825,10500,28791,0.30292,0.31359
2019,Seldom,0.23920,8033,28791,0.23427,0.24413
2019,Never,0.05564,2167,28791,0.05299,0.05828
