year,quintil_oecd,sampreg,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,West,Seldom,0.3877254217568354,18165,0.380639870848618,0.3948109726650528
1990,1st Quintile,West,At least once per month,0.22164048865619546,18165,0.2156002647463776,0.2276807125660133
1990,1st Quintile,West,Never,0.20186154741128562,18165,0.19602435127073034,0.2076987435518409
1990,1st Quintile,West,At least once per week,0.1733566026759744,18165,0.16785147159133185,0.17886173376061698
1990,1st Quintile,West,Daily,0.015415939499709133,18165,0.013624303545425764,0.017207575453992503
1990,2nd Quintile,West,Seldom,0.35878962536023057,18165,0.35181439461645186,0.3657648561040093
1990,2nd Quintile,West,At least once per month,0.28278097982708933,18165,0.27623176303223174,0.2893301966219469
1990,2nd Quintile,West,At least once per week,0.23414985590778098,18165,0.227991607306374,0.24030810450918796
1990,2nd Quintile,West,Never,0.1026657060518732,18165,0.09825174799261434,0.10707966411113205
1990,2nd Quintile,West,Daily,0.021613832853025938,18165,0.01949908098883371,0.023728584717218164
1990,3rd Quintile,West,At least once per month,0.32738427216954824,18165,0.32056008727308344,0.33420845706601304
1990,3rd Quintile,West,At least once per week,0.2978248745119911,18165,0.29117456934894964,0.3044751796750325
1990,3rd Quintile,West,Seldom,0.29224762967094253,18165,0.28563377671341017,0.2988614826284749
1990,3rd Quintile,West,Never,0.054099274958170664,18165,0.05080957058776812,0.05738897932857321
1990,3rd Quintile,West,Daily,0.02844394868934746,18165,0.02602644445143034,0.030861452927264582
1990,4th Quintile,West,At least once per month,0.34950385887541346,18165,0.34256981284801036,0.35643790490281657
1990,4th Quintile,West,At least once per week,0.3296582138919515,18165,0.32282195553954357,0.3364944722443594
1990,4th Quintile,West,Seldom,0.269018743109151,18165,0.2625698859045973,0.27546760031370476
1990,4th Quintile,West,Never,0.03197353914002205,18165,0.029415086747303937,0.03453199153274016
1990,4th Quintile,West,Daily,0.019845644983461964,18165,0.017817410247621006,0.02187387971930292
1990,5th Quintile,West,At least once per week,0.36827195467422097,18165,0.36125759918023725,0.3752863101682047
