year,sampreg,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Daily,0.01471,201,9436,0.01228,0.01714
1990,West,At least once per week,0.20582,2260,9436,0.19766,0.21398
1990,West,At least once per month,0.22957,2600,9436,0.22108,0.23805
1990,West,Seldom,0.29333,3236,9436,0.28414,0.30252
1990,West,Never,0.08863,1139,9436,0.08289,0.09436
1995,West,Daily,0.01891,217,9557,0.01618,0.02164
1995,West,At least once per week,0.19833,2268,9557,0.19033,0.20632
1995,West,At least once per month,0.23210,2728,9557,0.22364,0.24056
1995,West,Seldom,0.27164,3172,9557,0.26272,0.28055
1995,West,Never,0.09594,1172,9557,0.09003,0.10184
1995,East,Daily,0.00913,45,3677,0.00606,0.01221
1995,East,At least once per week,0.09284,435,3677,0.08345,0.10222
1995,East,At least once per month,0.19277,907,3677,0.18001,0.20552
1995,East,Seldom,0.35145,1657,3677,0.33602,0.36689
1995,East,Never,0.17460,633,3677,0.16233,0.18687
1998,West,Daily,0.01520,201,10340,0.01284,0.01755
1998,West,At least once per week,0.19914,2507,10340,0.19144,0.20683
1998,West,At least once per month,0.24768,3133,10340,0.23936,0.25600
1998,West,Seldom,0.27326,3460,10340,0.26467,0.28185
1998,West,Never,0.08417,1039,10340,0.07882,0.08953
1998,East,Daily,0.00677,34,3858,0.00418,0.00936
1998,East,At least once per week,0.10180,481,3858,0.09226,0.11134
1998,East,At least once per month,0.19734,946,3858,0.18478,0.20990
1998,East,Seldom,0.39684,1899,3858,0.38140,0.41228
1998,East,Never,0.13336,498,3858,0.12263,0.14409
2003,West,Daily,0.01411,302,16787,0.01233,0.01590
2003,West,At least once per week,0.18920,4192,16787,0.18328,0.19513
2003,West,At least once per month,0.24621,5322,16787,0.23969,0.25273
2003,West,Seldom,0.28962,5535,16787,0.28276,0.29649
2003,West,Never,0.08420,1436,16787,0.08000,0.08840
2003,East,Daily,0.00663,44,5342,0.00445,0.00880
2003,East,At least once per week,0.11257,738,5342,0.10409,0.12104
2003,East,At least once per month,0.20503,1333,5342,0.19421,0.21586
2003,East,Seldom,0.40716,2542,5342,0.39398,0.42033
2003,East,Never,0.13552,685,5342,0.12634,0.14470
2008,West,Daily,0.01446,229,14512,0.01251,0.01640
2008,West,At least once per week,0.18754,3451,14512,0.18119,0.19389
2008,West,At least once per month,0.24807,4559,14512,0.24104,0.25509
2008,West,Seldom,0.30065,5118,14512,0.29319,0.30811
2008,West,Never,0.07913,1155,14512,0.07473,0.08352
2008,East,Daily,0.00733,33,4764,0.00491,0.00975
2008,East,At least once per week,0.10243,551,4764,0.09382,0.11104
2008,East,At least once per month,0.22310,1214,4764,0.21127,0.23492
2008,East,Seldom,0.41256,2365,4764,0.39858,0.42654
2008,East,Never,0.12975,601,4764,0.12020,0.13929
2013,West,Daily,0.01363,319,19759,0.01201,0.01525
2013,West,At least once per week,0.19084,4655,19759,0.18537,0.19632
2013,West,At least once per month,0.24907,6793,19759,0.24304,0.25510
2013,West,Seldom,0.23609,6589,19759,0.23017,0.24201
2013,West,Never,0.05670,1403,19759,0.05348,0.05993
2013,East,Daily,0.00781,47,5704,0.00552,0.01009
2013,East,At least once per week,0.09743,656,5704,0.08973,0.10512
2013,East,At least once per month,0.24064,1629,5704,0.22955,0.25174
2013,East,Seldom,0.38119,2656,5704,0.36859,0.39380
2013,East,Never,0.11204,716,5704,0.10385,0.12023
2017,West,Daily,0.00018,106,3388,-0.00027,0.00063
2017,West,At least once per week,0.00125,644,3388,0.00006,0.00245
2017,West,At least once per month,0.00134,764,3388,0.00011,0.00257
2017,West,Seldom,0.00113,738,3388,-0.00000,0.00226
2017,West,Never,0.00174,1136,3388,0.00034,0.00314
2017,East,At least once per week,0.00125,114,568,-0.00166,0.00416
2017,East,At least once per month,0.00128,135,568,-0.00166,0.00422
2017,East,Seldom,0.00076,98,568,-0.00151,0.00303
2017,East,Never,0.00202,221,568,-0.00168,0.00571
2018,West,Daily,0.00014,55,2694,-0.00031,0.00058
2018,West,At least once per week,0.00175,690,2694,0.00017,0.00332
2018,West,At least once per month,0.00174,887,2694,0.00017,0.00332
2018,West,Seldom,0.00107,560,2694,-0.00016,0.00230
2018,West,Never,0.00093,502,2694,-0.00022,0.00209
2018,East,At least once per week,0.00134,95,469,-0.00197,0.00465
2018,East,At least once per month,0.00114,113,469,-0.00192,0.00419
2018,East,Seldom,0.00119,101,469,-0.00193,0.00432
2018,East,Never,0.00157,160,469,-0.00202,0.00515
2019,West,Daily,0.01440,453,22744,0.01285,0.01594
2019,West,At least once per week,0.23727,6543,22744,0.23174,0.24280
2019,West,At least once per month,0.31256,8402,22744,0.30654,0.31859
2019,West,Seldom,0.22129,5802,22744,0.21589,0.22668
2019,West,Never,0.04862,1544,22744,0.04582,0.05141
2019,East,Daily,0.00640,55,5971,0.00438,0.00842
2019,East,At least once per week,0.13431,1000,5971,0.12566,0.14296
2019,East,At least once per month,0.28782,2080,5971,0.27634,0.29931
2019,East,Seldom,0.32745,2217,5971,0.31554,0.33935
2019,East,Never,0.09007,619,5971,0.08281,0.09733
