year,age_gr,pgisced97,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No answer / don't know,At least once per week,0.52883,36,36,0.36345,0.69420
1990,17-29 y.,Pre-primary Level,At least once per week,0.38480,57,147,0.30587,0.46372
1990,17-29 y.,Pre-primary Level,At least once per month,0.26355,40,147,0.19209,0.33501
1990,17-29 y.,Pre-primary Level,Seldom,0.30670,50,147,0.23190,0.38150
1990,17-29 y.,Primary Level,Seldom,0.32889,36,36,0.17324,0.48454
1990,17-29 y.,Lower Secondary Level,Daily,0.03212,32,794,0.01985,0.04439
1990,17-29 y.,Lower Secondary Level,At least once per week,0.40600,285,794,0.37182,0.44018
1990,17-29 y.,Lower Secondary Level,At least once per month,0.27077,202,794,0.23984,0.30169
1990,17-29 y.,Lower Secondary Level,Seldom,0.24476,210,794,0.21484,0.27469
1990,17-29 y.,Lower Secondary Level,Never,0.04635,65,794,0.03172,0.06098
1990,17-29 y.,Upper Secondary Level,Daily,0.03053,42,1263,0.02104,0.04002
1990,17-29 y.,Upper Secondary Level,At least once per week,0.43316,524,1263,0.40582,0.46050
1990,17-29 y.,Upper Secondary Level,At least once per month,0.30474,396,1263,0.27934,0.33014
1990,17-29 y.,Upper Secondary Level,Seldom,0.20938,262,1263,0.18694,0.23183
1990,17-29 y.,Upper Secondary Level,Never,0.02219,39,1263,0.01406,0.03031
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per week,0.55284,58,93,0.45124,0.65444
1990,17-29 y.,Post-secondary Non-tertiary Level,At least once per month,0.26213,35,93,0.17226,0.35200
1990,17-29 y.,First Stage of Tertiary Education,At least once per week,0.43604,34,68,0.31730,0.55479
1990,17-29 y.,First Stage of Tertiary Education,At least once per month,0.41459,34,68,0.29662,0.53255
1990,17-29 y.,Second Stage of Tertiary Education,At least once per week,0.49490,36,36,0.32926,0.66054
1990,30-45 y.,Primary Level,At least once per month,0.24896,45,176,0.18489,0.31303
1990,30-45 y.,Primary Level,Seldom,0.43091,75,176,0.35754,0.50428
1990,30-45 y.,Primary Level,Never,0.20751,56,176,0.14742,0.26759
1990,30-45 y.,Lower Secondary Level,At least once per week,0.14749,71,482,0.11580,0.17917
1990,30-45 y.,Lower Secondary Level,At least once per month,0.27649,132,482,0.23652,0.31646
1990,30-45 y.,Lower Secondary Level,Seldom,0.46993,214,482,0.42533,0.51453
1990,30-45 y.,Lower Secondary Level,Never,0.09379,65,482,0.06774,0.11984
