year,bula_h,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,At least once per week,0.12784,41,248,0.08620,0.16948
1990,Schleswig-Holstein,At least once per month,0.20574,76,248,0.15533,0.25616
1990,Schleswig-Holstein,Seldom,0.38110,131,248,0.32053,0.44166
1990,Hamburg,At least once per week,0.25693,41,142,0.18481,0.32905
1990,Hamburg,At least once per month,0.23960,48,142,0.16915,0.31006
1990,Hamburg,Seldom,0.28289,53,142,0.20855,0.35724
1990,Lower Saxony,At least once per week,0.15748,185,955,0.13437,0.18060
1990,Lower Saxony,At least once per month,0.24509,280,955,0.21780,0.27239
1990,Lower Saxony,Seldom,0.32887,378,955,0.29906,0.35868
1990,Lower Saxony,Never,0.10310,112,955,0.08380,0.12239
1990,Bremen,At least once per month,0.28500,39,76,0.18284,0.38717
1990,Bremen,Seldom,0.31661,37,76,0.21134,0.42188
1990,North Rhine-Westphalia,Daily,0.01094,48,2553,0.00690,0.01497
1990,North Rhine-Westphalia,At least once per week,0.20567,617,2553,0.18999,0.22136
1990,North Rhine-Westphalia,At least once per month,0.23702,724,2553,0.22052,0.25352
1990,North Rhine-Westphalia,Seldom,0.28351,861,2553,0.26602,0.30099
1990,North Rhine-Westphalia,Never,0.08372,303,2553,0.07297,0.09447
1990,Hesse,At least once per week,0.21113,221,958,0.18527,0.23699
1990,Hesse,At least once per month,0.20087,230,958,0.17549,0.22626
1990,Hesse,Seldom,0.31251,349,958,0.28314,0.34187
1990,Hesse,Never,0.10383,158,958,0.08451,0.12316
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.20893,162,659,0.17787,0.24000
1990,"Rhineland-Palatinate, Saarland",At least once per month,0.23365,186,659,0.20132,0.26598
1990,"Rhineland-Palatinate, Saarland",Seldom,0.30911,240,659,0.27380,0.34442
1990,"Rhineland-Palatinate, Saarland",Never,0.09366,71,659,0.07140,0.11592
1990,Baden-Wuerttemberg,Daily,0.01495,38,1784,0.00932,0.02058
1990,Baden-Wuerttemberg,At least once per week,0.19506,425,1784,0.17666,0.21345
1990,Baden-Wuerttemberg,At least once per month,0.21647,464,1784,0.19735,0.23559
1990,Baden-Wuerttemberg,Seldom,0.29017,608,1784,0.26910,0.31124
1990,Baden-Wuerttemberg,Never,0.09449,249,1784,0.08091,0.10806
1990,Bavaria,Daily,0.02158,43,1595,0.01445,0.02872
1990,Bavaria,At least once per week,0.24847,467,1595,0.22725,0.26968
1990,Bavaria,At least once per month,0.23352,456,1595,0.21275,0.25429
1990,Bavaria,Seldom,0.26127,494,1595,0.23970,0.28283
1990,Bavaria,Never,0.06912,135,1595,0.05667,0.08158
1990,Berlin,At least once per week,0.16263,87,320,0.12213,0.20312
1990,Berlin,At least once per month,0.14397,97,320,0.10545,0.18250
1990,Berlin,Seldom,0.14643,85,320,0.10763,0.18522
1990,Berlin,Never,0.06811,51,320,0.04046,0.09576
1995,Schleswig-Holstein,At least once per week,0.13299,45,274,0.09271,0.17327
1995,Schleswig-Holstein,At least once per month,0.22802,77,274,0.17825,0.27779
1995,Schleswig-Holstein,Seldom,0.31913,115,274,0.26383,0.37442
1995,Schleswig-Holstein,Never,0.08228,37,274,0.04968,0.11488
1995,Hamburg,At least once per month,0.28314,47,89,0.18901,0.37727
1995,Hamburg,Seldom,0.26467,42,89,0.17249,0.35684
1995,Lower Saxony,At least once per week,0.13450,185,1035,0.11371,0.15530
1995,Lower Saxony,At least once per month,0.25686,335,1035,0.23023,0.28349
1995,Lower Saxony,Seldom,0.29835,371,1035,0.27046,0.32623
1995,Lower Saxony,Never,0.11197,144,1035,0.09275,0.13119
1995,Bremen,At least once per month,0.35187,39,73,0.24156,0.46218
1995,Bremen,Seldom,0.37057,34,73,0.25901,0.48212
1995,North Rhine-Westphalia,Daily,0.02271,71,2571,0.01695,0.02847
1995,North Rhine-Westphalia,At least once per week,0.20880,629,2571,0.19309,0.22452
1995,North Rhine-Westphalia,At least once per month,0.23240,738,2571,0.21607,0.24872
1995,North Rhine-Westphalia,Seldom,0.26159,819,2571,0.24460,0.27858
1995,North Rhine-Westphalia,Never,0.08672,314,2571,0.07584,0.09760
1995,Hesse,At least once per week,0.19688,204,914,0.17109,0.22268
1995,Hesse,At least once per month,0.19641,235,914,0.17064,0.22218
1995,Hesse,Seldom,0.30681,335,914,0.27690,0.33673
1995,Hesse,Never,0.12507,140,914,0.10361,0.14653
1995,"Rhineland-Palatinate, Saarland",At least once per week,0.19004,147,701,0.16098,0.21911
1995,"Rhineland-Palatinate, Saarland",At least once per month,0.18814,163,701,0.15919,0.21709
1995,"Rhineland-Palatinate, Saarland",Seldom,0.28261,270,701,0.24926,0.31597
1995,"Rhineland-Palatinate, Saarland",Never,0.13070,121,701,0.10573,0.15567
1995,Baden-Wuerttemberg,At least once per week,0.19170,419,1760,0.17330,0.21009
1995,Baden-Wuerttemberg,At least once per month,0.23528,501,1760,0.21546,0.25510
1995,Baden-Wuerttemberg,Seldom,0.28742,633,1760,0.26627,0.30857
1995,Baden-Wuerttemberg,Never,0.08091,207,1760,0.06816,0.09365
1995,Bavaria,Daily,0.02567,54,1682,0.01811,0.03323
1995,Bavaria,At least once per week,0.25714,522,1682,0.23625,0.27804
1995,Bavaria,At least once per month,0.22870,486,1682,0.20862,0.24878
1995,Bavaria,Seldom,0.22530,472,1682,0.20533,0.24528
1995,Bavaria,Never,0.08340,148,1682,0.07019,0.09662
1995,Berlin,At least once per week,0.17331,113,553,0.14173,0.20488
1995,Berlin,At least once per month,0.27308,188,553,0.23591,0.31025
1995,Berlin,Seldom,0.24679,182,553,0.21083,0.28276
1995,Berlin,Never,0.11533,70,553,0.08868,0.14198
1995,Brandenburg,At least once per week,0.09609,63,576,0.07200,0.12018
1995,Brandenburg,At least once per month,0.16601,131,576,0.13560,0.19643
1995,Brandenburg,Seldom,0.37311,280,576,0.33358,0.41264
1995,Brandenburg,Never,0.18213,102,576,0.15059,0.21368
1995,Mecklenburg-Western Pomerania,At least once per week,0.08021,42,412,0.05395,0.10647
1995,Mecklenburg-Western Pomerania,At least once per month,0.23128,119,412,0.19051,0.27205
1995,Mecklenburg-Western Pomerania,Seldom,0.37255,196,412,0.32581,0.41930
1995,Mecklenburg-Western Pomerania,Never,0.11944,55,412,0.08809,0.15079
1995,Saxony,At least once per week,0.09647,137,1086,0.07891,0.11404
1995,Saxony,At least once per month,0.18141,260,1086,0.15848,0.20434
1995,Saxony,Seldom,0.35549,485,1086,0.32701,0.38397
1995,Saxony,Never,0.18361,204,1086,0.16057,0.20665
1995,Saxony-Anhalt,At least once per week,0.07502,82,673,0.05511,0.09494
1995,Saxony-Anhalt,At least once per month,0.18931,166,673,0.15969,0.21893
1995,Saxony-Anhalt,Seldom,0.35060,290,673,0.31452,0.38668
1995,Saxony-Anhalt,Never,0.21200,135,673,0.18109,0.24290
1995,Thuringa,At least once per week,0.09491,76,642,0.07222,0.11760
1995,Thuringa,At least once per month,0.19073,150,642,0.16032,0.22115
1995,Thuringa,Seldom,0.33072,305,642,0.29430,0.36714
1995,Thuringa,Never,0.17947,111,642,0.14976,0.20918
1998,Schleswig-Holstein,At least once per week,0.10987,45,347,0.07692,0.14282
1998,Schleswig-Holstein,At least once per month,0.26424,115,347,0.21778,0.31070
1998,Schleswig-Holstein,Seldom,0.35140,152,347,0.30110,0.40171
1998,Schleswig-Holstein,Never,0.07985,35,347,0.05129,0.10842
1998,Hamburg,At least once per week,0.20183,36,137,0.13437,0.26929
1998,Hamburg,At least once per month,0.28687,60,137,0.21086,0.36289
1998,Hamburg,Seldom,0.24706,41,137,0.17457,0.31955
1998,Lower Saxony,At least once per week,0.15780,220,1177,0.13696,0.17863
1998,Lower Saxony,At least once per month,0.24328,398,1177,0.21876,0.26781
1998,Lower Saxony,Seldom,0.31552,452,1177,0.28896,0.34208
1998,Lower Saxony,Never,0.08023,107,1177,0.06470,0.09576
1998,Bremen,At least once per month,0.28693,34,67,0.17780,0.39606
1998,Bremen,Seldom,0.31704,33,67,0.20478,0.42931
1998,North Rhine-Westphalia,Daily,0.01479,55,2826,0.01034,0.01924
1998,North Rhine-Westphalia,At least once per week,0.20087,682,2826,0.18609,0.21564
1998,North Rhine-Westphalia,At least once per month,0.26386,893,2826,0.24761,0.28012
1998,North Rhine-Westphalia,Seldom,0.25934,920,2826,0.24318,0.27551
1998,North Rhine-Westphalia,Never,0.07634,276,2826,0.06655,0.08614
1998,Hesse,At least once per week,0.21349,234,927,0.18709,0.23988
1998,Hesse,At least once per month,0.21905,260,927,0.19241,0.24569
1998,Hesse,Seldom,0.27529,311,927,0.24652,0.30406
1998,Hesse,Never,0.10013,122,927,0.08079,0.11946
1998,"Rhineland-Palatinate, Saarland",At least once per week,0.18866,177,788,0.16133,0.21600
1998,"Rhineland-Palatinate, Saarland",At least once per month,0.21613,211,788,0.18738,0.24489
1998,"Rhineland-Palatinate, Saarland",Seldom,0.27772,276,788,0.24643,0.30902
1998,"Rhineland-Palatinate, Saarland",Never,0.12414,124,788,0.10111,0.14718
1998,Baden-Wuerttemberg,Daily,0.01484,41,1809,0.00927,0.02041
1998,Baden-Wuerttemberg,At least once per week,0.21212,476,1809,0.19328,0.23096
1998,Baden-Wuerttemberg,At least once per month,0.23747,494,1809,0.21785,0.25708
1998,Baden-Wuerttemberg,Seldom,0.26843,611,1809,0.24801,0.28886
1998,Baden-Wuerttemberg,Never,0.07718,187,1809,0.06487,0.08948
1998,Bavaria,Daily,0.01662,41,1865,0.01082,0.02243
1998,Bavaria,At least once per week,0.23221,539,1865,0.21305,0.25138
1998,Bavaria,At least once per month,0.24940,570,1865,0.22975,0.26904
1998,Bavaria,Seldom,0.25153,573,1865,0.23183,0.27122
1998,Bavaria,Never,0.07473,142,1865,0.06279,0.08666
1998,Berlin,At least once per week,0.19235,114,518,0.15837,0.22632
1998,Berlin,At least once per month,0.28025,178,518,0.24154,0.31897
1998,Berlin,Seldom,0.27064,185,518,0.23235,0.30894
1998,Berlin,Never,0.06888,41,518,0.04705,0.09071
1998,Brandenburg,At least once per week,0.09540,69,615,0.07217,0.11864
1998,Brandenburg,At least once per month,0.19390,148,615,0.16262,0.22517
1998,Brandenburg,Seldom,0.43649,326,615,0.39726,0.47572
1998,Brandenburg,Never,0.11413,72,615,0.08898,0.13928
1998,Mecklenburg-Western Pomerania,At least once per week,0.08519,45,404,0.05794,0.11245
1998,Mecklenburg-Western Pomerania,At least once per month,0.19906,100,404,0.16007,0.23804
1998,Mecklenburg-Western Pomerania,Seldom,0.39794,210,404,0.35015,0.44573
1998,Mecklenburg-Western Pomerania,Never,0.13254,49,404,0.09943,0.16564
1998,Saxony,At least once per week,0.09983,145,1175,0.08268,0.11698
1998,Saxony,At least once per month,0.19559,289,1175,0.17290,0.21828
1998,Saxony,Seldom,0.40042,586,1175,0.37239,0.42845
1998,Saxony,Never,0.13341,155,1175,0.11396,0.15286
1998,Saxony-Anhalt,At least once per week,0.08577,73,680,0.06470,0.10683
1998,Saxony-Anhalt,At least once per month,0.16867,150,680,0.14050,0.19684
1998,Saxony-Anhalt,Seldom,0.42070,342,680,0.38357,0.45784
1998,Saxony-Anhalt,Never,0.18197,115,680,0.15295,0.21100
1998,Thuringa,At least once per week,0.11981,112,720,0.09607,0.14354
1998,Thuringa,At least once per month,0.18130,179,720,0.15313,0.20946
