year,bula_h,pgisced97,pli0079,proportion,n,lower_confidence,upper_confidence
1990,Nordrhein-Westfalen,middle vocational,Seltener,0.04510629114060645,18165,0.04208818543976215,0.04812439684145075
1990,Nordrhein-Westfalen,middle vocational,Min 1x pro Monat,0.04025035070680911,18165,0.037392087718241325,0.04310861369537689
1990,Nordrhein-Westfalen,middle vocational,Min 1x pro Woche,0.032265026437897915,18165,0.02969532539252936,0.03483472748326647
1990,Baden-Württemberg,middle vocational,Seltener,0.029783101327290385,18165,0.027311048501159448,0.032255154153421325
1990,Bayern,middle vocational,Min 1x pro Monat,0.026545807704758822,18165,0.024208079039502606,0.028883536370015037
1990,Bayern,middle vocational,Seltener,0.026222078342505666,18165,0.02389826154117854,0.02854589514383279
1990,Bayern,middle vocational,Min 1x pro Woche,0.026222078342505666,18165,0.02389826154117854,0.02854589514383279
1990,Baden-Württemberg,middle vocational,Min 1x pro Monat,0.023524333657062694,18165,0.021320251655519647,0.02572841565860574
1990,Baden-Württemberg,middle vocational,Min 1x pro Woche,0.023200604294809538,18165,0.021011377727692432,0.025389830861926643
1990,Nordrhein-Westfalen,general elemantary,Seltener,0.02233732599546779,18165,0.02018826630229331,0.02448638568864227
1990,Niedersachsen,middle vocational,Seltener,0.020394949821948852,18165,0.01833941329540483,0.022450486348492872
1990,Baden-Württemberg,general elemantary,Seltener,0.019963310672277974,18165,0.017929194183690718,0.02199742716086523
1990,Hessen,middle vocational,Seltener,0.01791302471134132,18165,0.015984177584602844,0.019841871838079794
1990,Nordrhein-Westfalen,general elemantary,Min 1x pro Monat,0.017481385561670445,18165,0.015575500572386713,0.019387270550954176
1990,Niedersachsen,middle vocational,Min 1x pro Monat,0.016294377900075537,18165,0.01445322507296778,0.018135530727183297
1990,Bayern,general elemantary,Seltener,0.01597064853782238,18165,0.014147577159662746,0.017793719915982015
1990,Nordrhein-Westfalen,general elemantary,Min 1x pro Woche,0.01338081363979713,18165,0.01170989843992332,0.01505172883967094
1990,Hessen,middle vocational,Min 1x pro Monat,0.012625445127873098,18165,0.011001756738532044,0.014249133517214152
1990,Hessen,middle vocational,Min 1x pro Woche,0.012409625553037661,18165,0.010799698741482613,0.01401955236459271
1990,"Rheinland-Pfalz,Saarland",middle vocational,Seltener,0.012085896190784505,18165,0.010496846811909828,0.013674945569659182
1990,Nordrhein-Westfalen,middle vocational,Nie,0.011762166828531347,18165,0.010194286989010194,0.0133300466680525
1990,Baden-Württemberg,general elemantary,Min 1x pro Monat,0.01154634725369591,18165,0.00999274861182084,0.01309994589557098
1990,Niedersachsen,middle vocational,Min 1x pro Woche,0.01143843746627819,18165,0.00989203126912673,0.012984843663429651
1990,Hessen,general elemantary,Seltener,0.011222617891442754,18165,0.009690702709737594,0.012754533073147913
1990,Niedersachsen,general elemantary,Seltener,0.011006798316607317,18165,0.009489519034377725,0.012524077598836909
1990,Baden-Württemberg,general elemantary,Min 1x pro Woche,0.010898888529189597,18165,0.009388982843201853,0.012408794215177342
1990,Baden-Württemberg,general elemantary,Nie,0.010251429804683285,18165,0.00878658021784274,0.011716279391523829
1990,"Rheinland-Pfalz,Saarland",middle vocational,Min 1x pro Monat,0.010035610229847848,18165,0.008586104122967068,0.011485116336728628
1990,Nordrhein-Westfalen,general elemantary,Nie,0.009711880867594691,18165,0.008285712407269887,0.011138049327919496
1990,"Rheinland-Pfalz,Saarland",middle vocational,Min 1x pro Woche,0.009388151505341535,18165,0.007985724796631788,0.010790578214051282
1990,Bayern,general elemantary,Min 1x pro Monat,0.009172331930506096,18165,0.007785967796846925,0.010558696064165268
1990,Schleswig-Holstein,middle vocational,Seltener,0.009064422143088379,18165,0.007686162174099809,0.010442682112076948
1990,Bayern,general elemantary,Min 1x pro Woche,0.009064422143088379,18165,0.007686162174099809,0.010442682112076948
1990,"Rheinland-Pfalz,Saarland",general elemantary,Seltener,0.00798532426891119,18165,0.0066909982035461835,0.009279650334276197
1990,Nordrhein-Westfalen,higher education,Seltener,0.007445775331822596,18165,0.006195601353035554,0.008695949310609638
1990,Baden-Württemberg,inadequately,Nie,0.0072299557569871584,18165,0.005997899546428138,0.008462011967546179
1990,Nordrhein-Westfalen,inadequately,Nie,0.0072299557569871584,18165,0.005997899546428138,0.008462011967546179
1990,Nordrhein-Westfalen,higher education,Min 1x pro Monat,0.00712204596956944,18165,0.005899152318236566,0.008344939620902315
1990,Baden-Württemberg,middle vocational,Nie,0.006906226394734002,18165,0.005701873099516108,0.008110579689951897
