,Unnamed: 0,year,quintil_oecd,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,1st Quintile,Daily,0.01451,34,9406,0.0101,0.0193
1,1,1990,1st Quintile,At least once per week,0.14486,290,9406,0.13232,0.15802
2,2,1990,1st Quintile,At least once per month,0.18785,341,9406,0.17405,0.20454
3,3,1990,1st Quintile,Seldom,0.39681,726,9406,0.37952,0.41492
4,4,1990,1st Quintile,Never,0.25596,490,9406,0.23528,0.28015
5,5,1990,2nd Quintile,At least once per week,0.20994,384,9406,0.19582,0.22527
6,6,1990,2nd Quintile,At least once per month,0.25856,496,9406,0.24471,0.27291
7,7,1990,2nd Quintile,Seldom,0.40059,726,9406,0.38428,0.42133
8,8,1990,2nd Quintile,Never,0.13091,252,9406,0.11709,0.14461
9,9,1990,3rd Quintile,Daily,0.01927,48,9406,0.01555,0.02287
10,10,1990,3rd Quintile,At least once per week,0.24592,439,9406,0.23151,0.26064
11,11,1990,3rd Quintile,At least once per month,0.24775,501,9406,0.23575,0.26427
12,12,1990,3rd Quintile,Seldom,0.39097,699,9406,0.37316,0.40995
13,13,1990,3rd Quintile,Never,0.09609,220,9406,0.0858,0.1066
14,14,1990,4th Quintile,Daily,0.02169,42,9406,0.0168,0.02647
15,15,1990,4th Quintile,At least once per week,0.28315,534,9406,0.26827,0.29877
16,16,1990,4th Quintile,At least once per month,0.33185,641,9406,0.31749,0.34882
17,17,1990,4th Quintile,Seldom,0.31669,602,9406,0.30704,0.3294
18,18,1990,4th Quintile,Never,0.04662,115,9406,0.03896,0.05426
19,19,1990,5th Quintile,Daily,0.02,50,9406,0.0154,0.02412
20,20,1990,5th Quintile,At least once per week,0.33623,613,9406,0.32305,0.34991
21,21,1990,5th Quintile,At least once per month,0.34009,621,9406,0.32824,0.35315
22,22,1990,5th Quintile,Seldom,0.2776,482,9406,0.26652,0.28965
23,23,1990,5th Quintile,Never,0.02608,60,9406,0.02129,0.03165
24,24,1995,1st Quintile,Daily,0.02185,56,13230,0.01652,0.02881
25,25,1995,1st Quintile,At least once per week,0.13736,336,13230,0.12625,0.15184
26,26,1995,1st Quintile,At least once per month,0.18964,469,13230,0.17336,0.20452
27,27,1995,1st Quintile,Seldom,0.38177,978,13230,0.36327,0.40223
28,28,1995,1st Quintile,Never,0.26938,692,13230,0.25392,0.28536
29,29,1995,2nd Quintile,Daily,0.01104,41,13230,0.00796,0.01411
30,30,1995,2nd Quintile,At least once per week,0.16387,432,13230,0.15131,0.17908
31,31,1995,2nd Quintile,At least once per month,0.22678,654,13230,0.21309,0.24067
32,32,1995,2nd Quintile,Seldom,0.40605,1220,13230,0.39207,0.42598
33,33,1995,2nd Quintile,Never,0.19226,506,13230,0.18033,0.20466
34,34,1995,3rd Quintile,Daily,0.01673,37,13230,0.01243,0.02093
35,35,1995,3rd Quintile,At least once per week,0.19572,543,13230,0.18317,0.20723
36,36,1995,3rd Quintile,At least once per month,0.26828,747,13230,0.25556,0.2837
37,37,1995,3rd Quintile,Seldom,0.3887,1063,13230,0.36697,0.40553
38,38,1995,3rd Quintile,Never,0.13057,314,13230,0.12155,0.1435
39,39,1995,4th Quintile,Daily,0.02429,57,13230,0.02015,0.02885
40,40,1995,4th Quintile,At least once per week,0.25393,638,13230,0.23993,0.2711
41,41,1995,4th Quintile,At least once per month,0.31902,879,13230,0.30349,0.33357
42,42,1995,4th Quintile,Seldom,0.32508,901,13230,0.31282,0.34041
43,43,1995,4th Quintile,Never,0.07768,193,13230,0.06947,0.08519
44,44,1995,5th Quintile,Daily,0.02881,71,13230,0.02275,0.03458
45,45,1995,5th Quintile,At least once per week,0.31733,754,13230,0.30129,0.33046
46,46,1995,5th Quintile,At least once per month,0.35091,886,13230,0.33615,0.36641
47,47,1995,5th Quintile,Seldom,0.26649,663,13230,0.25307,0.28032
48,48,1995,5th Quintile,Never,0.03646,100,13230,0.03149,0.04226
49,49,1998,1st Quintile,Daily,0.01358,33,12271,0.0097,0.01738
50,50,1998,1st Quintile,At least once per week,0.14523,337,12271,0.13434,0.15708
51,51,1998,1st Quintile,At least once per month,0.2034,477,12271,0.18756,0.21808
52,52,1998,1st Quintile,Seldom,0.39902,965,12271,0.37814,0.42132
53,53,1998,1st Quintile,Never,0.23878,521,12271,0.22232,0.25617
54,54,1998,2nd Quintile,Daily,0.0111,37,12271,0.00922,0.01368
55,55,1998,2nd Quintile,At least once per week,0.16272,400,12271,0.14995,0.17359
56,56,1998,2nd Quintile,At least once per month,0.22081,579,12271,0.20773,0.23383
57,57,1998,2nd Quintile,Seldom,0.45048,1191,12271,0.43404,0.47136
58,58,1998,2nd Quintile,Never,0.15489,355,12271,0.14324,0.16785
59,59,1998,3rd Quintile,At least once per week,0.20472,495,12271,0.1911,0.21967
60,60,1998,3rd Quintile,At least once per month,0.29448,754,12271,0.27832,0.31052
61,61,1998,3rd Quintile,Seldom,0.40682,1047,12271,0.38704,0.42912
62,62,1998,3rd Quintile,Never,0.09398,212,12271,0.08492,0.10371
63,63,1998,4th Quintile,Daily,0.01435,38,12271,0.01149,0.01843
64,64,1998,4th Quintile,At least once per week,0.25775,646,12271,0.24319,0.27483
65,65,1998,4th Quintile,At least once per month,0.31684,849,12271,0.30346,0.33223
66,66,1998,4th Quintile,Seldom,0.34187,891,12271,0.32616,0.35641
67,67,1998,4th Quintile,Never,0.06919,169,12271,0.06151,0.07736
68,68,1998,5th Quintile,Daily,0.02624,64,12271,0.02195,0.03144
69,69,1998,5th Quintile,At least once per week,0.30427,698,12271,0.28944,0.32076
70,70,1998,5th Quintile,At least once per month,0.38197,839,12271,0.36434,0.40481
71,71,1998,5th Quintile,Seldom,0.25716,608,12271,0.24296,0.26924
72,72,1998,5th Quintile,Never,0.03036,66,12271,0.02584,0.03577
73,73,2003,1st Quintile,Daily,0.01384,47,22098,0.01123,0.01622
74,74,2003,1st Quintile,At least once per week,0.14719,485,22098,0.1402,0.15581
75,75,2003,1st Quintile,At least once per month,0.19977,653,22098,0.18974,0.20985
76,76,2003,1st Quintile,Seldom,0.40229,1414,22098,0.38828,0.41635
77,77,2003,1st Quintile,Never,0.23691,793,22098,0.22522,0.24737
78,78,2003,2nd Quintile,At least once per week,0.156,560,22098,0.14686,0.16448
79,79,2003,2nd Quintile,At least once per month,0.24824,967,22098,0.23893,0.25815
80,80,2003,2nd Quintile,Seldom,0.43976,1736,22098,0.42474,0.45648
81,81,2003,2nd Quintile,Never,0.156,576,22098,0.14833,0.16364
82,82,2003,3rd Quintile,Daily,0.0143,46,22098,0.01165,0.01749
83,83,2003,3rd Quintile,At least once per week,0.18527,745,22098,0.17499,0.19309
84,84,2003,3rd Quintile,At least once per month,0.30349,1257,22098,0.29226,0.31603
85,85,2003,3rd Quintile,Seldom,0.40229,1715,22098,0.38763,0.41896
86,86,2003,3rd Quintile,Never,0.09466,358,22098,0.08905,0.10152
87,87,2003,4th Quintile,Daily,0.01382,66,22098,0.01078,0.01711
88,88,2003,4th Quintile,At least once per week,0.23923,1003,22098,0.227,0.25138
89,89,2003,4th Quintile,At least once per month,0.32407,1460,22098,0.31134,0.33564
90,90,2003,4th Quintile,Seldom,0.35935,1628,22098,0.34756,0.37213
91,91,2003,4th Quintile,Never,0.06353,261,22098,0.05796,0.06928
92,92,2003,5th Quintile,Daily,0.02471,159,22098,0.02026,0.02913
93,93,2003,5th Quintile,At least once per week,0.31312,2135,22098,0.29913,0.32632
94,94,2003,5th Quintile,At least once per month,0.35079,2318,22098,0.33681,0.36599
95,95,2003,5th Quintile,Seldom,0.28267,1583,22098,0.2724,0.29667
96,96,2003,5th Quintile,Never,0.02872,133,22098,0.02476,0.03301
97,97,2008,1st Quintile,Daily,0.01298,34,19274,0.00949,0.01635
98,98,2008,1st Quintile,At least once per week,0.13613,385,19274,0.12657,0.14673
99,99,2008,1st Quintile,At least once per month,0.18751,574,19274,0.17556,0.19968
100,100,2008,1st Quintile,Seldom,0.41992,1295,19274,0.40214,0.4389
101,101,2008,1st Quintile,Never,0.24347,719,19274,0.22893,0.25681
102,102,2008,2nd Quintile,Daily,0.01078,31,19274,0.00851,0.01388
103,103,2008,2nd Quintile,At least once per week,0.14633,452,19274,0.13493,0.15582
104,104,2008,2nd Quintile,At least once per month,0.25678,828,19274,0.24322,0.27121
105,105,2008,2nd Quintile,Seldom,0.44567,1603,19274,0.42767,0.46426
106,106,2008,2nd Quintile,Never,0.14044,434,19274,0.13241,0.14922
107,107,2008,3rd Quintile,Daily,0.01422,41,19274,0.01125,0.01729
108,108,2008,3rd Quintile,At least once per week,0.18372,612,19274,0.16773,0.19757
109,109,2008,3rd Quintile,At least once per month,0.30254,1112,19274,0.28808,0.3204
110,110,2008,3rd Quintile,Seldom,0.42452,1728,19274,0.40905,0.44068
111,111,2008,3rd Quintile,Never,0.07501,270,19274,0.06735,0.08207
112,112,2008,4th Quintile,Daily,0.0149,42,19274,0.0115,0.01823
113,113,2008,4th Quintile,At least once per week,0.21652,832,19274,0.20418,0.23121
114,114,2008,4th Quintile,At least once per month,0.34422,1343,19274,0.32642,0.35821
115,115,2008,4th Quintile,Seldom,0.3698,1503,19274,0.35165,0.3864
116,116,2008,4th Quintile,Never,0.05455,208,19274,0.04846,0.05933
117,117,2008,5th Quintile,Daily,0.02491,114,19274,0.02046,0.02956
118,118,2008,5th Quintile,At least once per week,0.33189,1720,19274,0.31774,0.34943
119,119,2008,5th Quintile,At least once per month,0.35187,1916,19274,0.33677,0.36843
120,120,2008,5th Quintile,Seldom,0.26483,1353,19274,0.25168,0.27956
121,121,2008,5th Quintile,Never,0.02651,125,19274,0.02307,0.03019
122,122,2013,1st Quintile,Daily,0.01046,59,25459,0.00782,0.01342
123,123,2013,1st Quintile,At least once per week,0.14904,661,25459,0.13669,0.1618
124,124,2013,1st Quintile,At least once per month,0.20956,1176,25459,0.19588,0.22547
125,125,2013,1st Quintile,Seldom,0.40744,2191,25459,0.38544,0.42716
126,126,2013,1st Quintile,Never,0.22351,1038,25459,0.20726,0.23924
127,127,2013,2nd Quintile,Daily,0.01135,46,25459,0.00842,0.01476
128,128,2013,2nd Quintile,At least once per week,0.16102,769,25459,0.14997,0.17196
129,129,2013,2nd Quintile,At least once per month,0.31231,1540,25459,0.29419,0.32906
130,130,2013,2nd Quintile,Seldom,0.40099,2281,25459,0.37985,0.41844
131,131,2013,2nd Quintile,Never,0.11433,513,25459,0.1048,0.1254
132,132,2013,3rd Quintile,Daily,0.01115,50,25459,0.00828,0.01446
133,133,2013,3rd Quintile,At least once per week,0.20972,924,25459,0.19449,0.22422
134,134,2013,3rd Quintile,At least once per month,0.3358,1732,25459,0.31741,0.35329
135,135,2013,3rd Quintile,Seldom,0.37429,1885,25459,0.35792,0.39039
136,136,2013,3rd Quintile,Never,0.06904,302,25459,0.06145,0.07635
137,137,2013,4th Quintile,Daily,0.01841,71,25459,0.0143,0.02406
138,138,2013,4th Quintile,At least once per week,0.25785,1141,25459,0.24239,0.27029
139,139,2013,4th Quintile,At least once per month,0.35663,1826,25459,0.33707,0.37269
140,140,2013,4th Quintile,Seldom,0.3192,1634,25459,0.3048,0.33567
141,141,2013,4th Quintile,Never,0.04791,185,25459,0.04261,0.05339
142,142,2013,5th Quintile,Daily,0.02831,140,25459,0.02275,0.03335
143,143,2013,5th Quintile,At least once per week,0.33931,1815,25459,0.31905,0.35557
144,144,2013,5th Quintile,At least once per month,0.38447,2147,25459,0.36743,0.40502
145,145,2013,5th Quintile,Seldom,0.23538,1253,25459,0.22006,0.24871
146,146,2013,5th Quintile,Never,0.01253,80,25459,0.01025,0.01484
147,147,2017,1st Quintile,Daily,0.04215,63,1552,0.02993,0.05546
148,148,2017,1st Quintile,At least once per week,0.28048,320,1552,0.24555,0.3165
149,149,2017,1st Quintile,At least once per month,0.26066,393,1552,0.23365,0.28606
150,150,2017,1st Quintile,Seldom,0.19355,312,1552,0.1678,0.21982
151,151,2017,1st Quintile,Never,0.22316,424,1552,0.19705,0.24936
152,152,2017,2nd Quintile,At least once per month,1.0,40,1552,0.68533,1.26985
153,153,2018,1st Quintile,Daily,0.02135,49,2611,0.01384,0.02891
154,154,2018,1st Quintile,At least once per week,0.30057,592,2611,0.27441,0.33141
155,155,2018,1st Quintile,At least once per month,0.29585,762,2611,0.26633,0.32135
156,156,2018,1st Quintile,Seldom,0.20141,503,2611,0.18039,0.22301
157,157,2018,1st Quintile,Never,0.18082,505,2611,0.16333,0.2023
158,158,2018,2nd Quintile,At least once per week,0.27454,51,2611,0.19347,0.36051
159,159,2018,2nd Quintile,At least once per month,0.34067,64,2611,0.25637,0.4262
160,160,2018,2nd Quintile,Seldom,0.16737,44,2611,0.11805,0.22333
161,161,2018,2nd Quintile,Never,0.21742,41,2611,0.16544,0.30481
162,162,2019,1st Quintile,Daily,0.01828,105,25529,0.01395,0.02275
163,163,2019,1st Quintile,At least once per week,0.20602,1461,25529,0.18764,0.22503
164,164,2019,1st Quintile,At least once per month,0.27607,2058,25529,0.25762,0.29743
165,165,2019,1st Quintile,Seldom,0.33272,2157,25529,0.31221,0.35267
166,166,2019,1st Quintile,Never,0.16692,1250,25529,0.15422,0.18432
167,167,2019,2nd Quintile,Daily,0.01239,67,25529,0.00969,0.01596
168,168,2019,2nd Quintile,At least once per week,0.20822,941,25529,0.19218,0.22319
169,169,2019,2nd Quintile,At least once per month,0.33621,1705,25529,0.31749,0.35539
170,170,2019,2nd Quintile,Seldom,0.35772,1781,25529,0.33611,0.38182
171,171,2019,2nd Quintile,Never,0.08546,427,25529,0.07662,0.09526
172,172,2019,3rd Quintile,Daily,0.01166,55,25529,0.0091,0.015
173,173,2019,3rd Quintile,At least once per week,0.23466,1003,25529,0.21726,0.25004
174,174,2019,3rd Quintile,At least once per month,0.4009,1783,25529,0.37751,0.42063
175,175,2019,3rd Quintile,Seldom,0.30183,1476,25529,0.2844,0.31924
176,176,2019,3rd Quintile,Never,0.05095,208,25529,0.04502,0.05769
177,177,2019,4th Quintile,Daily,0.01221,51,25529,0.00937,0.01517
178,178,2019,4th Quintile,At least once per week,0.26387,1108,25529,0.24742,0.2803
179,179,2019,4th Quintile,At least once per month,0.42581,1862,25529,0.40372,0.4455
180,180,2019,4th Quintile,Seldom,0.26928,1133,25529,0.25087,0.28534
181,181,2019,4th Quintile,Never,0.02883,117,25529,0.02353,0.03495
182,182,2019,5th Quintile,Daily,0.01925,88,25529,0.01421,0.02462
183,183,2019,5th Quintile,At least once per week,0.37285,1692,25529,0.35179,0.39292
184,184,2019,5th Quintile,At least once per month,0.40003,1993,25529,0.38155,0.4209
185,185,2019,5th Quintile,Seldom,0.19121,942,25529,0.17559,0.20647
186,186,2019,5th Quintile,Never,0.01667,66,25529,0.01359,0.02038
