year,migback,quintil_oecd,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,1st Quintile,At least once per week,0.14192,156,1003,0.12032,0.16353
1990,No migration background,1st Quintile,At least once per month,0.19783,212,1003,0.17316,0.22249
1990,No migration background,1st Quintile,Seldom,0.40483,428,1003,0.37444,0.43523
1990,No migration background,1st Quintile,Never,0.24276,207,1003,0.21621,0.26931
1990,No migration background,2nd Quintile,At least once per week,0.20739,249,1224,0.18467,0.23012
1990,No migration background,2nd Quintile,At least once per month,0.25869,343,1224,0.23415,0.28324
1990,No migration background,2nd Quintile,Seldom,0.39755,498,1224,0.37012,0.42498
1990,No migration background,2nd Quintile,Never,0.12417,134,1224,0.10569,0.14266
1990,No migration background,3rd Quintile,At least once per week,0.26205,329,1271,0.23786,0.28623
1990,No migration background,3rd Quintile,At least once per month,0.25897,358,1271,0.23488,0.28307
1990,No migration background,3rd Quintile,Seldom,0.38511,490,1271,0.35834,0.41187
1990,No migration background,3rd Quintile,Never,0.07977,94,1271,0.06487,0.09467
1990,No migration background,4th Quintile,At least once per week,0.28331,422,1476,0.26031,0.30631
1990,No migration background,4th Quintile,At least once per month,0.32292,493,1476,0.29906,0.34679
1990,No migration background,4th Quintile,Seldom,0.33139,506,1476,0.30736,0.35541
1990,No migration background,4th Quintile,Never,0.04121,55,1476,0.03106,0.05135
1990,No migration background,5th Quintile,At least once per week,0.34674,551,1543,0.32299,0.37050
1990,No migration background,5th Quintile,At least once per month,0.34934,555,1543,0.32555,0.37314
1990,No migration background,5th Quintile,Seldom,0.26125,398,1543,0.23932,0.28318
1990,No migration background,5th Quintile,Never,0.02404,39,1543,0.01640,0.03169
1990,Direct migration background,1st Quintile,At least once per week,0.14726,117,786,0.12247,0.17205
1990,Direct migration background,1st Quintile,At least once per month,0.15210,126,786,0.12698,0.17722
1990,Direct migration background,1st Quintile,Seldom,0.36161,276,786,0.32800,0.39522
1990,Direct migration background,1st Quintile,Never,0.31848,267,786,0.28589,0.35107
1990,Direct migration background,2nd Quintile,At least once per week,0.15757,98,560,0.12736,0.18777
1990,Direct migration background,2nd Quintile,At least once per month,0.23631,129,560,0.20109,0.27153
1990,Direct migration background,2nd Quintile,Seldom,0.39251,216,560,0.35203,0.43299
1990,Direct migration background,2nd Quintile,Never,0.20092,117,560,0.16770,0.23413
1990,Direct migration background,3rd Quintile,At least once per week,0.17636,98,515,0.14341,0.20930
1990,Direct migration background,3rd Quintile,At least once per month,0.21117,128,515,0.17588,0.24645
1990,Direct migration background,3rd Quintile,Seldom,0.39308,178,515,0.35085,0.43530
1990,Direct migration background,3rd Quintile,Never,0.17435,111,515,0.14155,0.20715
1990,Direct migration background,4th Quintile,At least once per week,0.22435,76,367,0.18161,0.26709
1990,Direct migration background,4th Quintile,At least once per month,0.32961,122,367,0.28145,0.37777
1990,Direct migration background,4th Quintile,Seldom,0.31612,107,367,0.26848,0.36375
1990,Direct migration background,4th Quintile,Never,0.11596,62,367,0.08316,0.14876
1990,Direct migration background,5th Quintile,At least once per week,0.22000,53,191,0.16110,0.27890
1990,Direct migration background,5th Quintile,At least once per month,0.26451,65,191,0.20180,0.32723
1990,Direct migration background,5th Quintile,Seldom,0.40098,73,191,0.33130,0.47067
1995,No migration background,1st Quintile,At least once per week,0.13813,203,1517,0.12076,0.15550
1995,No migration background,1st Quintile,At least once per month,0.20916,320,1517,0.18869,0.22963
1995,No migration background,1st Quintile,Seldom,0.39684,644,1517,0.37221,0.42147
1995,No migration background,1st Quintile,Never,0.23587,350,1517,0.21450,0.25724
1995,No migration background,2nd Quintile,At least once per week,0.16051,279,1997,0.14441,0.17661
1995,No migration background,2nd Quintile,At least once per month,0.23020,477,1997,0.21173,0.24866
1995,No migration background,2nd Quintile,Seldom,0.41711,917,1997,0.39548,0.43875
1995,No migration background,2nd Quintile,Never,0.18023,324,1997,0.16337,0.19710
1995,No migration background,3rd Quintile,At least once per week,0.18355,397,2059,0.16683,0.20028
1995,No migration background,3rd Quintile,At least once per month,0.27637,594,2059,0.25705,0.29569
1995,No migration background,3rd Quintile,Seldom,0.39470,842,2059,0.37358,0.41582
1995,No migration background,3rd Quintile,Never,0.12995,226,2059,0.11542,0.14448
1995,No migration background,4th Quintile,Daily,0.02568,48,2186,0.01905,0.03231
1995,No migration background,4th Quintile,At least once per week,0.26300,532,2186,0.24454,0.28146
1995,No migration background,4th Quintile,At least once per month,0.31880,720,2186,0.29926,0.33834
1995,No migration background,4th Quintile,Seldom,0.32628,756,2186,0.30662,0.34594
1995,No migration background,4th Quintile,Never,0.06624,130,2186,0.05581,0.07667
1995,No migration background,5th Quintile,Daily,0.02717,53,2124,0.02025,0.03409
1995,No migration background,5th Quintile,At least once per week,0.31988,653,2124,0.30004,0.33972
1995,No migration background,5th Quintile,At least once per month,0.35015,770,2124,0.32986,0.37044
1995,No migration background,5th Quintile,Seldom,0.26758,573,2124,0.24875,0.28641
1995,No migration background,5th Quintile,Never,0.03522,75,2124,0.02738,0.04306
1995,Direct migration background,1st Quintile,At least once per week,0.11283,96,831,0.09130,0.13435
1995,Direct migration background,1st Quintile,At least once per month,0.11981,115,831,0.09772,0.14191
1995,Direct migration background,1st Quintile,Seldom,0.34425,289,831,0.31193,0.37658
1995,Direct migration background,1st Quintile,Never,0.40347,331,831,0.37010,0.43685
1995,Direct migration background,2nd Quintile,At least once per week,0.17187,110,705,0.14400,0.19974
1995,Direct migration background,2nd Quintile,At least once per month,0.15489,141,705,0.12816,0.18162
1995,Direct migration background,2nd Quintile,Seldom,0.39229,277,705,0.35622,0.42836
1995,Direct migration background,2nd Quintile,Never,0.26970,177,705,0.23692,0.30249
1995,Direct migration background,3rd Quintile,At least once per week,0.21101,96,520,0.17591,0.24612
1995,Direct migration background,3rd Quintile,At least once per month,0.23607,126,520,0.19953,0.27260
1995,Direct migration background,3rd Quintile,Seldom,0.34031,204,520,0.29954,0.38107
1995,Direct migration background,3rd Quintile,Never,0.19838,94,520,0.16408,0.23269
1995,Direct migration background,4th Quintile,At least once per week,0.19937,72,379,0.15909,0.23965
1995,Direct migration background,4th Quintile,At least once per month,0.30331,118,379,0.25697,0.34965
1995,Direct migration background,4th Quintile,Seldom,0.35257,137,379,0.30440,0.40073
1995,Direct migration background,4th Quintile,Never,0.13001,52,379,0.09610,0.16391
1995,Direct migration background,5th Quintile,At least once per week,0.24762,71,254,0.19444,0.30081
1995,Direct migration background,5th Quintile,At least once per month,0.38513,110,254,0.32517,0.44510
1995,Direct migration background,5th Quintile,Seldom,0.26728,73,254,0.21275,0.32181
1995,Indirect migration background,1st Quintile,At least once per week,0.27687,39,114,0.19437,0.35938
1995,Indirect migration background,1st Quintile,At least once per month,0.31829,35,114,0.23240,0.40418
1995,Indirect migration background,1st Quintile,Seldom,0.31422,40,114,0.22863,0.39981
