year,bula_h,sampreg,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,West,Seldom,0.4628975265017668,18165,0.4556463349721359,0.4701487180313977
1990,Schleswig-Holstein,West,At least once per month,0.26855123674911663,18165,0.2621059253666405,0.27499654813159274
1990,Schleswig-Holstein,West,At least once per week,0.14487632508833923,18165,0.139757720919117,0.14999492925756144
1990,Schleswig-Holstein,West,Never,0.10600706713780919,18165,0.10153021425771665,0.11048392001790174
1990,Schleswig-Holstein,West,Daily,0.0176678445229682,18165,0.015752004088913155,0.019583684957023242
1990,Hamburg,West,Seldom,0.3192771084337349,18165,0.3124974558610494,0.32605676100642045
1990,Hamburg,West,At least once per month,0.2891566265060241,18165,0.2825634924749319,0.29574976053711627
1990,Hamburg,West,At least once per week,0.2469879518072289,18165,0.24071636818837888,0.25325953542607893
1990,Hamburg,West,Never,0.12048192771084337,18165,0.1157479990607762,0.12521585636091057
1990,Hamburg,West,Daily,0.024096385542168676,18165,0.021866319189216353,0.026326451895121
1990,Lower Saxony,West,Seldom,0.38809034907597534,18165,0.3810035773603816,0.3951771207915691
1990,Lower Saxony,West,At least once per month,0.2874743326488706,18165,0.2808926314150557,0.29405603388268553
1990,Lower Saxony,West,At least once per week,0.18993839835728954,18165,0.18423407968812827,0.1956427170264508
1990,Lower Saxony,West,Never,0.11498973305954825,18165,0.11035054414882967,0.11962892197026684
1990,Lower Saxony,West,Daily,0.019507186858316223,18165,0.01749597463576594,0.021518399080866505
1990,Bremen,West,At least once per month,0.38235294117647056,18165,0.3752858486606054,0.38942003369233574
1990,Bremen,West,Seldom,0.3627450980392157,18165,0.3557531894972684,0.36973700658116293
1990,Bremen,West,At least once per week,0.13725490196078433,18165,0.13225059947958476,0.1422592044419839
1990,Bremen,West,Never,0.09803921568627451,18165,0.09371475341793564,0.10236367795461337
1990,Bremen,West,Daily,0.0196078431372549,18165,0.017591552208115,0.021624134066394803
1990,North Rhine-Westphalia,West,Seldom,0.3372502937720329,18165,0.3303750308573826,0.3441255566866832
1990,North Rhine-Westphalia,West,At least once per month,0.2835879357618488,18165,0.2770330716729369,0.29014279985076075
1990,North Rhine-Westphalia,West,At least once per week,0.24167645906776342,18165,0.23545083612465298,0.24790208201087385
1990,North Rhine-Westphalia,West,Never,0.11868390129259694,18165,0.11398062893376248,0.1233871736514314
