year,regtyp,sex,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,Daily,0.02908,121,3692,0.02366,0.03450
1990,Urban regions,male,At least once per week,0.31348,1110,3692,0.29852,0.32845
1990,Urban regions,male,At least once per month,0.27653,992,3692,0.26210,0.29096
1990,Urban regions,male,Seldom,0.31076,1130,3692,0.29583,0.32569
1990,Urban regions,male,Never,0.07015,339,3692,0.06191,0.07839
1990,Urban regions,female,Daily,0.00514,32,3790,0.00286,0.00742
1990,Urban regions,female,At least once per week,0.19732,702,3790,0.18465,0.20999
1990,Urban regions,female,At least once per month,0.28507,1073,3790,0.27069,0.29944
1990,Urban regions,female,Seldom,0.37581,1394,3790,0.36039,0.39123
1990,Urban regions,female,Never,0.13666,589,3790,0.12572,0.14760
1990,Rural regions,male,Daily,0.03752,39,961,0.02550,0.04954
1990,Rural regions,male,At least once per week,0.29813,285,961,0.26919,0.32707
1990,Rural regions,male,At least once per month,0.23888,247,961,0.21191,0.26586
1990,Rural regions,male,Seldom,0.33335,305,961,0.30353,0.36317
1990,Rural regions,male,Never,0.09212,85,961,0.07383,0.11042
1990,Rural regions,female,At least once per week,0.16424,163,984,0.14108,0.18741
1990,Rural regions,female,At least once per month,0.27764,288,984,0.24964,0.30563
1990,Rural regions,female,Seldom,0.42139,407,984,0.39052,0.45226
1990,Rural regions,female,Never,0.13051,126,984,0.10945,0.15157
1995,Urban regions,male,Daily,0.03325,125,4190,0.02782,0.03868
1995,Urban regions,male,At least once per week,0.28778,1148,4190,0.27407,0.30149
1995,Urban regions,male,At least once per month,0.26674,1140,4190,0.25335,0.28013
1995,Urban regions,male,Seldom,0.31085,1326,4190,0.29683,0.32487
1995,Urban regions,male,Never,0.10139,451,4190,0.09225,0.11053
1995,Urban regions,female,Daily,0.00936,51,4517,0.00655,0.01217
1995,Urban regions,female,At least once per week,0.19091,813,4517,0.17945,0.20237
1995,Urban regions,female,At least once per month,0.29190,1301,4517,0.27864,0.30516
1995,Urban regions,female,Seldom,0.36309,1670,4517,0.34906,0.37711
1995,Urban regions,female,Never,0.14474,682,4517,0.13448,0.15501
1995,Rural regions,male,Daily,0.03410,68,2197,0.02651,0.04169
1995,Rural regions,male,At least once per week,0.22290,463,2197,0.20550,0.24031
1995,Rural regions,male,At least once per month,0.25005,552,2197,0.23194,0.26817
1995,Rural regions,male,Seldom,0.35805,832,2197,0.33800,0.37810
1995,Rural regions,male,Never,0.13490,282,2197,0.12061,0.14918
1995,Rural regions,female,At least once per week,0.12960,279,2312,0.11591,0.14330
1995,Rural regions,female,At least once per month,0.27530,642,2312,0.25709,0.29351
1995,Rural regions,female,Seldom,0.39937,1001,2312,0.37940,0.41934
1995,Rural regions,female,Never,0.18730,390,2312,0.17139,0.20320
1998,Urban regions,male,Daily,0.02660,116,4461,0.02188,0.03132
1998,Urban regions,male,At least once per week,0.28761,1246,4461,0.27433,0.30090
1998,Urban regions,male,At least once per month,0.29114,1291,4461,0.27781,0.30448
1998,Urban regions,male,Seldom,0.31499,1444,4461,0.30136,0.32863
1998,Urban regions,male,Never,0.07965,364,4461,0.07170,0.08760
1998,Urban regions,female,Daily,0.01057,56,4796,0.00767,0.01346
1998,Urban regions,female,At least once per week,0.20014,924,4796,0.18881,0.21146
1998,Urban regions,female,At least once per month,0.31286,1489,4796,0.29973,0.32598
1998,Urban regions,female,Seldom,0.34663,1733,4796,0.33316,0.36010
1998,Urban regions,female,Never,0.12981,594,4796,0.12029,0.13932
