year,sex,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,male,Daily,0.02027,160,4653,0.01622,0.02432
1990,male,At least once per week,0.20236,1395,4653,0.19082,0.21391
1990,male,At least once per month,0.17485,1239,4653,0.16393,0.18576
1990,male,Seldom,0.20635,1435,4653,0.19472,0.21798
1990,male,Never,0.04914,424,4653,0.04293,0.05535
1990,female,Daily,0.00359,41,4783,0.00189,0.00528
1990,female,At least once per week,0.12644,865,4783,0.11702,0.13586
1990,female,At least once per month,0.18876,1361,4783,0.17766,0.19985
1990,female,Seldom,0.25719,1801,4783,0.24480,0.26958
1990,female,Never,0.09010,715,4783,0.08198,0.09821
1995,male,Daily,0.02702,193,6387,0.02304,0.03100
1995,male,At least once per week,0.21538,1611,6387,0.20530,0.22546
1995,male,At least once per month,0.21076,1692,6387,0.20076,0.22077
1995,male,Seldom,0.26269,2158,6387,0.25189,0.27348
1995,male,Never,0.09032,733,6387,0.08329,0.09735
1995,female,Daily,0.00752,69,6847,0.00547,0.00956
1995,female,At least once per week,0.14237,1092,6847,0.13409,0.15064
1995,female,At least once per month,0.23759,1943,6847,0.22750,0.24767
1995,female,Seldom,0.31022,2671,6847,0.29926,0.32117
1995,female,Never,0.13092,1072,6847,0.12292,0.13891
1998,male,Daily,0.02003,161,6872,0.01671,0.02334
1998,male,At least once per week,0.21647,1759,6872,0.20673,0.22620
1998,male,At least once per month,0.22914,1910,6872,0.21921,0.23908
1998,male,Seldom,0.27607,2439,6872,0.26550,0.28664
1998,male,Never,0.07286,603,6872,0.06671,0.07900
1998,female,Daily,0.00745,74,7326,0.00548,0.00942
1998,female,At least once per week,0.14650,1229,7326,0.13840,0.15460
1998,female,At least once per month,0.24674,2169,7326,0.23687,0.25661
1998,female,Seldom,0.31637,2920,7326,0.30572,0.32703
1998,female,Never,0.11322,934,7326,0.10596,0.12047
2003,male,Daily,0.01935,253,10660,0.01673,0.02196
2003,male,At least once per week,0.20828,2792,10660,0.20057,0.21599
2003,male,At least once per month,0.22803,3065,10660,0.22006,0.23599
2003,male,Seldom,0.29020,3666,10660,0.28158,0.29881
2003,male,Never,0.07789,884,10660,0.07281,0.08298
2003,female,Daily,0.00642,93,11469,0.00496,0.00788
2003,female,At least once per week,0.14363,2138,11469,0.13721,0.15005
2003,female,At least once per month,0.24908,3590,11469,0.24116,0.25699
2003,female,Seldom,0.33083,4411,11469,0.32222,0.33944
2003,female,Never,0.10850,1237,11469,0.10281,0.11419
2008,male,Daily,0.02074,198,9187,0.01782,0.02365
2008,male,At least once per week,0.20304,2196,9187,0.19482,0.21127
2008,male,At least once per month,0.23355,2659,9187,0.22490,0.24220
2008,male,Seldom,0.29756,3394,9187,0.28821,0.30691
2008,male,Never,0.07468,740,9187,0.06930,0.08005
2008,female,Daily,0.00589,64,10089,0.00440,0.00739
2008,female,At least once per week,0.14272,1806,10089,0.13589,0.14955
2008,female,At least once per month,0.25331,3114,10089,0.24483,0.26180
2008,female,Seldom,0.34289,4089,10089,0.33363,0.35216
2008,female,Never,0.10118,1016,10089,0.09529,0.10706
2013,male,Daily,0.01743,255,11522,0.01504,0.01982
2013,male,At least once per week,0.19659,2794,11522,0.18933,0.20384
2013,male,At least once per month,0.23496,3579,11522,0.22722,0.24270
2013,male,Seldom,0.24288,3985,11522,0.23504,0.25071
2013,male,Never,0.05966,909,11522,0.05533,0.06398
2013,female,Daily,0.00797,111,13941,0.00649,0.00944
2013,female,At least once per week,0.15325,2517,13941,0.14727,0.15923
2013,female,At least once per month,0.25978,4843,13941,0.25250,0.26706
2013,female,Seldom,0.27936,5260,13941,0.27191,0.28681
2013,female,Never,0.07285,1210,13941,0.06854,0.07716
2017,male,Daily,0.00031,86,2262,-0.00042,0.00104
2017,male,At least once per week,0.00194,510,2262,0.00013,0.00376
2017,male,At least once per month,0.00182,528,2262,0.00006,0.00357
2017,male,Seldom,0.00130,466,2262,-0.00018,0.00279
2017,male,Never,0.00195,672,2262,0.00013,0.00376
2017,female,Daily,0.00006,31,1705,-0.00031,0.00044
2017,female,At least once per week,0.00057,248,1705,-0.00056,0.00171
2017,female,At least once per month,0.00085,371,1705,-0.00053,0.00224
2017,female,Seldom,0.00084,370,1705,-0.00054,0.00221
2017,female,Never,0.00163,685,1705,-0.00028,0.00355
2018,male,Daily,0.00023,47,1883,-0.00045,0.00090
2018,male,At least once per week,0.00264,531,1883,0.00032,0.00495
2018,male,At least once per month,0.00214,588,1883,0.00005,0.00422
2018,male,Seldom,0.00129,365,1883,-0.00033,0.00291
2018,male,Never,0.00115,352,1883,-0.00038,0.00268
2018,female,At least once per week,0.00074,254,1272,-0.00075,0.00223
2018,female,At least once per month,0.00115,412,1272,-0.00071,0.00301
2018,female,Seldom,0.00090,296,1272,-0.00075,0.00255
2018,female,Never,0.00094,310,1272,-0.00075,0.00262
2019,male,Daily,0.01972,380,14101,0.01743,0.02202
2019,male,At least once per week,0.24172,4228,14101,0.23466,0.24879
2019,male,At least once per month,0.28630,4749,14101,0.27883,0.29376
2019,male,Seldom,0.22901,3694,14101,0.22207,0.23594
2019,male,Never,0.05284,1050,14101,0.04915,0.05654
2019,female,Daily,0.00663,132,14684,0.00532,0.00795
2019,female,At least once per week,0.19888,3350,14684,0.19243,0.20534
2019,female,At least once per month,0.32982,5748,14684,0.32222,0.33743
2019,female,Seldom,0.24925,4337,14684,0.24226,0.25625
2019,female,Never,0.05842,1117,14684,0.05462,0.06221
