year,pgisced97,quintil_oecd,pli0079,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Primary Level,1st Quintile,Seldom,0.32077,69,184,0.25314,0.38840
1990,Primary Level,1st Quintile,Never,0.39373,115,184,0.32294,0.46452
1990,Primary Level,2nd Quintile,Seldom,0.33481,54,102,0.24278,0.42685
1990,Primary Level,2nd Quintile,Never,0.30909,48,102,0.21897,0.39922
1990,Primary Level,3rd Quintile,Seldom,0.34145,34,72,0.23115,0.45175
1990,Primary Level,3rd Quintile,Never,0.21173,38,72,0.11670,0.30676
1990,Lower Secondary Level,1st Quintile,At least once per week,0.10370,101,711,0.08127,0.12612
1990,Lower Secondary Level,1st Quintile,At least once per month,0.17208,128,711,0.14431,0.19984
1990,Lower Secondary Level,1st Quintile,Seldom,0.39372,281,711,0.35778,0.42966
1990,Lower Secondary Level,1st Quintile,Never,0.31940,201,711,0.28511,0.35370
1990,Lower Secondary Level,2nd Quintile,At least once per week,0.16876,110,566,0.13788,0.19965
1990,Lower Secondary Level,2nd Quintile,At least once per month,0.19331,122,566,0.16075,0.22587
1990,Lower Secondary Level,2nd Quintile,Seldom,0.41355,231,566,0.37294,0.45416
1990,Lower Secondary Level,2nd Quintile,Never,0.21851,103,566,0.18444,0.25259
1990,Lower Secondary Level,3rd Quintile,At least once per week,0.20344,104,489,0.16772,0.23916
1990,Lower Secondary Level,3rd Quintile,At least once per month,0.24232,118,489,0.20430,0.28033
1990,Lower Secondary Level,3rd Quintile,Seldom,0.41646,196,489,0.37272,0.46020
1990,Lower Secondary Level,3rd Quintile,Never,0.12044,71,489,0.09156,0.14932
1990,Lower Secondary Level,4th Quintile,At least once per week,0.23413,97,420,0.19358,0.27467
1990,Lower Secondary Level,4th Quintile,At least once per month,0.29205,135,420,0.24851,0.33559
1990,Lower Secondary Level,4th Quintile,Seldom,0.36827,149,420,0.32209,0.41446
1990,Lower Secondary Level,4th Quintile,Never,0.08408,39,420,0.05751,0.11065
1990,Lower Secondary Level,5th Quintile,At least once per week,0.28723,67,195,0.22356,0.35090
1990,Lower Secondary Level,5th Quintile,At least once per month,0.32912,65,195,0.26300,0.39524
1990,Lower Secondary Level,5th Quintile,Seldom,0.30019,63,195,0.23569,0.36469
1990,Upper Secondary Level,1st Quintile,At least once per week,0.14534,122,699,0.11919,0.17149
1990,Upper Secondary Level,1st Quintile,At least once per month,0.20886,148,699,0.17870,0.23902
1990,Upper Secondary Level,1st Quintile,Seldom,0.41603,298,699,0.37946,0.45260
1990,Upper Secondary Level,1st Quintile,Never,0.21334,131,699,0.18295,0.24373
1990,Upper Secondary Level,2nd Quintile,At least once per week,0.20625,176,883,0.17955,0.23296
1990,Upper Secondary Level,2nd Quintile,At least once per month,0.27997,262,883,0.25034,0.30961
1990,Upper Secondary Level,2nd Quintile,Seldom,0.40408,360,883,0.37170,0.43647
1990,Upper Secondary Level,2nd Quintile,Never,0.09627,85,883,0.07680,0.11574
1990,Upper Secondary Level,3rd Quintile,At least once per week,0.24984,235,938,0.22212,0.27757
1990,Upper Secondary Level,3rd Quintile,At least once per month,0.26468,277,938,0.23643,0.29293
1990,Upper Secondary Level,3rd Quintile,Seldom,0.37633,342,938,0.34531,0.40735
1990,Upper Secondary Level,3rd Quintile,Never,0.08895,84,938,0.07072,0.10718
1990,Upper Secondary Level,4th Quintile,At least once per week,0.30943,322,1030,0.28119,0.33768
1990,Upper Secondary Level,4th Quintile,At least once per month,0.30651,335,1030,0.27834,0.33468
1990,Upper Secondary Level,4th Quintile,Seldom,0.32894,333,1030,0.30024,0.35765
1990,Upper Secondary Level,4th Quintile,Never,0.03108,40,1030,0.02048,0.04168
1990,Upper Secondary Level,5th Quintile,At least once per week,0.31508,293,859,0.28399,0.34616
1990,Upper Secondary Level,5th Quintile,At least once per month,0.34799,322,859,0.31612,0.37986
1990,Upper Secondary Level,5th Quintile,Seldom,0.28560,244,859,0.25538,0.31583
1990,Post-secondary Non-tertiary Level,5th Quintile,At least once per week,0.53598,35,35,0.36835,0.70362
