year,sampreg,plh0032,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,West,Very concerned,0.3296557787942072,3887,12029,0.32952450204390066,0.32978705554451376
1984,West,Somewhat concerned,0.5394819231422103,6373,12029,0.5393427292030128,0.5396211170814078
1984,West,Not concerned at all,0.13086229806358243,1769,12029,0.1307681177565543,0.13095647837061056
1985,West,Very concerned,0.30852876784016237,3249,10870,0.30840042621336644,0.3086571094669583
1985,West,Somewhat concerned,0.5613317109069079,6015,10870,0.561193827959536,0.5614695938542799
1985,West,Not concerned at all,0.13013952125292966,1606,10870,0.1300460319220606,0.13023301058379871
1986,West,Very concerned,0.19144671709807262,1962,10432,0.1913372633404045,0.19155617085574075
1986,West,Somewhat concerned,0.5751202670647789,5984,10432,0.5749827474219659,0.575257786707592
1986,West,Not concerned at all,0.2334330158371485,2486,10432,0.233315334230906,0.23355069744339102
1987,West,Very concerned,0.2057983079085905,1980,10308,0.20568591800900207,0.20591069780817892
1987,West,Somewhat concerned,0.6089775108725775,6210,10308,0.6088418537894444,0.6091131679557105
1987,West,Not concerned at all,0.1852241812188321,2118,10308,0.1851161849162777,0.1853321775213865
1988,West,Very concerned,0.279502830531182,2540,9868,0.2793784907408005,0.27962717032156353
1988,West,Somewhat concerned,0.5832949053952768,5790,9868,0.5831583026639862,0.5834315081265675
1988,West,Not concerned at all,0.13720226407354116,1538,9868,0.13710693266197957,0.13729759548510276
1989,West,Very concerned,0.17548552029586814,1634,9525,0.1753805247105356,0.17559051588120067
1989,West,Somewhat concerned,0.5824864573589473,5533,9525,0.5823503350047387,0.582622579713156
1989,West,Not concerned at all,0.24202802234518456,2358,9525,0.24190979698310186,0.24214624770726725
1990,West,Very concerned,0.1499507914638979,1686,13749,0.14986329154715208,0.1500382913806437
1990,West,Somewhat concerned,0.41891657358916223,4951,13749,0.41879565467443186,0.4190374925038926
1990,West,Not concerned at all,0.23280563805369947,2704,13749,0.2327020616868653,0.23290921442053364
1990,East,Very concerned,0.07040717438198371,1625,13749,0.07034447459516051,0.07046987416880691
1990,East,Somewhat concerned,0.10649779715749345,2361,13749,0.10642219584223839,0.10657339847274852
1990,East,Not concerned at all,0.021422025353763217,422,13749,0.021386540811468378,0.021457509896058057
1991,West,Very concerned,0.1489404507952488,1668,13481,0.14885356839116665,0.14902733319933098
1991,West,Somewhat concerned,0.4706199277501844,5534,13481,0.4704981229302963,0.4707417325700725
1991,West,Not concerned at all,0.17596865725749358,2159,13481,0.17587573172711876,0.1760615827878684
1991,East,Very concerned,0.09667913545669375,1971,13481,0.09660701924201567,0.09675125167137183
1991,East,Somewhat concerned,0.09432447990840881,1912,13481,0.09425315453610383,0.09439580528071378
1991,East,Not concerned at all,0.013467348831970656,237,13481,0.013439220608122983,0.01349547705581833
1992,West,Very concerned,0.19054027820476402,2130,13194,0.19044472383281907,0.19063583257670896
1992,West,Somewhat concerned,0.48253059562855166,5557,13194,0.48240901502093986,0.48265217623616347
1992,West,Not concerned at all,0.1255444653528438,1568,13194,0.12546384824859444,0.12562508245709317
1992,East,Very concerned,0.07260597116075224,1436,13194,0.07254283504494277,0.0726691072765617
1992,East,Somewhat concerned,0.10932285525996896,2158,13194,0.10924693194182121,0.10939877857811671
1992,East,Not concerned at all,0.01945583439311933,345,13194,0.01942222829790283,0.01948944048833583
1993,West,Very concerned,0.3187154386347273,3535,13018,0.31860272352206237,0.3188281537473922
1993,West,Somewhat concerned,0.42900120113742796,4962,13018,0.4288814821109831,0.4291209201638728
1993,West,Not concerned at all,0.051805995722591695,708,13018,0.05175238459519424,0.05185960684998915
1993,East,Very concerned,0.08353382929602315,1569,13018,0.08346690162082224,0.08360075697122407
1993,East,Somewhat concerned,0.10650807145745715,2061,13018,0.1064334518599106,0.1065826910550037
1993,East,Not concerned at all,0.010435463751772804,183,13018,0.010410883050810345,0.010460044452735264
1994,West,Very concerned,0.29573829833274373,3264,12811,0.29562809455669836,0.2958485021087891
