year,bula_h,pgisced97,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.55233,47,47,0.40863,0.69603
1984,Schleswig-Holstein,Upper Secondary Level,Very concerned,0.32645,72,192,0.25995,0.39296
1984,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.53673,120,192,0.46601,0.60745
1984,Hamburg,Lower Secondary Level,Somewhat concerned,0.46873,33,33,0.29583,0.64163
1984,Hamburg,Upper Secondary Level,Very concerned,0.26758,42,130,0.19119,0.34398
1984,Hamburg,Upper Secondary Level,Somewhat concerned,0.57070,88,130,0.48528,0.65612
1984,Lower Saxony,Primary Level,Somewhat concerned,0.75984,40,40,0.62577,0.89391
1984,Lower Saxony,Lower Secondary Level,Very concerned,0.36769,135,363,0.31802,0.41736
1984,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.50994,181,363,0.45844,0.56144
1984,Lower Saxony,Lower Secondary Level,Not concerned at all,0.12237,47,363,0.08861,0.15613
1984,Lower Saxony,Upper Secondary Level,Very concerned,0.37938,222,581,0.33989,0.41887
1984,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.55953,320,581,0.51913,0.59993
1984,Lower Saxony,Upper Secondary Level,Not concerned at all,0.06109,39,581,0.04160,0.08058
1984,Lower Saxony,First Stage of Tertiary Education,Very concerned,0.37016,31,70,0.25622,0.48409
1984,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,0.50369,39,70,0.38571,0.62166
1984,Lower Saxony,Second Stage of Tertiary Education,Somewhat concerned,0.71919,55,55,0.59933,0.83905
1984,Bremen,Upper Secondary Level,Very concerned,0.63923,47,47,0.50045,0.77800
1984,North Rhine-Westphalia,Primary Level,Very concerned,0.32232,94,296,0.26899,0.37566
1984,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.43344,117,296,0.37689,0.48999
1984,North Rhine-Westphalia,Primary Level,Not concerned at all,0.24424,85,296,0.19521,0.29327
1984,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.36189,301,857,0.32970,0.39408
1984,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.48200,422,857,0.44853,0.51548
1984,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.15611,134,857,0.13180,0.18043
1984,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.38964,583,1513,0.36506,0.41422
1984,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.51399,781,1513,0.48880,0.53918
1984,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.09637,149,1513,0.08149,0.11124
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Very concerned,0.52427,44,76,0.41124,0.63730
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.43023,32,76,0.31818,0.54229
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.32861,52,144,0.25163,0.40560
