"plh0032","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1984","(Fach-)Abitur","452","0.570825585828961","0.537706901620584","0.603944270037337"
"Einige Sorgen","1984","(noch) kein Abschluss","596","0.498750075374124","0.471142296627621","0.526357854120627"
"Einige Sorgen","1984","AkademikerIn","447","0.565767603871068","0.531050190660203","0.600485017081934"
"Einige Sorgen","1984","Hauptschule","3772","0.52789742616293","0.516344536330776","0.539450315995084"
"Einige Sorgen","1984","Realschule","1071","","",""
"Grosse Sorgen","1984","(Fach-)Abitur","295","","",""
"Grosse Sorgen","1984","(noch) kein Abschluss","329","0.271270823853184","0.246721053129158","0.295820594577211"
"Grosse Sorgen","1984","AkademikerIn","231","","",""
"Grosse Sorgen","1984","Hauptschule","2417","","",""
"Grosse Sorgen","1984","Realschule","581","0.307165144847338","0.286256392514633","0.328073897180043"
"Keine Sorgen","1984","(Fach-)Abitur","111","","",""
"Keine Sorgen","1984","(noch) kein Abschluss","335","0.229979100772692","0.206743267021103","0.253214934524281"
"Keine Sorgen","1984","AkademikerIn","105","","",""
"Keine Sorgen","1984","Hauptschule","984","0.128454167242538","0.120711031194771","0.136197303290305"
"Keine Sorgen","1984","Realschule","218","","",""
"Einige Sorgen","1985","(Fach-)Abitur","451","0.585127015754655","0.550528137786485","0.619725893722825"
"Einige Sorgen","1985","(noch) kein Abschluss","546","0.535863914443857","0.50578473007933","0.565943098808384"
"Einige Sorgen","1985","AkademikerIn","475","0.636712319496897","0.602199881525322","0.671224757468473"
"Einige Sorgen","1985","Hauptschule","3410","0.541346197441551","0.529094266780878","0.553598128102224"
"Einige Sorgen","1985","Realschule","1072","","",""
"Grosse Sorgen","1985","(Fach-)Abitur","235","","",""
"Grosse Sorgen","1985","(noch) kein Abschluss","234","","",""
"Grosse Sorgen","1985","AkademikerIn","203","","",""
"Grosse Sorgen","1985","Hauptschule","2030","","",""
"Grosse Sorgen","1985","Realschule","511","0.281635641464204","0.260844925606909","0.302426357321499"
"Keine Sorgen","1985","(Fach-)Abitur","93","0.0983910705148331","0.0774756641337077","0.119306476895958"
"Keine Sorgen","1985","(noch) kein Abschluss","276","","",""
"Keine Sorgen","1985","AkademikerIn","68","0.10085182104129","0.0792427456818586","0.122460896400722"
"Keine Sorgen","1985","Hauptschule","914","0.131621177841131","0.123308480204175","0.139933875478087"
"Keine Sorgen","1985","Realschule","215","","",""
"Einige Sorgen","1986","(Fach-)Abitur","457","0.576601704400682","0.542427152246698","0.610776256554665"
"Einige Sorgen","1986","(noch) kein Abschluss","525","0.496989240093466","0.466199537137903","0.527778943049029"
"Einige Sorgen","1986","AkademikerIn","440","0.581636847096504","0.546191087088242","0.617082607104765"
"Einige Sorgen","1986","Hauptschule","3449","0.57275105745522","0.560224784260417","0.585277330650023"
