"plh0032","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","1438","0.324214493276061","0.310633125623265","0.337795860928857"
"Grosse Sorgen","1984","35-65 Jahre alt","2134","0.357452661833258","0.345599612245709","0.369305711420807"
"Grosse Sorgen","1984","66 und älter","336","0.259261742019882","0.235131516050642","0.283391967989123"
"Einige Sorgen","1984","16-34 Jahre alt","2496","0.561712758948207","0.54731617629144","0.576109341604975"
"Einige Sorgen","1984","35-65 Jahre alt","3279","0.538656546036585","0.526327302774189","0.55098578929898"
"Einige Sorgen","1984","66 und älter","636","0.499759594695823","0.472228103317981","0.527291086073665"
"Keine Sorgen","1984","16-34 Jahre alt","629","0.114072747775732","0.104848884883909","0.123296610667555"
"Keine Sorgen","1984","35-65 Jahre alt","867","0.103890792130157","0.0963444365006188","0.111437147759696"
"Keine Sorgen","1984","66 und älter","295","0.240978663284295","0.217429467991373","0.264527858577217"
"Grosse Sorgen","1985","16-34 Jahre alt","1162","0.290927410054914","0.277082168920585","0.304772651189243"
"Grosse Sorgen","1985","35-65 Jahre alt","1824","0.340233596486385","0.327940369413987","0.352526823558783"
"Grosse Sorgen","1985","66 und älter","279","0.251397707016792","0.225667516349859","0.277127897683726"
"Einige Sorgen","1985","16-34 Jahre alt","2324","0.57686704903345","0.56180655756056","0.591927540506341"
"Einige Sorgen","1985","35-65 Jahre alt","3147","0.563661363270535","0.550793596641052","0.576529129900017"
"Einige Sorgen","1985","66 und älter","570","0.521075349937198","0.491446101768523","0.550704598105872"
"Keine Sorgen","1985","16-34 Jahre alt","648","0.132205540911635","0.121880396847383","0.142530684975888"
"Keine Sorgen","1985","35-65 Jahre alt","735","0.0961050402430805","0.0884576320469425","0.103752448439219"
"Keine Sorgen","1985","66 und älter","243","0.22752694304601","0.202661576933244","0.252392309158776"
"Grosse Sorgen","1986","16-34 Jahre alt","724","0.182011082789258","0.170133478694117","0.193888686884398"
"Grosse Sorgen","1986","35-65 Jahre alt","1080","0.210666319309759","0.19980715150661","0.221525487112908"
"Grosse Sorgen","1986","66 und älter","160","0.15296617660162","0.130897782793403","0.175034570409836"
"Einige Sorgen","1986","16-34 Jahre alt","2320","0.579086162047553","0.563888582883541","0.594283741211564"
"Einige Sorgen","1986","35-65 Jahre alt","3192","0.599249766587647","0.586199796927441","0.612299736247854"
"Einige Sorgen","1986","66 und älter","508","0.496877468164451","0.466223678127931","0.52753125820097"
"Keine Sorgen","1986","16-34 Jahre alt","1010","0.23890275516319","0.225776619972408","0.252028890353971"
"Keine Sorgen","1986","35-65 Jahre alt","1145","0.190083914102594","0.179635235548646","0.200532592656542"
"Keine Sorgen","1986","66 und älter","354","0.35015635523393","0.320910920086533","0.379401790381326"
"Grosse Sorgen","1987","16-34 Jahre alt","663","0.177352712062697","0.165514172192402","0.189191251932992"
"Grosse Sorgen","1987","35-65 Jahre alt","1114","0.225585512449238","0.214343523152392","0.236827501746084"
"Grosse Sorgen","1987","66 und älter","210","0.203597389251461","0.17935655297878","0.227838225524141"
"Einige Sorgen","1987","16-34 Jahre alt","2440","0.626152900476483","0.61115744730059","0.641148353652376"
"Einige Sorgen","1987","35-65 Jahre alt","3266","0.637679620846054","0.624751110702736","0.650608130989372"
"Einige Sorgen","1987","66 und älter","532","0.497863417653447","0.467763784844068","0.527963050462826"
"Keine Sorgen","1987","16-34 Jahre alt","896","0.19649438746082","0.18417917464153","0.208809600280109"
"Keine Sorgen","1987","35-65 Jahre alt","930","0.136734866704708","0.127494002964191","0.145975730445225"
"Keine Sorgen","1987","66 und älter","318","0.298539193095093","0.270990719470108","0.326087666720077"
"Grosse Sorgen","1988","16-34 Jahre alt","819","0.222443230473878","0.209258283126511","0.235628177821246"
"Grosse Sorgen","1988","35-65 Jahre alt","1448","0.316478639036463","0.30365976555906","0.329297512513867"
"Grosse Sorgen","1988","66 und älter","280","0.277335761716967","0.250127384475231","0.304544138958702"
"Einige Sorgen","1988","16-34 Jahre alt","2323","0.621951449995338","0.606578586164332","0.637324313826345"
"Einige Sorgen","1988","35-65 Jahre alt","2976","0.58987378345464","0.576317522279986","0.603430044629294"
"Einige Sorgen","1988","66 und älter","519","0.492903442184762","0.462518551503897","0.523288332865626"
"Keine Sorgen","1988","16-34 Jahre alt","680","0.155605319530783","0.144113528664906","0.16709711039666"
"Keine Sorgen","1988","35-65 Jahre alt","633","0.093647577508897","0.0856178938146334","0.101677261203161"
"Keine Sorgen","1988","66 und älter","241","0.229760796098272","0.204193653427984","0.255327938768559"
"Grosse Sorgen","1989","16-34 Jahre alt","549","0.144142856610828","0.132883187067292","0.155402526154365"
"Grosse Sorgen","1989","35-65 Jahre alt","928","0.200262438981322","0.188973894261448","0.211550983701195"
"Grosse Sorgen","1989","66 und älter","164","0.173246615640871","0.149859887291918","0.196633343989824"
"Einige Sorgen","1989","16-34 Jahre alt","2198","0.595794444692988","0.580062666799916","0.61152622258606"
"Einige Sorgen","1989","35-65 Jahre alt","2840","0.595862480955282","0.582020378287916","0.609704583622648"
"Einige Sorgen","1989","66 und älter","523","0.515427364601","0.484544876749597","0.546309852452404"
"Keine Sorgen","1989","16-34 Jahre alt","991","0.260062698696183","0.246000120978514","0.274125276413853"
"Keine Sorgen","1989","35-65 Jahre alt","1060","0.203875080063396","0.192510925243461","0.215239234883332"
"Keine Sorgen","1989","66 und älter","319","0.311326019758129","0.282713003105196","0.339939036411062"
"Grosse Sorgen","1990","16-34 Jahre alt","1196","0.209987644046726","0.199045972585621","0.220929315507831"
"Grosse Sorgen","1990","35-65 Jahre alt","1868","0.244695338925154","0.234649413013736","0.254741264836573"
"Grosse Sorgen","1990","66 und älter","261","0.16857537444335","0.149463298716758","0.187687450169942"
