year,age_gr,bula_h,plh0032,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Very concerned,0.33275,31,84,0.23138,0.43412
1984,17-29 y.,Schleswig-Holstein,Somewhat concerned,0.55196,53,84,0.44497,0.65894
1984,17-29 y.,Hamburg,Somewhat concerned,0.60124,38,38,0.44347,0.75902
1984,17-29 y.,Lower Saxony,Very concerned,0.36014,119,332,0.30842,0.41185
1984,17-29 y.,Lower Saxony,Somewhat concerned,0.54491,178,332,0.49126,0.59856
1984,17-29 y.,Lower Saxony,Not concerned at all,0.09495,35,332,0.06337,0.12653
1984,17-29 y.,North Rhine-Westphalia,Very concerned,0.36065,337,957,0.33021,0.39108
1984,17-29 y.,North Rhine-Westphalia,Somewhat concerned,0.53458,495,957,0.50296,0.56620
1984,17-29 y.,North Rhine-Westphalia,Not concerned at all,0.10478,125,957,0.08536,0.12419
1984,17-29 y.,Hesse,Very concerned,0.29343,97,372,0.24710,0.33977
1984,17-29 y.,Hesse,Somewhat concerned,0.54080,198,372,0.49009,0.59151
1984,17-29 y.,Hesse,Not concerned at all,0.16577,77,372,0.12793,0.20361
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.33832,82,226,0.27650,0.40015
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.60522,144,226,0.54135,0.66909
1984,17-29 y.,Baden-Wuerttemberg,Very concerned,0.31552,186,644,0.27960,0.35144
1984,17-29 y.,Baden-Wuerttemberg,Somewhat concerned,0.54075,345,644,0.50223,0.57927
1984,17-29 y.,Baden-Wuerttemberg,Not concerned at all,0.14373,113,644,0.11662,0.17085
1984,17-29 y.,Bavaria,Very concerned,0.26022,147,555,0.22368,0.29676
1984,17-29 y.,Bavaria,Somewhat concerned,0.60402,325,555,0.56330,0.64475
1984,17-29 y.,Bavaria,Not concerned at all,0.13576,83,555,0.10723,0.16428
1984,17-29 y.,Berlin,Very concerned,0.24824,34,89,0.15798,0.33850
1984,17-29 y.,Berlin,Somewhat concerned,0.59742,55,89,0.49496,0.69989
1984,30-45 y.,Schleswig-Holstein,Very concerned,0.33493,49,123,0.25118,0.41868
1984,30-45 y.,Schleswig-Holstein,Somewhat concerned,0.53267,74,123,0.44414,0.62121
1984,30-45 y.,Hamburg,Very concerned,0.40517,48,102,0.30943,0.50091
1984,30-45 y.,Hamburg,Somewhat concerned,0.46518,54,102,0.36791,0.56246
1984,30-45 y.,Lower Saxony,Very concerned,0.37161,137,355,0.32127,0.42195
1984,30-45 y.,Lower Saxony,Somewhat concerned,0.57676,218,355,0.52529,0.62823
1984,30-45 y.,North Rhine-Westphalia,Very concerned,0.36559,383,1083,0.33689,0.39429
1984,30-45 y.,North Rhine-Westphalia,Somewhat concerned,0.53051,550,1083,0.50077,0.56025
1984,30-45 y.,North Rhine-Westphalia,Not concerned at all,0.10390,150,1083,0.08572,0.12208
1984,30-45 y.,Hesse,Very concerned,0.28699,102,367,0.24065,0.33334
1984,30-45 y.,Hesse,Somewhat concerned,0.57612,195,367,0.52549,0.62675
1984,30-45 y.,Hesse,Not concerned at all,0.13689,70,367,0.10168,0.17211
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.36950,75,181,0.29899,0.44001
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.52787,106,181,0.45494,0.60080
1984,30-45 y.,Baden-Wuerttemberg,Very concerned,0.30714,200,736,0.27379,0.34049
1984,30-45 y.,Baden-Wuerttemberg,Somewhat concerned,0.57025,394,736,0.53446,0.60604
1984,30-45 y.,Baden-Wuerttemberg,Not concerned at all,0.12261,142,736,0.09890,0.14633
1984,30-45 y.,Bavaria,Very concerned,0.32631,213,664,0.29062,0.36200
1984,30-45 y.,Bavaria,Somewhat concerned,0.58787,384,664,0.55040,0.62533
1984,30-45 y.,Bavaria,Not concerned at all,0.08582,67,664,0.06450,0.10714
1984,30-45 y.,Berlin,Very concerned,0.37983,47,120,0.29262,0.46703
1984,30-45 y.,Berlin,Somewhat concerned,0.54484,73,120,0.45537,0.63431
1984,46-65 y.,Schleswig-Holstein,Somewhat concerned,0.65791,66,66,0.54258,0.77325
1984,46-65 y.,Hamburg,Somewhat concerned,0.45273,31,31,0.27461,0.63085
1984,46-65 y.,Lower Saxony,Very concerned,0.40175,135,319,0.34787,0.45564
1984,46-65 y.,Lower Saxony,Somewhat concerned,0.52815,184,319,0.47328,0.58302
1984,46-65 y.,North Rhine-Westphalia,Very concerned,0.42771,371,901,0.39539,0.46004
1984,46-65 y.,North Rhine-Westphalia,Somewhat concerned,0.48078,429,901,0.44813,0.51342
1984,46-65 y.,North Rhine-Westphalia,Not concerned at all,0.09151,101,901,0.07267,0.11035
1984,46-65 y.,Hesse,Very concerned,0.31793,118,396,0.27201,0.36386
1984,46-65 y.,Hesse,Somewhat concerned,0.58616,222,396,0.53758,0.63473
1984,46-65 y.,Hesse,Not concerned at all,0.09591,56,396,0.06687,0.12495
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Very concerned,0.42524,112,256,0.36456,0.48592
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Somewhat concerned,0.49368,144,256,0.43232,0.55505
1984,46-65 y.,Baden-Wuerttemberg,Very concerned,0.28944,180,644,0.25438,0.32449
1984,46-65 y.,Baden-Wuerttemberg,Somewhat concerned,0.55878,347,644,0.52040,0.59716
1984,46-65 y.,Baden-Wuerttemberg,Not concerned at all,0.15178,117,644,0.12405,0.17951
1984,46-65 y.,Bavaria,Very concerned,0.29584,180,602,0.25935,0.33233
1984,46-65 y.,Bavaria,Somewhat concerned,0.58153,342,602,0.54209,0.62097
1984,46-65 y.,Bavaria,Not concerned at all,0.12263,80,602,0.09641,0.14886
1984,46-65 y.,Berlin,Very concerned,0.30129,40,109,0.21476,0.38783
1984,46-65 y.,Berlin,Somewhat concerned,0.57921,69,109,0.48610,0.67232
1984,66 and older,Lower Saxony,Very concerned,0.24256,40,131,0.16888,0.31625
1984,66 and older,Lower Saxony,Somewhat concerned,0.59576,91,131,0.51140,0.68012
1984,66 and older,North Rhine-Westphalia,Very concerned,0.29205,82,276,0.23831,0.34579
1984,66 and older,North Rhine-Westphalia,Somewhat concerned,0.47998,134,276,0.42093,0.53903
1984,66 and older,North Rhine-Westphalia,Not concerned at all,0.22797,60,276,0.17839,0.27756
1984,66 and older,Hesse,Somewhat concerned,0.50622,51,51,0.36763,0.64480
