year,plh0032,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,Somewhat concerned,0.5298029761409926,16099,0.5220929871857181,0.5375129650962671
1984,Very concerned,0.3231357552581262,16099,0.31591138633743143,0.330360124178821
1984,Not concerned at all,0.1470612686008812,16099,0.14159029406849144,0.15253224313327096
1985,Somewhat concerned,0.5533578656853726,14443,0.545249930755573,0.5614658006151722
1985,Very concerned,0.2988960441582337,14443,0.29143020450578017,0.3063618838106872
1985,Not concerned at all,0.14774609015639376,14443,0.14195887184854156,0.15353330846424595
1986,Somewhat concerned,0.5736196319018405,13742,0.5653508468490974,0.5818884169545836
1986,Not concerned at all,0.23830521472392638,13742,0.23118179780617534,0.2454286316416774
1986,Very concerned,0.18807515337423314,13742,0.1815415205030444,0.19460878624542188
1987,Somewhat concerned,0.6024447031431898,13496,0.5941879195169611,0.6107014867694184
1987,Not concerned at all,0.20547147846332944,13496,0.19865462347667184,0.21228833344998704
1987,Very concerned,0.1920838183934808,13496,0.18543748565051169,0.1987301511364499
1988,Somewhat concerned,0.5867450344548034,12817,0.5782199904197268,0.59527007848988
1988,Very concerned,0.2573976489663559,12817,0.24982856493056246,0.2649667330021494
1988,Not concerned at all,0.1558573165788407,12817,0.14957768150002038,0.162136951657661
1989,Somewhat concerned,0.5808923884514435,12393,0.5722052155863794,0.5895795613165077
1989,Not concerned at all,0.24755905511811024,12393,0.23996028222561003,0.25515782801061043
1989,Very concerned,0.1715485564304462,12393,0.1649112035184737,0.1781859093424187
1990,Somewhat concerned,0.5318204960360754,18165,0.5245639976297136,0.5390769944424372
1990,Very concerned,0.24081751400101825,18165,0.2345994456029006,0.2470355823991359
1990,Not concerned at all,0.22736198996290638,18165,0.22126682679960114,0.23345715312621163
1991,Somewhat concerned,0.5523329129886507,17756,0.545018801977295,0.5596470240000064
1991,Very concerned,0.2699354647281359,17756,0.26340575158612434,0.27646517787014746
1991,Not concerned at all,0.1777316222832134,17756,0.17210856315767975,0.18335468140874706
1992,Somewhat concerned,0.584735485826891,17350,0.5774030466786703,0.5920679249751118
1992,Very concerned,0.2702743671365772,17350,0.26366608521875534,0.2768826490543991
1992,Not concerned at all,0.14499014703653176,17350,0.13975099336995112,0.1502293007031124
1993,Somewhat concerned,0.539483791673068,16993,0.5319894635578518,0.5469781197882843
1993,Very concerned,0.3920725149792595,16993,0.38473193911764225,0.39941309084087673
1993,Not concerned at all,0.06844369334767246,16993,0.06464711543996787,0.07224027125537705
1994,Somewhat concerned,0.5554601514323628,16642,0.5479103571994445,0.5630099456652812
1994,Very concerned,0.37210209975802044,16642,0.3647581636772125,0.3794460358388284
1994,Not concerned at all,0.07243774880961673,16642,0.06849946220746096,0.0763760354117725
1995,Somewhat concerned,0.6278734542143996,17246,0.6206591696763135,0.6350877387524856
1995,Very concerned,0.25400197253622636,17246,0.24750517601873984,0.2604987690537129
1995,Not concerned at all,0.1181245732493741,17246,0.11330747363447036,0.12294167286427785
1996,Somewhat concerned,0.5114991154526575,16862,0.5039541605268982,0.5190440703784167
1996,Very concerned,0.4215829551572956,16862,0.4141293979016161,0.4290365124129751
1996,Not concerned at all,0.06691792939004693,16862,0.0631462679802748,0.07068959079981905
1997,Somewhat concerned,0.48176838810641626,16487,0.47414116671024353,0.489395609502589
1997,Very concerned,0.4697183098591549,16487,0.46210002314918697,0.47733659656912286
1997,Not concerned at all,0.048513302034428794,16487,0.0452337310848257,0.05179287298403189
1998,Somewhat concerned,0.5071196954744114,18147,0.4998455895183321,0.5143938014304906
1998,Very concerned,0.42541942760468066,18147,0.4182259684823971,0.4326128867269642
1998,Not concerned at all,0.06746087692090794,18147,0.06381154661826306,0.07111020722355281
1999,Somewhat concerned,0.6431818181818182,17396,0.6360627731623477,0.6503008632012887
1999,Very concerned,0.2558651026392962,17396,0.24938080806495105,0.2623493972136413
1999,Not concerned at all,0.10095307917888563,17396,0.09647612823330799,0.10543003012446327
2000,Somewhat concerned,0.6114505733656985,30607,0.6059898584510055,0.6169112882803915
2000,Very concerned,0.21992968946178956,30607,0.21528929932970528,0.22457007959387384
2000,Not concerned at all,0.16861973717251194,30607,0.1644250483516341,0.17281442599338978
2001,Somewhat concerned,0.6147126436781609,27798,0.6089915672743533,0.6204337200819685
2001,Very concerned,0.20708045977011494,27798,0.2023168802814675,0.21184403925876238
2001,Not concerned at all,0.17820689655172414,27798,0.17370813685488176,0.18270565624856652
2002,Somewhat concerned,0.5725950831841404,28961,0.5668974713452338,0.578292695023047
2002,Very concerned,0.3336972184620759,28961,0.3282664485780942,0.33912798834605756
2002,Not concerned at all,0.09370769835378367,28961,0.09035131873313353,0.09706407797443382
2003,Very concerned,0.5494629990483527,27727,0.5436064863648863,0.5553195117318191
2003,Somewhat concerned,0.4055376806996873,27727,0.3997582853725993,0.41131707602677536
2003,Not concerned at all,0.04499932025195994,27727,0.04255921001319754,0.04743943049072234
2004,Very concerned,0.4926032750279122,26790,0.486616510292056,0.49859003976376837
2004,Somewhat concerned,0.44999069594343133,26790,0.4440332995274183,0.45594809235944433
2004,Not concerned at all,0.05740602902865649,26790,0.05462048006687806,0.060191577990434925
2005,Very concerned,0.5383794274623969,25520,0.5322629336302765,0.5444959212945172
2005,Somewhat concerned,0.4152838427947598,25520,0.40923794500329175,0.4213297405862279
