"plh0032","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1985","(Fach-)Abitur","Ländlicher Raum","66","0.566153253259256","0.473537060398378","0.658769446120134"
"Einige Sorgen","1985","(Fach-)Abitur","Städtischer Raum","385","0.588816952064952","0.551531210479774","0.626102693650131"
"Einige Sorgen","1985","(noch) kein Abschluss","Ländlicher Raum","60","0.510794921583624","0.427392759050327","0.594197084116921"
"Einige Sorgen","1985","(noch) kein Abschluss","Städtischer Raum","486","0.542229597592598","0.510000940096098","0.574458255089099"
"Einige Sorgen","1985","AkademikerIn","Ländlicher Raum","83","0.690236274102634","0.607847208935855","0.772625339269413"
"Einige Sorgen","1985","AkademikerIn","Städtischer Raum","392","0.625122269570295","0.587170206537229","0.663074332603361"
"Einige Sorgen","1985","Hauptschule","Ländlicher Raum","830","0.533596545708921","0.508680729740295","0.558512361677548"
"Einige Sorgen","1985","Hauptschule","Städtischer Raum","2580","0.544238663795332","0.530169817537799","0.558307510052865"
"Einige Sorgen","1985","Realschule","Ländlicher Raum","236","0.605124670801291","0.557399444308648","0.652849897293934"
"Einige Sorgen","1985","Realschule","Städtischer Raum","836","0.596768669110055","0.571026737691054","0.622510600529056"
"Grosse Sorgen","1985","(Fach-)Abitur","Ländlicher Raum","36","0.349110504229761","0.260029144383655","0.438191864075867"
"Grosse Sorgen","1985","(Fach-)Abitur","Städtischer Raum","199","0.310136444777467","0.275086040198965","0.345186849355969"
"Grosse Sorgen","1985","(noch) kein Abschluss","Ländlicher Raum","32","0.25852256288878","0.185474829574157","0.331570296203404"
"Grosse Sorgen","1985","(noch) kein Abschluss","Städtischer Raum","202","0.209752547425344","0.183415812984144","0.236089281866543"
"Grosse Sorgen","1985","AkademikerIn","Ländlicher Raum","32","0.254918436264536","0.177265490128449","0.332571382400623"
"Grosse Sorgen","1985","AkademikerIn","Städtischer Raum","171","0.264063678460196","0.229502978029761","0.298624378890631"
"Grosse Sorgen","1985","Hauptschule","Ländlicher Raum","535","0.352221455784678","0.328364835724113","0.376078075845243"
"Grosse Sorgen","1985","Hauptschule","Städtischer Raum","1495","0.317631189805522","0.304479964967982","0.330782414643063"
"Grosse Sorgen","1985","Realschule","Ländlicher Raum","128","0.305960807835766","0.26097034455835","0.350951271113181"
"Grosse Sorgen","1985","Realschule","Städtischer Raum","383","0.274284507645186","0.25087216758903","0.297696847701343"
"Keine Sorgen","1985","(Fach-)Abitur","Ländlicher Raum","8","","",""
"Keine Sorgen","1985","(Fach-)Abitur","Städtischer Raum","85","0.101046603157581","0.0782082659856338","0.123884940329527"
"Keine Sorgen","1985","(noch) kein Abschluss","Ländlicher Raum","46","0.230682515527596","0.160396538121694","0.300968492933497"
"Keine Sorgen","1985","(noch) kein Abschluss","Städtischer Raum","230","0.248017854982058","0.220081355404353","0.275954354559762"
"Keine Sorgen","1985","AkademikerIn","Ländlicher Raum","6","","",""
"Keine Sorgen","1985","AkademikerIn","Städtischer Raum","62","0.110814051969509","0.0862046083305044","0.135423495608513"
