"year","bildungsniveau","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Fach-)Abitur","Ostdeutschland","5.23","4.5","394","3","4","6","7","7","5.09","5.37","1","7","5","6"
"2005","(Fach-)Abitur","Westdeutschland","5.31","4.5","1890","4","4","6","7","7","5.25","5.37","1","7","5","6"
"2005","(noch) kein Abschluss","Ostdeutschland","5.02","4.5","166","3","4","6","7","7","4.78","5.26","1","7","5","5"
"2005","(noch) kein Abschluss","Westdeutschland","4.97","4.5","723","3","4","6","7","7","4.86","5.08","1","7","5","5"
"2005","AkademikerIn","Ostdeutschland","5.44","5.5","1246","4","5","7","7","7","5.37","5.51","1","7","6","6"
"2005","AkademikerIn","Westdeutschland","5.52","5.5","2903","4","5","6","7","7","5.47","5.57","1","7","6","6"
"2005","Hauptschule","Ostdeutschland","5.12","4.5","1275","3","4","7","7","7","5.03","5.21","1","7","5","6"
"2005","Hauptschule","Westdeutschland","5.2","4.5","6213","3","4","7","7","7","5.16","5.24","1","7","5","6"
"2005","Realschule","Ostdeutschland","5.19","4.5","1843","3","4","6","7","7","5.12","5.26","1","7","5","6"
"2005","Realschule","Westdeutschland","5.28","5.5","3521","3","4","6","7","7","5.23","5.33","1","7","5","6"
"2006","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2006","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Hauptschule","Westdeutschland","","","","","","","","","","","","","",""
"2006","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"2006","Realschule","Westdeutschland","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Westdeutschland","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Westdeutschland","","","","","","","","","","","","","",""
"2007","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"2007","AkademikerIn","Westdeutschland","","","","","","","","","","","","","",""
