year,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Owner,"Yes, Regularly",0.07602,143,2313,0.06522,0.08682
1991,Owner,"Yes, Occasionally",0.04862,80,2313,0.03985,0.05739
1991,Owner,No,0.86112,2090,2313,0.84702,0.87522
1991,Tenant,"Yes, Regularly",0.04610,103,4240,0.03979,0.05242
1991,Tenant,"Yes, Occasionally",0.03523,88,4240,0.02968,0.04078
1991,Tenant,No,0.90729,4049,4240,0.89855,0.91602
1994,Owner,"Yes, Regularly",0.08793,148,2278,0.07630,0.09956
1994,Owner,"Yes, Occasionally",0.05610,93,2278,0.04665,0.06555
1994,Owner,No,0.82699,2037,2278,0.81146,0.84253
1994,Tenant,"Yes, Regularly",0.04515,104,4074,0.03877,0.05153
1994,Tenant,"Yes, Occasionally",0.03374,76,4074,0.02820,0.03929
1994,Tenant,No,0.89370,3894,4074,0.88424,0.90317
1999,Owner,"Yes, Regularly",0.09688,185,2842,0.08600,0.10776
1999,Owner,"Yes, Occasionally",0.05237,110,2842,0.04418,0.06056
1999,Owner,No,0.84421,2547,2842,0.83088,0.85755
1999,Tenant,"Yes, Regularly",0.04570,122,4255,0.03942,0.05197
1999,Tenant,"Yes, Occasionally",0.02902,77,4255,0.02398,0.03407
1999,Tenant,No,0.91768,4056,4255,0.90942,0.92594
2000,Owner,"Yes, Regularly",0.09011,408,5770,0.08272,0.09750
2000,Owner,"Yes, Occasionally",0.04343,204,5770,0.03817,0.04869
2000,Owner,No,0.85685,5158,5770,0.84781,0.86589
2000,Tenant,"Yes, Regularly",0.03938,216,7059,0.03484,0.04392
2000,Tenant,"Yes, Occasionally",0.02324,125,7059,0.01972,0.02675
2000,Tenant,No,0.92860,6718,7059,0.92260,0.93461
2001,Owner,"Yes, Regularly",0.10245,418,5250,0.09425,0.11065
2001,Owner,"Yes, Occasionally",0.04814,206,5250,0.04235,0.05393
2001,Owner,No,0.84562,4626,5250,0.83585,0.85540
2001,Tenant,"Yes, Regularly",0.04478,213,6393,0.03971,0.04985
2001,Tenant,"Yes, Occasionally",0.03087,149,6393,0.02663,0.03511
2001,Tenant,No,0.92101,6031,6393,0.91440,0.92762
2002,Owner,"Yes, Regularly",0.07922,554,5821,0.07228,0.08616
2002,Owner,"Yes, Occasionally",0.04160,249,5821,0.03647,0.04673
2002,Owner,No,0.87304,5018,5821,0.86449,0.88160
2002,Tenant,"Yes, Regularly",0.04362,259,6346,0.03859,0.04864
2002,Tenant,"Yes, Occasionally",0.02826,142,6346,0.02418,0.03233
2002,Tenant,No,0.92387,5945,6346,0.91735,0.93040
2003,Owner,"Yes, Regularly",0.08975,580,5636,0.08228,0.09721
2003,Owner,"Yes, Occasionally",0.04667,250,5636,0.04116,0.05218
2003,Owner,No,0.85745,4806,5636,0.84832,0.86657
2003,Tenant,"Yes, Regularly",0.04624,245,6117,0.04098,0.05151
2003,Tenant,"Yes, Occasionally",0.02746,143,6117,0.02336,0.03155
2003,Tenant,No,0.92200,5729,6117,0.91528,0.92872
2004,Owner,"Yes, Regularly",0.06803,438,5546,0.06140,0.07466
2004,Owner,"Yes, Occasionally",0.04973,260,5546,0.04401,0.05545
2004,Owner,No,0.87926,4848,5546,0.87069,0.88784
2004,Tenant,"Yes, Regularly",0.03752,191,5960,0.03270,0.04235
2004,Tenant,"Yes, Occasionally",0.02744,126,5960,0.02329,0.03159
2004,Tenant,No,0.93001,5643,5960,0.92354,0.93649
2005,Owner,"Yes, Regularly",0.08213,516,5367,0.07478,0.08947
2005,Owner,"Yes, Occasionally",0.05040,258,5367,0.04455,0.05626
2005,Owner,No,0.86517,4593,5367,0.85604,0.87431
2005,Tenant,"Yes, Regularly",0.04917,243,5796,0.04360,0.05474
2005,Tenant,"Yes, Occasionally",0.03054,137,5796,0.02611,0.03497
2005,Tenant,No,0.91714,5416,5796,0.91005,0.92424
2006,Owner,"Yes, Regularly",0.07761,525,5982,0.07083,0.08439
2006,Owner,"Yes, Occasionally",0.05356,315,5982,0.04786,0.05927
2006,Owner,No,0.86306,5142,5982,0.85435,0.87177
2006,Tenant,"Yes, Regularly",0.04861,261,6246,0.04327,0.05394
2006,Tenant,"Yes, Occasionally",0.02782,127,6246,0.02374,0.03190
2006,Tenant,No,0.92066,5858,6246,0.91396,0.92737
2007,Owner,"Yes, Regularly",0.09005,551,5592,0.08254,0.09755
2007,Owner,"Yes, Occasionally",0.04861,279,5592,0.04297,0.05424
2007,Owner,No,0.85290,4762,5592,0.84362,0.86219
2007,Tenant,"Yes, Regularly",0.05212,251,5819,0.04641,0.05783
2007,Tenant,"Yes, Occasionally",0.02855,128,5819,0.02427,0.03283
2007,Tenant,No,0.91532,5440,5819,0.90816,0.92247
2008,Owner,"Yes, Regularly",0.08146,490,5354,0.07413,0.08879
2008,Owner,"Yes, Occasionally",0.05510,269,5354,0.04899,0.06122
2008,Owner,No,0.85606,4595,5354,0.84666,0.86546
2008,Tenant,"Yes, Regularly",0.04713,215,5417,0.04149,0.05278
2008,Tenant,"Yes, Occasionally",0.02656,116,5417,0.02228,0.03085
2008,Tenant,No,0.92114,5086,5417,0.91396,0.92831
2009,Owner,"Yes, Regularly",0.09177,497,5010,0.08377,0.09976
2009,Owner,"Yes, Occasionally",0.04711,229,5010,0.04124,0.05298
2009,Owner,No,0.84503,4284,5010,0.83501,0.85505
2009,Tenant,"Yes, Regularly",0.05296,221,5027,0.04676,0.05915
2009,Tenant,"Yes, Occasionally",0.02113,94,5027,0.01715,0.02511
2009,Tenant,No,0.90611,4712,5027,0.89805,0.91417
2010,Owner,"Yes, Regularly",0.08296,524,6307,0.07615,0.08977
2010,Owner,"Yes, Occasionally",0.03826,206,6307,0.03352,0.04299
2010,Owner,No,0.87215,5577,6307,0.86391,0.88039
2010,Tenant,"Yes, Regularly",0.04192,236,7448,0.03737,0.04647
2010,Tenant,"Yes, Occasionally",0.02093,97,7448,0.01768,0.02418
2010,Tenant,No,0.93273,7115,7448,0.92704,0.93842
2011,Owner,"Yes, Regularly",0.08665,705,7707,0.08037,0.09293
2011,Owner,"Yes, Occasionally",0.03776,252,7707,0.03350,0.04202
2011,Owner,No,0.87234,6750,7707,0.86489,0.87979
2011,Tenant,"Yes, Regularly",0.04661,324,8868,0.04222,0.05100
