year,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,West,"Yes, Regularly",0.06623,226,4575,0.05902,0.07343
1991,West,"Yes, Occasionally",0.04552,144,4575,0.03948,0.05156
1991,West,No,0.87390,4205,4575,0.86428,0.88352
1991,East,No,0.95801,1935,1935,0.94907,0.96695
1994,West,"Yes, Regularly",0.07346,237,4513,0.06585,0.08107
1994,West,"Yes, Occasionally",0.04931,154,4513,0.04299,0.05563
1994,West,No,0.84474,4122,4513,0.83417,0.85530
1994,East,No,0.96212,1810,1810,0.95332,0.97091
1999,West,"Yes, Regularly",0.07751,281,5171,0.07022,0.08480
1999,West,"Yes, Occasionally",0.04464,169,5171,0.03901,0.05027
1999,West,No,0.86954,4721,5171,0.86036,0.87873
1999,East,No,0.96651,1882,1882,0.95838,0.97464
2000,West,"Yes, Regularly",0.07001,582,9766,0.06495,0.07507
2000,West,"Yes, Occasionally",0.03617,304,9766,0.03247,0.03987
2000,West,No,0.88360,8880,9766,0.87724,0.88996
2000,East,"Yes, Regularly",0.01930,42,3038,0.01441,0.02419
2000,East,No,0.96432,2996,3038,0.95772,0.97091
2001,West,"Yes, Regularly",0.07937,586,8808,0.07373,0.08502
2001,West,"Yes, Occasionally",0.04300,317,8808,0.03877,0.04724
2001,West,No,0.87402,7905,8808,0.86709,0.88095
2001,East,"Yes, Regularly",0.02416,45,2835,0.01850,0.02981
2001,East,"Yes, Occasionally",0.01694,38,2835,0.01219,0.02169
2001,East,No,0.95569,2752,2835,0.94812,0.96327
2002,West,"Yes, Regularly",0.06738,762,9333,0.06230,0.07247
2002,West,"Yes, Occasionally",0.03819,353,9333,0.03430,0.04208
2002,West,No,0.88917,8218,9333,0.88280,0.89554
2002,East,"Yes, Regularly",0.02126,51,2834,0.01595,0.02657
2002,East,"Yes, Occasionally",0.01538,38,2834,0.01085,0.01992
2002,East,No,0.95916,2745,2834,0.95187,0.96644
2003,West,"Yes, Regularly",0.07471,765,8956,0.06926,0.08015
2003,West,"Yes, Occasionally",0.03865,345,8956,0.03466,0.04264
2003,West,No,0.88132,7846,8956,0.87463,0.88802
2003,East,"Yes, Regularly",0.02080,60,2797,0.01551,0.02609
2003,East,"Yes, Occasionally",0.02224,48,2797,0.01677,0.02770
2003,East,No,0.95294,2689,2797,0.94509,0.96079
2004,West,"Yes, Regularly",0.05819,589,8752,0.05329,0.06310
2004,West,"Yes, Occasionally",0.04254,358,8752,0.03831,0.04677
2004,West,No,0.89510,7805,8752,0.88868,0.90152
2004,East,"Yes, Regularly",0.01605,40,2726,0.01133,0.02077
2004,East,No,0.96804,2686,2726,0.96143,0.97464
2005,West,"Yes, Regularly",0.07322,708,8484,0.06768,0.07877
2005,West,"Yes, Occasionally",0.04392,358,8484,0.03956,0.04828
2005,West,No,0.88068,7418,8484,0.87379,0.88758
2005,East,"Yes, Regularly",0.01811,51,2680,0.01306,0.02316
2005,East,"Yes, Occasionally",0.01672,37,2680,0.01187,0.02158
2005,East,No,0.95970,2592,2680,0.95225,0.96715
2006,West,"Yes, Regularly",0.06980,729,9308,0.06462,0.07497
2006,West,"Yes, Occasionally",0.04399,404,9308,0.03982,0.04815
2006,West,No,0.88186,8175,9308,0.87531,0.88842
2006,East,"Yes, Regularly",0.02095,57,2922,0.01575,0.02614
2006,East,"Yes, Occasionally",0.01474,38,2922,0.01037,0.01911
2006,East,No,0.96134,2827,2922,0.95435,0.96833
2007,West,"Yes, Regularly",0.07958,740,8655,0.07388,0.08528
2007,West,"Yes, Occasionally",0.04192,368,8655,0.03769,0.04614
2007,West,No,0.87204,7547,8655,0.86500,0.87908
2007,East,"Yes, Regularly",0.01926,62,2756,0.01413,0.02440
2007,East,"Yes, Occasionally",0.01615,39,2756,0.01145,0.02086
2007,East,No,0.96114,2655,2756,0.95393,0.96836
2008,West,"Yes, Regularly",0.07184,652,8129,0.06623,0.07746
2008,West,"Yes, Occasionally",0.04433,342,8129,0.03985,0.04880
2008,West,No,0.87771,7135,8129,0.87059,0.88483
2008,East,"Yes, Regularly",0.01953,53,2642,0.01425,0.02481
2008,East,"Yes, Occasionally",0.01575,43,2642,0.01100,0.02050
2008,East,No,0.95855,2546,2642,0.95095,0.96615
2009,West,"Yes, Regularly",0.08086,651,7511,0.07469,0.08703
2009,West,"Yes, Occasionally",0.03743,290,7511,0.03314,0.04172
2009,West,No,0.86298,6570,7511,0.85520,0.87076
2009,East,"Yes, Regularly",0.02443,67,2526,0.01841,0.03046
2009,East,"Yes, Occasionally",0.01233,33,2526,0.00803,0.01663
2009,East,No,0.94760,2426,2526,0.93891,0.95629
2010,West,"Yes, Regularly",0.06908,685,10601,0.06426,0.07391
2010,West,"Yes, Occasionally",0.03313,275,10601,0.02972,0.03653
2010,West,No,0.89177,9641,10601,0.88585,0.89768
2010,East,"Yes, Regularly",0.02319,75,3126,0.01791,0.02846
2010,East,No,0.96419,3051,3126,0.95768,0.97071
2011,West,"Yes, Regularly",0.07364,923,12834,0.06912,0.07816
2011,West,"Yes, Occasionally",0.03044,327,12834,0.02747,0.03341
2011,West,No,0.89266,11584,12834,0.88730,0.89802
2011,East,"Yes, Regularly",0.02576,106,3741,0.02069,0.03084
2011,East,"Yes, Occasionally",0.01065,37,3741,0.00736,0.01394
2011,East,No,0.96196,3598,3741,0.95583,0.96809
2012,West,"Yes, Regularly",0.06978,863,12563,0.06532,0.07423
2012,West,"Yes, Occasionally",0.02813,305,12563,0.02524,0.03102
2012,West,No,0.89928,11395,12563,0.89402,0.90454
2012,East,"Yes, Regularly",0.02338,92,3705,0.01851,0.02825
2012,East,"Yes, Occasionally",0.01069,39,3705,0.00738,0.01400
2012,East,No,0.96307,3574,3705,0.95700,0.96914
2013,West,"Yes, Regularly",0.07820,946,14174,0.07378,0.08262
2013,West,"Yes, Occasionally",0.02867,313,14174,0.02593,0.03142
2013,West,No,0.88876,12915,14174,0.88359,0.89394
2013,East,"Yes, Regularly",0.03118,114,3651,0.02554,0.03682
