year,bula_h,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,Schleswig-Holstein,No,0.91630,145,145,0.87107,0.96153
1991,Hamburg,No,0.84218,89,89,0.76601,0.91835
1991,Lower Saxony,No,0.87632,428,428,0.84510,0.90755
1991,Bremen,No,0.87883,51,51,0.78838,0.96929
1991,North Rhine-Westphalia,"Yes, Regularly",0.09369,87,1232,0.07742,0.10997
1991,North Rhine-Westphalia,"Yes, Occasionally",0.03860,32,1232,0.02784,0.04936
1991,North Rhine-Westphalia,No,0.85573,1113,1232,0.83610,0.87536
1991,Hesse,No,0.88167,428,428,0.85104,0.91231
1991,"Rhineland-Palatinate, Saarland",No,0.87096,296,296,0.83270,0.90921
1991,Baden-Wuerttemberg,No,0.91672,785,785,0.89738,0.93606
1991,Bavaria,"Yes, Regularly",0.05608,35,793,0.04006,0.07210
1991,Bavaria,"Yes, Occasionally",0.06346,37,793,0.04648,0.08044
1991,Bavaria,No,0.87195,721,793,0.84867,0.89522
1991,Berlin,No,0.84580,287,287,0.80394,0.88765
1991,Brandenburg,No,0.95572,314,314,0.93293,0.97851
1991,Mecklenburg-Western Pomerania,No,0.96417,214,214,0.93921,0.98913
1991,Saxony,No,0.95661,581,581,0.94002,0.97319
1991,Saxony-Anhalt,No,0.95203,362,362,0.92999,0.97408
1991,Thuringa,No,0.96911,326,326,0.95030,0.98792
1994,Schleswig-Holstein,No,0.88605,139,139,0.83304,0.93907
1994,Hamburg,No,0.93547,85,85,0.88293,0.98801
1994,Lower Saxony,No,0.84734,450,450,0.81407,0.88061
1994,Bremen,No,0.88049,47,47,0.78674,0.97423
1994,North Rhine-Westphalia,"Yes, Regularly",0.11361,96,1198,0.09563,0.13159
1994,North Rhine-Westphalia,"Yes, Occasionally",0.04081,37,1198,0.02960,0.05201
1994,North Rhine-Westphalia,No,0.81115,1065,1198,0.78897,0.83332
1994,Hesse,No,0.82702,404,404,0.79009,0.86395
1994,"Rhineland-Palatinate, Saarland",No,0.86366,291,291,0.82416,0.90315
1994,Baden-Wuerttemberg,"Yes, Regularly",0.06337,32,786,0.04633,0.08042
1994,Baden-Wuerttemberg,No,0.86671,754,786,0.84293,0.89048
1994,Bavaria,"Yes, Regularly",0.05239,34,816,0.03709,0.06769
1994,Bavaria,"Yes, Occasionally",0.05588,34,816,0.04011,0.07165
1994,Bavaria,No,0.87126,748,816,0.84827,0.89425
1994,Berlin,No,0.82249,277,277,0.77742,0.86757
1994,Brandenburg,No,0.96459,292,292,0.94336,0.98583
1994,Mecklenburg-Western Pomerania,No,0.96531,193,193,0.93943,0.99120
1994,Saxony,No,0.95353,537,537,0.93571,0.97135
1994,Saxony-Anhalt,No,0.97142,331,331,0.95345,0.98940
1994,Thuringa,No,0.95799,319,319,0.93595,0.98004
1999,Schleswig-Holstein,No,0.94315,164,164,0.90760,0.97870
1999,Hamburg,No,0.84754,76,76,0.76619,0.92890
1999,Lower Saxony,No,0.90425,558,558,0.87982,0.92869
1999,Bremen,No,0.89015,48,48,0.80075,0.97955
1999,North Rhine-Westphalia,"Yes, Regularly",0.11509,108,1403,0.09839,0.13180
1999,North Rhine-Westphalia,"Yes, Occasionally",0.05331,50,1403,0.04155,0.06507
1999,North Rhine-Westphalia,No,0.82050,1245,1403,0.80041,0.84058
1999,Hesse,No,0.86070,419,419,0.82750,0.89389
1999,"Rhineland-Palatinate, Saarland",No,0.88577,363,363,0.85301,0.91854
1999,Baden-Wuerttemberg,"Yes, Regularly",0.05932,33,864,0.04356,0.07508
1999,Baden-Wuerttemberg,No,0.89878,831,864,0.87866,0.91890
1999,Bavaria,"Yes, Regularly",0.06258,40,935,0.04704,0.07811
1999,Bavaria,"Yes, Occasionally",0.05700,40,935,0.04213,0.07187
1999,Bavaria,No,0.87571,855,935,0.85455,0.89686
1999,Berlin,No,0.90399,287,287,0.86985,0.93814
1999,Brandenburg,No,0.97625,304,304,0.95910,0.99339
1999,Mecklenburg-Western Pomerania,No,0.97867,200,200,0.95860,0.99875
1999,Saxony,No,0.95762,564,564,0.94098,0.97426
1999,Saxony-Anhalt,No,0.97628,346,346,0.96022,0.99234
1999,Thuringa,No,0.95369,343,343,0.93142,0.97597
2000,Schleswig-Holstein,No,0.91507,368,368,0.88655,0.94359
2000,Hamburg,No,0.91059,174,174,0.86807,0.95311
2000,Lower Saxony,"Yes, Regularly",0.06217,58,1069,0.04769,0.07665
2000,Lower Saxony,"Yes, Occasionally",0.03567,35,1069,0.02454,0.04679
2000,Lower Saxony,No,0.89032,976,1069,0.87158,0.90906
2000,Bremen,No,0.85438,99,99,0.78454,0.92421
2000,North Rhine-Westphalia,"Yes, Regularly",0.09474,213,2741,0.08378,0.10571
2000,North Rhine-Westphalia,"Yes, Occasionally",0.03790,88,2741,0.03075,0.04505
2000,North Rhine-Westphalia,No,0.85679,2440,2741,0.84367,0.86990
2000,Hesse,"Yes, Regularly",0.07711,60,867,0.05934,0.09488
2000,Hesse,No,0.88475,807,867,0.86348,0.90602
2000,"Rhineland-Palatinate, Saarland","Yes, Regularly",0.07310,48,746,0.05441,0.09179
2000,"Rhineland-Palatinate, Saarland",No,0.87445,698,746,0.85066,0.89825
2000,Baden-Wuerttemberg,"Yes, Regularly",0.05131,60,1519,0.04021,0.06241
2000,Baden-Wuerttemberg,"Yes, Occasionally",0.03362,45,1519,0.02455,0.04268
2000,Baden-Wuerttemberg,No,0.90372,1414,1519,0.88888,0.91856
2000,Bavaria,"Yes, Regularly",0.06001,91,1788,0.04900,0.07103
2000,Bavaria,"Yes, Occasionally",0.03637,50,1788,0.02769,0.04505
2000,Bavaria,No,0.89260,1647,1788,0.87824,0.90695
2000,Berlin,No,0.92813,481,481,0.90503,0.95124
2000,Brandenburg,No,0.96559,521,521,0.94993,0.98126
2000,Mecklenburg-Western Pomerania,No,0.95589,303,303,0.93273,0.97905
2000,Saxony,No,0.96069,900,900,0.94798,0.97339
