year,quintil_oecd_hh,sampreg,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,1st Quintile,West,No,0.89152,60,60,0.81216,0.97087
1991,1st Quintile,East,No,0.95801,1935,1935,0.94907,0.96695
1991,2nd Quintile,West,No,0.91489,1081,1081,0.89825,0.93153
1991,3rd Quintile,West,No,0.93136,1121,1121,0.91655,0.94617
1991,4th Quintile,West,"Yes, Regularly",0.06276,48,1169,0.04885,0.07667
1991,4th Quintile,West,"Yes, Occasionally",0.04443,34,1169,0.03261,0.05624
1991,4th Quintile,West,No,0.87802,1087,1169,0.85926,0.89679
1991,5th Quintile,West,"Yes, Regularly",0.14189,135,1058,0.12085,0.16292
1991,5th Quintile,West,"Yes, Occasionally",0.07639,67,1058,0.06038,0.09241
1991,5th Quintile,West,No,0.77026,856,1058,0.74490,0.79562
1994,1st Quintile,West,No,0.89818,768,768,0.87678,0.91958
1994,1st Quintile,East,No,0.95113,497,497,0.93216,0.97011
1994,2nd Quintile,West,No,0.88742,773,773,0.86512,0.90972
1994,2nd Quintile,East,No,0.95585,563,563,0.93887,0.97283
1994,3rd Quintile,West,"Yes, Regularly",0.06364,37,909,0.04776,0.07952
1994,3rd Quintile,West,No,0.86690,872,909,0.84480,0.88899
1994,3rd Quintile,East,No,0.98169,405,405,0.96862,0.99477
1994,4th Quintile,West,"Yes, Regularly",0.04619,36,975,0.03301,0.05937
1994,4th Quintile,West,"Yes, Occasionally",0.05491,37,975,0.04060,0.06922
1994,4th Quintile,West,No,0.85913,902,975,0.83728,0.88098
1994,4th Quintile,East,No,0.99124,235,235,0.97931,1.00318
1994,5th Quintile,West,"Yes, Regularly",0.15986,129,998,0.13711,0.18261
1994,5th Quintile,West,"Yes, Occasionally",0.07835,66,998,0.06167,0.09503
1994,5th Quintile,West,No,0.73989,803,998,0.71266,0.76713
1994,5th Quintile,East,No,0.93028,109,109,0.88225,0.97831
1999,1st Quintile,West,No,0.92555,979,979,0.90910,0.94200
1999,1st Quintile,East,No,0.98065,469,469,0.96816,0.99313
1999,2nd Quintile,West,No,0.90643,937,937,0.88778,0.92509
1999,2nd Quintile,East,No,0.96655,521,521,0.95110,0.98200
1999,3rd Quintile,West,No,0.92584,973,973,0.90936,0.94231
1999,3rd Quintile,East,No,0.97333,460,460,0.95859,0.98807
1999,4th Quintile,West,"Yes, Regularly",0.07205,54,1080,0.05662,0.08748
1999,4th Quintile,West,"Yes, Occasionally",0.04367,42,1080,0.03147,0.05586
1999,4th Quintile,West,No,0.87566,984,1080,0.85597,0.89535
1999,4th Quintile,East,No,0.97845,290,290,0.96171,0.99519
1999,5th Quintile,West,"Yes, Regularly",0.17348,156,1076,0.15085,0.19612
1999,5th Quintile,West,"Yes, Occasionally",0.07878,72,1076,0.06268,0.09489
1999,5th Quintile,West,No,0.74170,848,1076,0.71554,0.76787
1999,5th Quintile,East,No,0.86839,142,142,0.81259,0.92419
2000,1st Quintile,West,"Yes, Regularly",0.03578,49,1758,0.02709,0.04446
2000,1st Quintile,West,No,0.93386,1709,1758,0.92224,0.94548
2000,1st Quintile,East,No,0.96785,731,731,0.95505,0.98065
2000,2nd Quintile,West,"Yes, Regularly",0.03631,45,1848,0.02778,0.04484
2000,2nd Quintile,West,"Yes, Occasionally",0.02338,31,1848,0.01649,0.03027
2000,2nd Quintile,West,No,0.92851,1772,1848,0.91676,0.94026
2000,2nd Quintile,East,No,0.96161,818,818,0.94843,0.97478
2000,3rd Quintile,West,"Yes, Regularly",0.03905,60,1879,0.03028,0.04781
2000,3rd Quintile,West,"Yes, Occasionally",0.03219,47,1879,0.02420,0.04017
2000,3rd Quintile,West,No,0.92076,1772,1879,0.90854,0.93297
2000,3rd Quintile,East,No,0.97466,739,739,0.96333,0.98600
2000,4th Quintile,West,"Yes, Regularly",0.05363,104,2109,0.04401,0.06324
2000,4th Quintile,West,"Yes, Occasionally",0.03389,67,2109,0.02616,0.04161
2000,4th Quintile,West,No,0.90395,1938,2109,0.89137,0.91653
2000,4th Quintile,East,No,0.97948,467,467,0.96660,0.99235
2000,5th Quintile,West,"Yes, Regularly",0.16625,323,2144,0.15049,0.18201
