year,sampreg,plh0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.02010,183,7087,0.01683,0.02336
1990,West,Important,0.17155,1556,7087,0.16277,0.18033
1990,West,Less important,0.37697,3500,7087,0.36569,0.38826
1990,West,Unimportant,0.20886,1848,7087,0.19940,0.21833
1992,West,Very important,0.01666,148,6944,0.01365,0.01967
1992,West,Important,0.11412,1058,6944,0.10664,0.12160
1992,West,Less important,0.35741,3381,6944,0.34614,0.36869
1992,West,Unimportant,0.26191,2357,6944,0.25157,0.27225
1992,East,Very important,0.01309,65,3952,0.00954,0.01663
1992,East,Important,0.09726,493,3952,0.08802,0.10650
1992,East,Less important,0.39695,2064,3952,0.38170,0.41221
1992,East,Unimportant,0.30009,1330,3952,0.28580,0.31438
1995,West,Very important,0.01278,123,7489,0.01024,0.01533
1995,West,Important,0.11594,1130,7489,0.10869,0.12319
1995,West,Less important,0.37485,3751,7489,0.36389,0.38582
1995,West,Unimportant,0.25347,2485,7489,0.24362,0.26332
1995,East,Very important,0.01239,50,3649,0.00880,0.01597
1995,East,Important,0.09353,410,3649,0.08408,0.10298
1995,East,Less important,0.41245,1975,3649,0.39648,0.42843
1995,East,Unimportant,0.29561,1214,3649,0.28080,0.31042
2004,West,Very important,0.02409,517,16226,0.02173,0.02645
2004,West,Important,0.19324,3930,16226,0.18716,0.19931
2004,West,Less important,0.40672,8205,16226,0.39916,0.41428
2004,West,Unimportant,0.19503,3574,16226,0.18894,0.20113
2004,East,Very important,0.02057,115,5200,0.01671,0.02443
2004,East,Important,0.17425,1019,5200,0.16394,0.18456
2004,East,Less important,0.46655,2956,5200,0.45299,0.48011
2004,East,Unimportant,0.20508,1110,5200,0.19410,0.21605
2008,West,Very important,0.01578,297,14424,0.01374,0.01781
2008,West,Important,0.14358,2754,14424,0.13786,0.14930
2008,West,Less important,0.39080,6878,14424,0.38284,0.39876
2008,West,Unimportant,0.27186,4495,14424,0.26460,0.27912
2008,East,Very important,0.01426,75,4732,0.01089,0.01764
2008,East,Important,0.13018,712,4732,0.12059,0.13977
2008,East,Less important,0.43070,2433,4732,0.41659,0.44481
2008,East,Unimportant,0.28984,1512,4732,0.27691,0.30277
2012,West,Very important,0.02955,867,21356,0.02728,0.03182
2012,West,Important,0.23332,6483,21356,0.22765,0.23900
2012,West,Less important,0.40579,10409,21356,0.39921,0.41238
2012,West,Unimportant,0.15903,3597,21356,0.15412,0.16393
2012,East,Very important,0.02893,222,6152,0.02474,0.03311
2012,East,Important,0.19871,1474,6152,0.18874,0.20869
2012,East,Less important,0.44477,3180,6152,0.43235,0.45718
2012,East,Unimportant,0.18672,1276,6152,0.17699,0.19646
2016,West,Very important,0.03425,895,19146,0.03167,0.03682
2016,West,Important,0.24438,5794,19146,0.23829,0.25047
2016,West,Less important,0.40556,9273,19146,0.39860,0.41252
2016,West,Unimportant,0.14576,3184,19146,0.14076,0.15076
2016,East,Very important,0.03362,200,5013,0.02863,0.03861
2016,East,Important,0.20939,1306,5013,0.19812,0.22065
2016,East,Less important,0.43110,2464,5013,0.41739,0.44481
2016,East,Unimportant,0.16936,1043,5013,0.15898,0.17975
2021,West,Very important,0.04951,921,13529,0.04585,0.05316
2021,West,Important,0.28164,5034,13529,0.27406,0.28922
2021,West,Less important,0.37312,5911,13529,0.36497,0.38127
2021,West,Unimportant,0.11400,1663,13529,0.10865,0.11936
2021,East,Very important,0.04580,236,3601,0.03897,0.05263
2021,East,Important,0.24194,1150,3601,0.22795,0.25593
2021,East,Less important,0.39869,1634,3601,0.38270,0.41468
2021,East,Unimportant,0.13391,581,3601,0.12279,0.14504
