year,age_gr,quintil_oecd,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,1st Quintile,No,0.91503,698,698,0.89433,0.93573
2009,17-29 y.,2nd Quintile,No,0.90492,486,486,0.87881,0.93102
2009,17-29 y.,3rd Quintile,No,0.92448,547,547,0.90232,0.94665
2009,17-29 y.,4th Quintile,No,0.94138,582,582,0.92228,0.96048
2009,17-29 y.,5th Quintile,No,0.94313,505,505,0.92292,0.96335
2009,30-45 y.,1st Quintile,No,0.97999,639,639,0.96913,0.99086
2009,30-45 y.,2nd Quintile,No,0.98260,827,827,0.97369,0.99152
2009,30-45 y.,3rd Quintile,No,0.98914,962,962,0.98259,0.99570
2009,30-45 y.,4th Quintile,No,0.98003,1024,1024,0.97146,0.98860
2009,30-45 y.,5th Quintile,No,0.98843,1146,1146,0.98224,0.99462
2009,46-65 y.,1st Quintile,Yes,0.12387,93,786,0.10082,0.14692
2009,46-65 y.,1st Quintile,No,0.87613,693,786,0.85308,0.89918
2009,46-65 y.,2nd Quintile,Yes,0.08207,61,787,0.06288,0.10126
2009,46-65 y.,2nd Quintile,No,0.91793,726,787,0.89874,0.93712
2009,46-65 y.,3rd Quintile,Yes,0.08035,75,1051,0.06391,0.09679
2009,46-65 y.,3rd Quintile,No,0.91965,976,1051,0.90321,0.93609
2009,46-65 y.,4th Quintile,Yes,0.06737,102,1407,0.05427,0.08047
2009,46-65 y.,4th Quintile,No,0.93263,1305,1407,0.91953,0.94573
2009,46-65 y.,5th Quintile,Yes,0.06570,128,2293,0.05555,0.07584
2009,46-65 y.,5th Quintile,No,0.93430,2165,2293,0.92416,0.94445
2009,66 and older,1st Quintile,Yes,0.28425,203,723,0.25135,0.31716
2009,66 and older,1st Quintile,No,0.71575,520,723,0.68284,0.74865
2009,66 and older,2nd Quintile,Yes,0.31299,309,1048,0.28490,0.34108
2009,66 and older,2nd Quintile,No,0.68701,739,1048,0.65892,0.71510
2009,66 and older,3rd Quintile,Yes,0.27826,221,857,0.24824,0.30828
2009,66 and older,3rd Quintile,No,0.72174,636,857,0.69172,0.75176
2009,66 and older,4th Quintile,Yes,0.27489,184,694,0.24165,0.30813
2009,66 and older,4th Quintile,No,0.72511,510,694,0.69187,0.75835
2009,66 and older,5th Quintile,Yes,0.21043,167,840,0.18285,0.23802
2009,66 and older,5th Quintile,No,0.78957,673,840,0.76198,0.81715
2011,17-29 y.,1st Quintile,No,0.70438,523,523,0.66524,0.74353
2011,17-29 y.,2nd Quintile,No,0.73575,420,420,0.69353,0.77797
2011,17-29 y.,3rd Quintile,No,0.85923,467,467,0.82766,0.89081
2011,17-29 y.,4th Quintile,No,0.88886,452,452,0.85985,0.91787
2011,17-29 y.,5th Quintile,No,0.92546,392,392,0.89942,0.95149
2011,30-45 y.,1st Quintile,No,0.50077,495,495,0.45668,0.54486
2011,30-45 y.,2nd Quintile,No,0.66154,649,649,0.62511,0.69797
2011,30-45 y.,3rd Quintile,No,0.79787,775,775,0.76958,0.82617
2011,30-45 y.,4th Quintile,No,0.84199,836,836,0.81725,0.86673
2011,30-45 y.,5th Quintile,No,0.86375,892,892,0.84122,0.88627
2011,46-65 y.,1st Quintile,Yes,0.12401,87,738,0.10022,0.14781
2011,46-65 y.,1st Quintile,No,0.77571,651,738,0.74559,0.80582
2011,46-65 y.,2nd Quintile,Yes,0.06026,61,738,0.04308,0.07745
2011,46-65 y.,2nd Quintile,No,0.86090,677,738,0.83592,0.88589
2011,46-65 y.,3rd Quintile,Yes,0.06880,76,1022,0.05328,0.08433
2011,46-65 y.,3rd Quintile,No,0.89247,946,1022,0.87346,0.91147
2011,46-65 y.,4th Quintile,Yes,0.06526,82,1306,0.05186,0.07866
2011,46-65 y.,4th Quintile,No,0.91221,1224,1306,0.89685,0.92756
2011,46-65 y.,5th Quintile,Yes,0.07496,121,2070,0.06361,0.08631
2011,46-65 y.,5th Quintile,No,0.91246,1949,2070,0.90028,0.92464
2011,66 and older,1st Quintile,Yes,0.26916,192,686,0.23595,0.30238
2011,66 and older,1st Quintile,No,0.72955,494,686,0.69629,0.76282
2011,66 and older,2nd Quintile,Yes,0.28465,274,939,0.25577,0.31352
2011,66 and older,2nd Quintile,No,0.71440,665,939,0.68550,0.74331
2011,66 and older,3rd Quintile,Yes,0.23241,184,783,0.20281,0.26202
