year,quintil_oecd,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Yes,0.09534,329,2879,0.08461,0.10607
2009,1st Quintile,No,0.72360,2550,2879,0.70726,0.73994
2009,2nd Quintile,Yes,0.10306,388,3166,0.09247,0.11365
2009,2nd Quintile,No,0.70451,2778,3166,0.68862,0.72041
2009,3rd Quintile,Yes,0.08276,313,3434,0.07354,0.09197
2009,3rd Quintile,No,0.75785,3121,3434,0.74352,0.77218
2009,4th Quintile,Yes,0.07211,311,3732,0.06381,0.08041
2009,4th Quintile,No,0.78089,3421,3732,0.76762,0.79416
2009,5th Quintile,Yes,0.06072,313,4802,0.05396,0.06748
2009,5th Quintile,No,0.83729,4489,4802,0.82685,0.84773
2011,1st Quintile,Yes,0.09887,299,2462,0.08708,0.11067
2011,1st Quintile,No,0.57393,2163,2462,0.55439,0.59347
2011,2nd Quintile,Yes,0.09522,351,2762,0.08427,0.10616
2011,2nd Quintile,No,0.62262,2411,2762,0.60454,0.64070
2011,3rd Quintile,Yes,0.07339,283,3070,0.06417,0.08262
2011,3rd Quintile,No,0.70674,2787,3070,0.69063,0.72285
2011,4th Quintile,Yes,0.06455,244,3218,0.05606,0.07304
2011,4th Quintile,No,0.73983,2974,3218,0.72467,0.75499
2011,5th Quintile,Yes,0.06881,306,4150,0.06111,0.07651
2011,5th Quintile,No,0.78091,3844,4150,0.76833,0.79350
2013,1st Quintile,Yes,0.10693,381,3103,0.09606,0.11781
2013,1st Quintile,No,0.60236,2722,3103,0.58514,0.61958
2013,2nd Quintile,Yes,0.10015,441,3436,0.09011,0.11019
2013,2nd Quintile,No,0.64725,2995,3436,0.63128,0.66323
2013,3rd Quintile,Yes,0.09460,410,3592,0.08502,0.10417
2013,3rd Quintile,No,0.68488,3182,3592,0.66968,0.70007
2013,4th Quintile,Yes,0.07736,340,3938,0.06901,0.08570
2013,4th Quintile,No,0.74273,3598,3938,0.72907,0.75638
2013,5th Quintile,Yes,0.06721,377,4793,0.06012,0.07430
2013,5th Quintile,No,0.79750,4416,4793,0.78613,0.80888
2015,1st Quintile,Yes,0.09496,426,5007,0.08684,0.10308
2015,1st Quintile,No,0.70109,4581,5007,0.68841,0.71378
2015,2nd Quintile,Yes,0.10624,526,5281,0.09793,0.11455
2015,2nd Quintile,No,0.72067,4755,5281,0.70857,0.73277
2015,3rd Quintile,Yes,0.08636,405,4880,0.07848,0.09425
2015,3rd Quintile,No,0.75208,4475,4880,0.73996,0.76419
2015,4th Quintile,Yes,0.07975,359,4767,0.07206,0.08744
2015,4th Quintile,No,0.78308,4408,4767,0.77138,0.79478
2015,5th Quintile,Yes,0.06327,369,5101,0.05659,0.06995
2015,5th Quintile,No,0.83313,4732,5101,0.82290,0.84336
2017,1st Quintile,Yes,0.09169,394,4676,0.08342,0.09996
2017,1st Quintile,No,0.67617,4282,4676,0.66276,0.68958
2017,2nd Quintile,Yes,0.10454,484,4851,0.09593,0.11315
2017,2nd Quintile,No,0.72499,4367,4851,0.71243,0.73756
2017,3rd Quintile,Yes,0.09326,408,4415,0.08468,0.10184
2017,3rd Quintile,No,0.74367,4007,4415,0.73078,0.75655
2017,4th Quintile,Yes,0.07743,307,4340,0.06948,0.08539
2017,4th Quintile,No,0.79897,4033,4340,0.78704,0.81089
2017,5th Quintile,Yes,0.07174,342,4554,0.06424,0.07923
2017,5th Quintile,No,0.82083,4212,4554,0.80969,0.83197
2019,1st Quintile,Yes,0.08433,404,4398,0.07611,0.09254
2019,1st Quintile,No,0.67512,3994,4398,0.66127,0.68896
2019,2nd Quintile,Yes,0.10275,516,4763,0.09412,0.11137
2019,2nd Quintile,No,0.71480,4247,4763,0.70197,0.72762
2019,3rd Quintile,Yes,0.09534,415,4509,0.08677,0.10392
2019,3rd Quintile,No,0.74281,4094,4509,0.73005,0.75557
2019,4th Quintile,Yes,0.07724,356,4270,0.06924,0.08525
2019,4th Quintile,No,0.77949,3914,4270,0.76706,0.79193
2019,5th Quintile,Yes,0.06796,374,4786,0.06083,0.07509
2019,5th Quintile,No,0.83011,4412,4786,0.81947,0.84075
2021,1st Quintile,Yes,0.09786,392,4719,0.08938,0.10634
2021,1st Quintile,No,0.69078,4327,4719,0.67759,0.70397
2021,2nd Quintile,Yes,0.10265,371,3582,0.09271,0.11260
2021,2nd Quintile,No,0.70005,3211,3582,0.68504,0.71506
2021,3rd Quintile,Yes,0.08192,265,3034,0.07216,0.09168
2021,3rd Quintile,No,0.73288,2769,3034,0.71713,0.74863
2021,4th Quintile,Yes,0.09227,279,3246,0.08231,0.10223
2021,4th Quintile,No,0.76257,2967,3246,0.74793,0.77721
2021,5th Quintile,Yes,0.07989,382,4282,0.07177,0.08801
2021,5th Quintile,No,0.78935,3900,4282,0.77714,0.80157
