year,age_gr,bula_h,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.93000,84,84,0.87510,0.98489
2009,17-29 y.,Hamburg,No,0.97791,58,58,0.93975,1.01607
2009,17-29 y.,Lower Saxony,No,0.96125,224,224,0.93592,0.98658
2009,17-29 y.,North Rhine-Westphalia,No,0.91608,532,532,0.89250,0.93967
2009,17-29 y.,Hesse,No,0.93163,186,186,0.89526,0.96800
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.85569,153,153,0.79982,0.91155
2009,17-29 y.,Baden-Wuerttemberg,No,0.91292,397,397,0.88515,0.94069
2009,17-29 y.,Bavaria,No,0.91861,406,406,0.89198,0.94524
2009,17-29 y.,Berlin,No,0.89924,115,115,0.84399,0.95450
2009,17-29 y.,Brandenburg,No,0.95315,105,105,0.91254,0.99376
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.95266,60,60,0.89847,1.00685
2009,17-29 y.,Saxony,No,0.97023,224,224,0.94792,0.99253
2009,17-29 y.,Saxony-Anhalt,No,0.91645,133,133,0.86924,0.96365
2009,17-29 y.,Thuringa,No,0.92179,128,128,0.87510,0.96849
2009,30-45 y.,Schleswig-Holstein,No,0.98774,108,108,0.96688,1.00859
2009,30-45 y.,Hamburg,No,0.99170,62,62,0.96893,1.01447
2009,30-45 y.,Lower Saxony,No,0.97595,438,438,0.96159,0.99031
2009,30-45 y.,North Rhine-Westphalia,No,0.99453,991,991,0.98994,0.99913
2009,30-45 y.,Hesse,No,0.98417,312,312,0.97030,0.99804
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.97346,241,241,0.95312,0.99379
2009,30-45 y.,Baden-Wuerttemberg,No,0.99224,574,574,0.98505,0.99942
2009,30-45 y.,Bavaria,No,0.97812,715,715,0.96738,0.98885
2009,30-45 y.,Berlin,No,0.94862,149,149,0.91305,0.98419
2009,30-45 y.,Brandenburg,No,0.95159,176,176,0.91979,0.98339
2009,30-45 y.,Mecklenburg-Western Pomerania,No,0.99310,108,108,0.97741,1.00879
2009,30-45 y.,Saxony,No,0.99088,329,329,0.98060,1.00117
2009,30-45 y.,Saxony-Anhalt,No,0.98312,165,165,0.96340,1.00284
2009,46-65 y.,Schleswig-Holstein,No,0.89105,163,163,0.84307,0.93903
2009,46-65 y.,Hamburg,No,0.97185,79,79,0.93514,1.00856
2009,46-65 y.,Lower Saxony,Yes,0.06494,33,531,0.04396,0.08593
2009,46-65 y.,Lower Saxony,No,0.93506,498,531,0.91407,0.95604
2009,46-65 y.,Bremen,No,0.91359,37,37,0.82181,1.00537
2009,46-65 y.,North Rhine-Westphalia,Yes,0.08512,95,1238,0.06957,0.10068
2009,46-65 y.,North Rhine-Westphalia,No,0.91488,1143,1238,0.89932,0.93043
2009,46-65 y.,Hesse,Yes,0.09289,41,464,0.06645,0.11933
2009,46-65 y.,Hesse,No,0.90711,423,464,0.88067,0.93355
2009,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.07474,32,402,0.04900,0.10048
2009,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.92526,370,402,0.89952,0.95100
2009,46-65 y.,Baden-Wuerttemberg,Yes,0.05410,33,677,0.03705,0.07115
2009,46-65 y.,Baden-Wuerttemberg,No,0.94590,644,677,0.92885,0.96295
2009,46-65 y.,Bavaria,Yes,0.10183,69,919,0.08226,0.12139
