year,migback,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Yes,0.08954,1507,15653,0.08507,0.09401
2009,No migration background,No,0.76743,14146,15653,0.76081,0.77405
2009,Direct migration background,Yes,0.08820,138,1659,0.07455,0.10185
2009,Direct migration background,No,0.88778,1521,1659,0.87258,0.90297
2009,Indirect migration background,No,0.52459,697,697,0.48749,0.56170
2011,No migration background,Yes,0.08427,1788,17940,0.08021,0.08834
2011,No migration background,No,0.70754,16152,17940,0.70088,0.71420
2011,Direct migration background,Yes,0.06604,165,2015,0.05519,0.07689
2011,Direct migration background,No,0.76328,1850,2015,0.74471,0.78184
2011,Indirect migration background,No,0.39036,773,773,0.35595,0.42477
2013,No migration background,Yes,0.09176,1773,16436,0.08734,0.09617
2013,No migration background,No,0.69975,14663,16436,0.69275,0.70676
2013,Direct migration background,Yes,0.05288,165,1730,0.04233,0.06343
2013,Direct migration background,No,0.45046,1565,1730,0.42701,0.47391
2013,Indirect migration background,No,0.23580,688,688,0.20406,0.26755
2015,No migration background,Yes,0.09475,1801,19063,0.09060,0.09891
2015,No migration background,No,0.76551,17262,19063,0.75949,0.77152
2015,Direct migration background,Yes,0.06448,249,4415,0.05724,0.07173
2015,Direct migration background,No,0.77174,4166,4415,0.75936,0.78413
2015,Indirect migration background,Yes,0.01391,35,1562,0.00810,0.01972
2015,Indirect migration background,No,0.46809,1527,1562,0.44333,0.49284
2017,No migration background,Yes,0.09194,1848,20158,0.08796,0.09593
2017,No migration background,No,0.76817,18310,20158,0.76235,0.77400
2017,Direct migration background,Yes,0.06553,260,4754,0.05850,0.07257
2017,Direct migration background,No,0.83871,4494,4754,0.82825,0.84916
2017,Indirect migration background,Yes,0.01548,39,1637,0.00950,0.02146
2017,Indirect migration background,No,0.49188,1598,1637,0.46766,0.51611
2019,No migration background,Yes,0.09983,2033,20183,0.09569,0.10396
2019,No migration background,No,0.75890,18150,20183,0.75300,0.76480
2019,Direct migration background,Yes,0.05765,225,3963,0.05039,0.06491
2019,Direct migration background,No,0.84226,3738,3963,0.83091,0.85361
2019,Indirect migration background,Yes,0.01165,46,1579,0.00636,0.01695
2019,Indirect migration background,No,0.50159,1533,1579,0.47692,0.52626
2021,No migration background,Yes,0.10142,1401,13111,0.09625,0.10658
2021,No migration background,No,0.74652,11710,13111,0.73908,0.75397
2021,Direct migration background,Yes,0.07932,263,5121,0.07192,0.08672
2021,Direct migration background,No,0.84380,4858,5121,0.83386,0.85375
2021,Indirect migration background,Yes,0.01615,37,935,0.00806,0.02423
2021,Indirect migration background,No,0.45996,898,935,0.42800,0.49192
