year,sampreg,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.07969,1175,13477,0.07512,0.08426
2009,West,No,0.75817,12302,13477,0.75094,0.76540
2009,East,Yes,0.09634,479,4541,0.08775,0.10492
2009,East,No,0.77310,4062,4541,0.76091,0.78528
2011,West,Yes,0.07339,1445,15840,0.06933,0.07745
2011,West,No,0.68694,14395,15840,0.67972,0.69416
2011,East,Yes,0.09173,525,4905,0.08365,0.09981
2011,East,No,0.70588,4380,4905,0.69313,0.71864
2013,West,Yes,0.07733,1449,14414,0.07297,0.08169
2013,West,No,0.61934,12965,14414,0.61141,0.62727
2013,East,Yes,0.09276,501,4452,0.08424,0.10128
2013,East,No,0.68803,3951,4452,0.67441,0.70164
2015,West,Yes,0.08059,1534,19787,0.07680,0.08438
2015,West,No,0.74039,18253,19787,0.73428,0.74650
2015,East,Yes,0.09999,551,5253,0.09187,0.10810
2015,East,No,0.74522,4702,5253,0.73343,0.75700
2017,West,Yes,0.07828,1567,20959,0.07464,0.08191
2017,West,No,0.75398,19392,20959,0.74815,0.75981
2017,East,Yes,0.09608,580,5590,0.08835,0.10380
2017,East,No,0.74638,5010,5590,0.73497,0.75779
2019,West,Yes,0.08141,1704,20103,0.07763,0.08520
2019,West,No,0.74775,18399,20103,0.74175,0.75376
2019,East,Yes,0.10447,590,5546,0.09642,0.11253
2019,East,No,0.73688,4956,5546,0.72529,0.74847
2021,West,Yes,0.09005,1306,15318,0.08551,0.09458
2021,West,No,0.73248,14012,15318,0.72547,0.73949
2021,East,Yes,0.09186,395,3849,0.08273,0.10098
2021,East,No,0.73469,3454,3849,0.72074,0.74864
