,Unnamed: 0,year,quintil_oecd_hh,sampreg,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,1st Quintile,West,Yes,0.35473,916,15331,0.3275,0.38171
1,1,2015,1st Quintile,West,No,0.64527,1635,15331,0.61022,0.68297
2,2,2015,1st Quintile,East,Yes,0.54352,454,15331,0.48445,0.60692
3,3,2015,1st Quintile,East,No,0.45648,389,15331,0.41007,0.50532
4,4,2015,2nd Quintile,West,Yes,0.45056,1110,15331,0.41656,0.48218
5,5,2015,2nd Quintile,West,No,0.54944,1260,15331,0.52268,0.58005
6,6,2015,2nd Quintile,East,Yes,0.57384,542,15331,0.53562,0.62477
7,7,2015,2nd Quintile,East,No,0.42616,359,15331,0.37795,0.46991
8,8,2015,3rd Quintile,West,Yes,0.56035,1344,15331,0.53248,0.59352
9,9,2015,3rd Quintile,West,No,0.43965,1002,15331,0.40635,0.46622
10,10,2015,3rd Quintile,East,Yes,0.64734,427,15331,0.57596,0.71252
11,11,2015,3rd Quintile,East,No,0.35266,211,15331,0.30806,0.40314
12,12,2015,4th Quintile,West,Yes,0.56232,1366,15331,0.53094,0.59379
13,13,2015,4th Quintile,West,No,0.43768,902,15331,0.41319,0.46534
14,14,2015,4th Quintile,East,Yes,0.69954,341,15331,0.62887,0.79183
15,15,2015,4th Quintile,East,No,0.30046,143,15331,0.2512,0.34892
16,16,2015,5th Quintile,West,Yes,0.6473,1744,15331,0.61722,0.68709
17,17,2015,5th Quintile,West,No,0.3527,855,15331,0.32576,0.38087
18,18,2015,5th Quintile,East,Yes,0.77633,252,15331,0.65934,0.88692
19,19,2015,5th Quintile,East,No,0.22367,79,15331,0.18561,0.27551
20,20,2016,1st Quintile,West,Yes,0.38636,876,14183,0.35298,0.41784
21,21,2016,1st Quintile,West,No,0.61364,1329,14183,0.57868,0.65536
22,22,2016,1st Quintile,East,Yes,0.56329,461,14183,0.50576,0.62271
23,23,2016,1st Quintile,East,No,0.43671,346,14183,0.38895,0.48736
24,24,2016,2nd Quintile,West,Yes,0.50307,1199,14183,0.46712,0.53778
25,25,2016,2nd Quintile,West,No,0.49693,1065,14183,0.4641,0.53085
26,26,2016,2nd Quintile,East,Yes,0.62986,533,14183,0.57111,0.68974
27,27,2016,2nd Quintile,East,No,0.37014,279,14183,0.32039,0.42271
28,28,2016,3rd Quintile,West,Yes,0.59787,1279,14183,0.56128,0.63404
29,29,2016,3rd Quintile,West,No,0.40213,788,14183,0.37757,0.42886
30,30,2016,3rd Quintile,East,Yes,0.70806,472,14183,0.6542,0.76808
31,31,2016,3rd Quintile,East,No,0.29194,200,14183,0.24815,0.34087
32,32,2016,4th Quintile,West,Yes,0.65322,1470,14183,0.62244,0.68681
33,33,2016,4th Quintile,West,No,0.34678,734,14183,0.32566,0.37115
34,34,2016,4th Quintile,East,Yes,0.76837,341,14183,0.6871,0.87864
35,35,2016,4th Quintile,East,No,0.23163,101,14183,0.19049,0.27982
36,36,2016,5th Quintile,West,Yes,0.69936,1690,14183,0.66102,0.7327
37,37,2016,5th Quintile,West,No,0.30064,692,14183,0.27725,0.3207
38,38,2016,5th Quintile,East,Yes,0.7535,246,14183,0.64585,0.8742
39,39,2016,5th Quintile,East,No,0.2465,82,14183,0.18839,0.2969
40,40,2017,1st Quintile,West,Yes,0.43692,1050,15556,0.41481,0.46957
41,41,2017,1st Quintile,West,No,0.56308,1232,15556,0.53401,0.59584
42,42,2017,1st Quintile,East,Yes,0.58165,502,15556,0.52782,0.64311
43,43,2017,1st Quintile,East,No,0.41835,353,15556,0.36824,0.46288
44,44,2017,2nd Quintile,West,Yes,0.53766,1319,15556,0.50937,0.5709
45,45,2017,2nd Quintile,West,No,0.46234,1017,15556,0.43389,0.49344
46,46,2017,2nd Quintile,East,Yes,0.66519,586,15556,0.60781,0.72111
47,47,2017,2nd Quintile,East,No,0.33481,298,15556,0.29751,0.3759
48,48,2017,3rd Quintile,West,Yes,0.62098,1491,15556,0.57841,0.6522
49,49,2017,3rd Quintile,West,No,0.37902,838,15556,0.35712,0.40579
50,50,2017,3rd Quintile,East,Yes,0.67232,494,15556,0.60353,0.72591
51,51,2017,3rd Quintile,East,No,0.32768,239,15556,0.28152,0.37291
52,52,2017,4th Quintile,West,Yes,0.65537,1699,15556,0.62756,0.68446
53,53,2017,4th Quintile,West,No,0.34463,794,15556,0.32179,0.37275
54,54,2017,4th Quintile,East,Yes,0.75601,398,15556,0.68535,0.838
55,55,2017,4th Quintile,East,No,0.24399,142,15556,0.19777,0.30007
56,56,2017,5th Quintile,West,Yes,0.70606,1977,15556,0.67431,0.73788
57,57,2017,5th Quintile,West,No,0.29394,740,15556,0.27052,0.3142
58,58,2017,5th Quintile,East,Yes,0.76982,297,15556,0.68901,0.8648
59,59,2017,5th Quintile,East,No,0.23018,90,15556,0.18408,0.28671
