year,bula_h,regtyp,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Urban regions,Yes,0.61675,95,147,0.53788,0.69561
2015,Schleswig-Holstein,Urban regions,No,0.34406,52,147,0.26700,0.42112
2015,Schleswig-Holstein,Rural regions,Yes,0.53386,221,380,0.48363,0.58408
2015,Schleswig-Holstein,Rural regions,No,0.42847,159,380,0.37865,0.47829
2015,Hamburg,Urban regions,Yes,0.41027,115,274,0.35192,0.46862
2015,Hamburg,Urban regions,No,0.57413,159,274,0.51548,0.63279
2015,Lower Saxony,Urban regions,Yes,0.53294,343,614,0.49345,0.57244
2015,Lower Saxony,Urban regions,No,0.43111,271,614,0.39190,0.47031
2015,Lower Saxony,Rural regions,Yes,0.64694,560,855,0.61489,0.67900
2015,Lower Saxony,Rural regions,No,0.33843,295,855,0.30669,0.37017
2015,Bremen,Urban regions,Yes,0.48475,49,113,0.39219,0.57731
2015,Bremen,Urban regions,No,0.50223,64,113,0.40963,0.59483
2015,North Rhine-Westphalia,Urban regions,Yes,0.54008,1683,3070,0.52244,0.55771
2015,North Rhine-Westphalia,Urban regions,No,0.43697,1387,3070,0.41942,0.45452
2015,Hesse,Urban regions,Yes,0.41497,424,876,0.38232,0.44762
2015,Hesse,Urban regions,No,0.55765,452,876,0.52474,0.59056
2015,Hesse,Rural regions,Yes,0.53865,119,213,0.47154,0.60575
2015,Hesse,Rural regions,No,0.42724,94,213,0.36065,0.49383
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.45935,315,673,0.42167,0.49703
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.52765,358,673,0.48991,0.56540
2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.50493,115,238,0.44128,0.56859
2015,"Rhineland-Palatinate, Saarland",Rural regions,No,0.49301,123,238,0.42935,0.55666
2015,Baden-Wuerttemberg,Urban regions,Yes,0.48777,853,1586,0.46316,0.51237
2015,Baden-Wuerttemberg,Urban regions,No,0.48263,733,1586,0.45803,0.50723
2015,Baden-Wuerttemberg,Rural regions,Yes,0.66185,128,181,0.59274,0.73097
2015,Baden-Wuerttemberg,Rural regions,No,0.28294,53,181,0.21713,0.34874
2015,Bavaria,Urban regions,Yes,0.51025,628,1204,0.48200,0.53850
2015,Bavaria,Urban regions,No,0.45430,576,1204,0.42616,0.48243
2015,Bavaria,Rural regions,Yes,0.44699,657,1307,0.42002,0.47395
2015,Bavaria,Rural regions,No,0.50986,650,1307,0.48274,0.53697
2015,Berlin,Urban regions,Yes,0.51773,319,625,0.47852,0.55693
2015,Berlin,Urban regions,No,0.44141,306,625,0.40245,0.48037
2015,Brandenburg,Urban regions,Yes,0.68839,33,33,0.52792,0.84886
2015,Brandenburg,Rural regions,Yes,0.57939,340,551,0.53814,0.62065
2015,Brandenburg,Rural regions,No,0.40798,211,551,0.36690,0.44905
2015,Mecklenburg-Western Pomerania,Urban regions,Yes,0.68357,31,31,0.51714,0.85000
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.67591,219,301,0.62295,0.72887
2015,Mecklenburg-Western Pomerania,Rural regions,No,0.27644,82,301,0.22583,0.32705
2015,Saxony,Urban regions,Yes,0.56607,306,483,0.52182,0.61031
2015,Saxony,Urban regions,No,0.39914,177,483,0.35542,0.44286
2015,Saxony,Rural regions,Yes,0.53061,237,404,0.48188,0.57934
2015,Saxony,Rural regions,No,0.42816,167,404,0.37985,0.47647
2015,Saxony-Anhalt,Urban regions,Yes,0.68858,82,130,0.60867,0.76849
2015,Saxony-Anhalt,Urban regions,No,0.29899,48,130,0.21998,0.37799
2015,Saxony-Anhalt,Rural regions,Yes,0.62835,256,404,0.58117,0.67553
2015,Saxony-Anhalt,Rural regions,No,0.33499,148,404,0.28890,0.38107
2015,Thuringa,Urban regions,Yes,0.60458,116,186,0.53412,0.67503
2015,Thuringa,Urban regions,No,0.35982,70,186,0.29065,0.42898
2015,Thuringa,Rural regions,Yes,0.56085,230,379,0.51082,0.61088
2015,Thuringa,Rural regions,No,0.41318,149,379,0.36354,0.46283
2016,Schleswig-Holstein,Urban regions,Yes,0.56921,82,138,0.48629,0.65214
2016,Schleswig-Holstein,Urban regions,No,0.38407,56,138,0.30262,0.46551
2016,Schleswig-Holstein,Rural regions,Yes,0.59212,210,361,0.54135,0.64289
2016,Schleswig-Holstein,Rural regions,No,0.40291,151,361,0.35224,0.45358
2016,Hamburg,Urban regions,Yes,0.42376,116,262,0.36381,0.48371
2016,Hamburg,Urban regions,No,0.56548,146,262,0.50534,0.62562
2016,Lower Saxony,Urban regions,Yes,0.60702,325,563,0.56664,0.64740
2016,Lower Saxony,Urban regions,No,0.37406,238,563,0.33406,0.41407
2016,Lower Saxony,Rural regions,Yes,0.67701,545,774,0.64405,0.70998
2016,Lower Saxony,Rural regions,No,0.30577,229,774,0.27329,0.33825
