year,bula_h,rentown,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Owner,Yes,0.64380,176,245,0.58371,0.70388
2015,Schleswig-Holstein,Owner,No,0.32897,69,245,0.27002,0.38793
2015,Schleswig-Holstein,Tenant,Yes,0.46299,140,282,0.40468,0.52129
2015,Schleswig-Holstein,Tenant,No,0.48715,142,282,0.42870,0.54559
2015,Hamburg,Owner,Yes,0.59566,47,47,0.45384,0.73748
2015,Hamburg,Tenant,Yes,0.33303,68,199,0.26738,0.39868
2015,Hamburg,Tenant,No,0.64488,131,199,0.57822,0.71153
2015,Lower Saxony,Owner,Yes,0.68957,551,744,0.65630,0.72284
2015,Lower Saxony,Owner,No,0.30795,193,744,0.27476,0.34114
2015,Lower Saxony,Tenant,Yes,0.49215,352,725,0.45574,0.52857
2015,Lower Saxony,Tenant,No,0.45935,373,725,0.42304,0.49565
2015,Bremen,Tenant,No,0.55326,47,47,0.40959,0.69693
2015,North Rhine-Westphalia,Owner,Yes,0.67381,922,1292,0.64824,0.69939
2015,North Rhine-Westphalia,Owner,No,0.31614,370,1292,0.29077,0.34150
2015,North Rhine-Westphalia,Tenant,Yes,0.42883,785,1829,0.40614,0.45151
2015,North Rhine-Westphalia,Tenant,No,0.53768,1044,1829,0.51483,0.56054
2015,Hesse,Owner,Yes,0.49396,277,473,0.44885,0.53906
2015,Hesse,Owner,No,0.49429,196,473,0.44918,0.53939
2015,Hesse,Tenant,Yes,0.38946,266,616,0.35092,0.42800
2015,Hesse,Tenant,No,0.56625,350,616,0.52708,0.60542
2015,"Rhineland-Palatinate, Saarland",Owner,Yes,0.59074,286,466,0.54604,0.63543
2015,"Rhineland-Palatinate, Saarland",Owner,No,0.40135,180,466,0.35680,0.44590
2015,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.34367,144,445,0.29949,0.38785
2015,"Rhineland-Palatinate, Saarland",Tenant,No,0.64360,301,445,0.59905,0.68815
2015,Baden-Wuerttemberg,Owner,Yes,0.58617,590,910,0.55415,0.61819
2015,Baden-Wuerttemberg,Owner,No,0.40102,320,910,0.36916,0.43288
2015,Baden-Wuerttemberg,Tenant,Yes,0.40992,391,857,0.37697,0.44286
2015,Baden-Wuerttemberg,Tenant,No,0.53483,466,857,0.50141,0.56824
2015,Bavaria,Owner,Yes,0.58308,759,1182,0.55496,0.61120
2015,Bavaria,Owner,No,0.39737,423,1182,0.36946,0.42528
2015,Bavaria,Tenant,Yes,0.37439,526,1329,0.34836,0.40042
2015,Bavaria,Tenant,No,0.56653,803,1329,0.53987,0.59318
2015,Berlin,Owner,Yes,0.62917,81,81,0.52332,0.73502
2015,Berlin,Tenant,Yes,0.49084,238,514,0.44758,0.53410
2015,Berlin,Tenant,No,0.47677,276,514,0.43355,0.51999
2015,Brandenburg,Owner,Yes,0.64355,166,258,0.58499,0.70210
2015,Brandenburg,Owner,No,0.35306,92,258,0.29463,0.41149
2015,Brandenburg,Tenant,Yes,0.54141,207,340,0.48837,0.59445
2015,Brandenburg,Tenant,No,0.43083,133,340,0.37811,0.48354
2015,Mecklenburg-Western Pomerania,Owner,Yes,0.69105,88,88,0.59395,0.78814
2015,Mecklenburg-Western Pomerania,Tenant,Yes,0.66960,162,232,0.60894,0.73026
2015,Mecklenburg-Western Pomerania,Tenant,No,0.31381,70,232,0.25397,0.37365
2015,Saxony,Owner,Yes,0.62839,214,310,0.57451,0.68227
2015,Saxony,Owner,No,0.32584,96,310,0.27358,0.37810
2015,Saxony,Tenant,Yes,0.50855,329,577,0.46772,0.54938
2015,Saxony,Tenant,No,0.45737,248,577,0.41668,0.49805
2015,Saxony-Anhalt,Owner,Yes,0.64265,150,212,0.57799,0.70732
2015,Saxony-Anhalt,Owner,No,0.31322,62,212,0.25064,0.37580
2015,Saxony-Anhalt,Tenant,Yes,0.64347,188,322,0.59107,0.69586
2015,Saxony-Anhalt,Tenant,No,0.33441,134,322,0.28280,0.38602
2015,Thuringa,Owner,Yes,0.57242,151,241,0.50983,0.63502
2015,Thuringa,Owner,No,0.42758,90,241,0.36498,0.49017
2015,Thuringa,Tenant,Yes,0.57478,195,324,0.52086,0.62869
2015,Thuringa,Tenant,No,0.37789,129,324,0.32501,0.43076
2016,Schleswig-Holstein,Owner,Yes,0.68131,165,235,0.62161,0.74102
2016,Schleswig-Holstein,Owner,No,0.31869,70,235,0.25898,0.37839
2016,Schleswig-Holstein,Tenant,Yes,0.49213,127,264,0.43171,0.55256
2016,Schleswig-Holstein,Tenant,No,0.49114,137,264,0.43072,0.55156
2016,Hamburg,Owner,Yes,0.55396,45,45,0.40708,0.70084
2016,Hamburg,Tenant,Yes,0.36886,71,188,0.29971,0.43802
2016,Hamburg,Tenant,No,0.62116,117,188,0.55163,0.69069
2016,Lower Saxony,Owner,Yes,0.73800,535,693,0.70524,0.77076
2016,Lower Saxony,Owner,No,0.26200,158,693,0.22924,0.29476
2016,Lower Saxony,Tenant,Yes,0.54878,335,644,0.51032,0.58725
2016,Lower Saxony,Tenant,No,0.42553,309,644,0.38731,0.46374
2016,Bremen,Tenant,No,0.58791,39,39,0.43141,0.74441
2016,North Rhine-Westphalia,Owner,Yes,0.67712,877,1216,0.65083,0.70341
2016,North Rhine-Westphalia,Owner,No,0.32288,339,1216,0.29659,0.34917
2016,North Rhine-Westphalia,Tenant,Yes,0.50132,870,1672,0.47735,0.52530
2016,North Rhine-Westphalia,Tenant,No,0.48650,802,1672,0.46254,0.51047
2016,Hesse,Owner,Yes,0.62671,271,425,0.58067,0.67275
2016,Hesse,Owner,No,0.36969,154,425,0.32374,0.41564
2016,Hesse,Tenant,Yes,0.48754,250,546,0.44558,0.52951
2016,Hesse,Tenant,No,0.50817,296,546,0.46620,0.55015
2016,"Rhineland-Palatinate, Saarland",Owner,Yes,0.63156,277,440,0.58643,0.67668
2016,"Rhineland-Palatinate, Saarland",Owner,No,0.35967,163,440,0.31477,0.40456
2016,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.36777,145,402,0.32058,0.41497
2016,"Rhineland-Palatinate, Saarland",Tenant,No,0.62000,257,402,0.57249,0.66751
2016,Baden-Wuerttemberg,Owner,Yes,0.73620,652,851,0.70657,0.76582
2016,Baden-Wuerttemberg,Owner,No,0.25787,199,851,0.22846,0.28728
2016,Baden-Wuerttemberg,Tenant,Yes,0.51206,396,755,0.47638,0.54774
2016,Baden-Wuerttemberg,Tenant,No,0.46349,359,755,0.42789,0.49908
2016,Bavaria,Owner,Yes,0.60667,721,1095,0.57773,0.63562
2016,Bavaria,Owner,No,0.38990,374,1095,0.36100,0.41881
2016,Bavaria,Tenant,Yes,0.42501,543,1179,0.39678,0.45324
