,Unnamed: 0,year,bula_h,sampreg,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Schleswig-Holstein,West,Yes,0.57789,316,15335,0.506,0.65849
1,1,2015,Schleswig-Holstein,West,No,0.42211,211,15335,0.37048,0.47982
2,2,2015,Hamburg,West,Yes,0.41007,115,15335,0.33472,0.49944
3,3,2015,Hamburg,West,No,0.58993,159,15335,0.50856,0.68656
4,4,2015,Lower Saxony,West,Yes,0.61325,903,15335,0.57096,0.65827
5,5,2015,Lower Saxony,West,No,0.38675,566,15335,0.34851,0.42239
6,6,2015,Bremen,West,Yes,0.49248,49,15335,0.35691,0.6401
7,7,2015,Bremen,West,No,0.50752,64,15335,0.39899,0.63576
8,8,2015,North Rhine-Westphalia,West,Yes,0.55071,1707,15335,0.52493,0.58246
9,9,2015,North Rhine-Westphalia,West,No,0.44929,1414,15335,0.41968,0.48107
10,10,2015,Hesse,West,Yes,0.45204,543,15335,0.41616,0.49404
11,11,2015,Hesse,West,No,0.54796,546,15335,0.49997,0.59651
12,12,2015,"Rhineland-Palatinate, Saarland",West,Yes,0.47424,430,15335,0.42429,0.52878
13,13,2015,"Rhineland-Palatinate, Saarland",West,No,0.52576,481,15335,0.47224,0.57229
14,14,2015,Baden-Wuerttemberg,West,Yes,0.52243,981,15335,0.48169,0.56086
15,15,2015,Baden-Wuerttemberg,West,No,0.47757,786,15335,0.4437,0.52335
16,16,2015,Bavaria,West,Yes,0.49876,1285,15335,0.46824,0.53585
17,17,2015,Bavaria,West,No,0.50124,1226,15335,0.47234,0.52648
18,18,2015,Berlin,West,Yes,0.45439,153,15335,0.39268,0.51388
19,19,2015,Berlin,West,No,0.54561,203,15335,0.47739,0.60617
20,20,2015,Berlin,East,Yes,0.65147,166,15335,0.55741,0.74257
21,21,2015,Berlin,East,No,0.34853,103,15335,0.27945,0.42449
22,22,2015,Brandenburg,East,Yes,0.59978,373,15335,0.53953,0.65513
23,23,2015,Brandenburg,East,No,0.40022,225,15335,0.34174,0.46037
24,24,2015,Mecklenburg-Western Pomerania,East,Yes,0.71238,250,15335,0.63002,0.8014
25,25,2015,Mecklenburg-Western Pomerania,East,No,0.28762,94,15335,0.23518,0.35342
26,26,2015,Saxony,East,Yes,0.57068,543,15335,0.51676,0.61287
27,27,2015,Saxony,East,No,0.42932,344,15335,0.37611,0.48081
28,28,2015,Saxony-Anhalt,East,Yes,0.66572,338,15335,0.59031,0.74231
29,29,2015,Saxony-Anhalt,East,No,0.33428,196,15335,0.28856,0.37894
30,30,2015,Thuringa,East,Yes,0.5913,346,15335,0.52148,0.66723
31,31,2015,Thuringa,East,No,0.4087,219,15335,0.36032,0.47923
