year,bula_h,quintil_oecd_hh,hgeqpinsul,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,1st Quintile,Yes,0.42121,63,135,0.33761,0.50481
2015,Schleswig-Holstein,1st Quintile,No,0.57879,72,135,0.49519,0.66239
2015,Schleswig-Holstein,2nd Quintile,Yes,0.55568,54,98,0.45679,0.65456
2015,Schleswig-Holstein,2nd Quintile,No,0.44432,44,98,0.34544,0.54321
2015,Schleswig-Holstein,3rd Quintile,Yes,0.63114,69,110,0.54056,0.72172
2015,Schleswig-Holstein,3rd Quintile,No,0.36886,41,110,0.27828,0.45944
2015,Schleswig-Holstein,4th Quintile,Yes,0.70975,75,75,0.60634,0.81316
2015,Schleswig-Holstein,5th Quintile,Yes,0.54501,55,55,0.41219,0.67783
2015,Hamburg,1st Quintile,No,0.69076,35,35,0.53540,0.84612
2015,Hamburg,2nd Quintile,No,0.84900,40,40,0.73663,0.96138
2015,Hamburg,5th Quintile,Yes,0.52215,39,39,0.36333,0.68097
2015,Lower Saxony,1st Quintile,Yes,0.41589,153,338,0.36327,0.46852
2015,Lower Saxony,1st Quintile,No,0.58411,185,338,0.53148,0.63673
2015,Lower Saxony,2nd Quintile,Yes,0.58538,174,295,0.52906,0.64169
2015,Lower Saxony,2nd Quintile,No,0.41462,121,295,0.35831,0.47094
2015,Lower Saxony,3rd Quintile,Yes,0.66047,182,280,0.60490,0.71604
2015,Lower Saxony,3rd Quintile,No,0.33953,98,280,0.28396,0.39510
2015,Lower Saxony,4th Quintile,Yes,0.61590,194,281,0.55893,0.67287
2015,Lower Saxony,4th Quintile,No,0.38410,87,281,0.32713,0.44107
2015,Lower Saxony,5th Quintile,Yes,0.73969,200,275,0.68773,0.79165
2015,Lower Saxony,5th Quintile,No,0.26031,75,275,0.20835,0.31227
2015,North Rhine-Westphalia,1st Quintile,Yes,0.39709,291,786,0.36286,0.43132
2015,North Rhine-Westphalia,1st Quintile,No,0.60291,495,786,0.56868,0.63714
2015,North Rhine-Westphalia,2nd Quintile,Yes,0.46727,305,610,0.42764,0.50690
2015,North Rhine-Westphalia,2nd Quintile,No,0.53273,305,610,0.49310,0.57236
2015,North Rhine-Westphalia,3rd Quintile,Yes,0.59146,331,565,0.55089,0.63202
2015,North Rhine-Westphalia,3rd Quintile,No,0.40854,234,565,0.36798,0.44911
2015,North Rhine-Westphalia,4th Quintile,Yes,0.60957,341,549,0.56873,0.65042
2015,North Rhine-Westphalia,4th Quintile,No,0.39043,208,549,0.34958,0.43127
2015,North Rhine-Westphalia,5th Quintile,Yes,0.68389,439,611,0.64699,0.72078
2015,North Rhine-Westphalia,5th Quintile,No,0.31611,172,611,0.27922,0.35301
2015,Hesse,1st Quintile,Yes,0.30555,74,221,0.24468,0.36642
2015,Hesse,1st Quintile,No,0.69445,147,221,0.63358,0.75532
2015,Hesse,2nd Quintile,Yes,0.37233,81,196,0.30448,0.44018
2015,Hesse,2nd Quintile,No,0.62767,115,196,0.55982,0.69552
2015,Hesse,3rd Quintile,Yes,0.49635,115,205,0.42774,0.56497
2015,Hesse,3rd Quintile,No,0.50365,90,205,0.43503,0.57226
2015,Hesse,4th Quintile,Yes,0.45105,103,195,0.38103,0.52107
2015,Hesse,4th Quintile,No,0.54895,92,195,0.47893,0.61897
2015,Hesse,5th Quintile,Yes,0.58558,170,272,0.52692,0.64423
2015,Hesse,5th Quintile,No,0.41442,102,272,0.35577,0.47308
2015,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.29289,49,198,0.22934,0.35644
2015,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.70711,149,198,0.64356,0.77066
2015,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.37919,89,204,0.31245,0.44594
2015,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.62081,115,204,0.55406,0.68755
2015,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.53625,96,186,0.46439,0.60811
2015,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.46375,90,186,0.39189,0.53561
2015,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.59800,92,153,0.52006,0.67595
2015,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.40200,61,153,0.32405,0.47994
2015,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.58882,103,168,0.51419,0.66345
2015,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.41118,65,168,0.33655,0.48581
2015,Baden-Wuerttemberg,1st Quintile,Yes,0.32260,90,272,0.26694,0.37826
2015,Baden-Wuerttemberg,1st Quintile,No,0.67740,182,272,0.62174,0.73306
2015,Baden-Wuerttemberg,2nd Quintile,Yes,0.41447,150,310,0.35954,0.46940
2015,Baden-Wuerttemberg,2nd Quintile,No,0.58553,160,310,0.53060,0.64046
2015,Baden-Wuerttemberg,3rd Quintile,Yes,0.52365,211,363,0.47220,0.57510
2015,Baden-Wuerttemberg,3rd Quintile,No,0.47635,152,363,0.42490,0.52780
2015,Baden-Wuerttemberg,4th Quintile,Yes,0.58010,231,384,0.53067,0.62953
2015,Baden-Wuerttemberg,4th Quintile,No,0.41990,153,384,0.37047,0.46933
2015,Baden-Wuerttemberg,5th Quintile,Yes,0.64957,298,437,0.60478,0.69435
2015,Baden-Wuerttemberg,5th Quintile,No,0.35043,139,437,0.30565,0.39522
2015,Bavaria,1st Quintile,Yes,0.35621,157,443,0.31157,0.40086
2015,Bavaria,1st Quintile,No,0.64379,286,443,0.59914,0.68843
2015,Bavaria,2nd Quintile,Yes,0.42696,210,509,0.38395,0.46998
2015,Bavaria,2nd Quintile,No,0.57304,299,509,0.53002,0.61605
2015,Bavaria,3rd Quintile,Yes,0.50028,252,488,0.45588,0.54469
2015,Bavaria,3rd Quintile,No,0.49972,236,488,0.45531,0.54412
2015,Bavaria,4th Quintile,Yes,0.52999,287,488,0.48567,0.57432
2015,Bavaria,4th Quintile,No,0.47001,201,488,0.42568,0.51433
2015,Bavaria,5th Quintile,Yes,0.62227,379,583,0.58288,0.66166
2015,Bavaria,5th Quintile,No,0.37773,204,583,0.33834,0.41712
2015,Berlin,1st Quintile,Yes,0.47847,67,159,0.40057,0.55636
2015,Berlin,1st Quintile,No,0.52153,92,159,0.44364,0.59943
2015,Berlin,2nd Quintile,Yes,0.51840,68,134,0.43348,0.60332
2015,Berlin,2nd Quintile,No,0.48160,66,134,0.39668,0.56652
2015,Berlin,3rd Quintile,Yes,0.62806,60,103,0.53426,0.72186
2015,Berlin,3rd Quintile,No,0.37194,43,103,0.27814,0.46574
2015,Berlin,4th Quintile,Yes,0.50050,63,119,0.41029,0.59072
2015,Berlin,4th Quintile,No,0.49950,56,119,0.40928,0.58971
2015,Berlin,5th Quintile,Yes,0.61591,61,110,0.52460,0.70722
2015,Berlin,5th Quintile,No,0.38409,49,110,0.29278,0.47540
2015,Brandenburg,1st Quintile,Yes,0.50257,92,169,0.42697,0.57818
