year,rentown,hgeqpinsul,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2015,Owner,Yes,0.671664167916042,15764,0.6643332545237753,0.6789950813083087
2015,Owner,No,0.328335832083958,15764,0.3210049186916914,0.3356667454762246
2015,Tenant,No,0.5362954414310445,15764,0.5285106748774184,0.5440802079846705
2015,Tenant,Yes,0.4637045585689556,15764,0.45591979201532956,0.4714893251225816
2016,Owner,Yes,0.7043395326657129,16419,0.6973592922359775,0.7113197730954484
2016,Owner,No,0.2956604673342871,16419,0.28868022690455164,0.3026407077640225
2016,Tenant,Yes,0.5238095238095238,16419,0.5161701147077212,0.5314489329113264
2016,Tenant,No,0.47619047619047616,16419,0.46855106708867356,0.48382988529227877
2017,Owner,Yes,0.7236786169760522,18279,0.7171958565529954,0.7301613773991089
2017,Owner,No,0.2763213830239479,18279,0.26983862260089114,0.2828041434470046
2017,Tenant,Yes,0.5535693284723039,18279,0.5463625217181848,0.560776135226423
2017,Tenant,No,0.4464306715276961,18279,0.439223864773577,0.4536374782818152
2018,Owner,Yes,0.7321375630002964,17878,0.7256460062609154,0.7386291197396775
2018,Owner,No,0.2678624369997035,17878,0.26137088026032246,0.2743539937390846
2018,Tenant,Yes,0.5711289758825585,17878,0.5638741489842142,0.5783838027809028
2018,Tenant,No,0.42887102411744144,17878,0.42161619721909716,0.4361258510157857
2019,Owner,Yes,0.7292333614153328,18428,0.7228176058299899,0.7356491170006757
2019,Owner,No,0.2707666385846672,18428,0.26435088299932435,0.27718239417001006
2019,Tenant,Yes,0.5811914121560326,18428,0.5740680610169954,0.5883147632950699
2019,Tenant,No,0.41880858784396735,18428,0.41168523670493,0.4259319389830047
2020,Owner,Yes,0.7548582121779185,19329,0.7487937436730009,0.7609226806828361
2020,Owner,No,0.24514178782208149,19329,0.2390773193171639,0.2512062563269991
2020,Tenant,Yes,0.5586070526200154,19329,0.5516067424943203,0.5656073627457106
2020,Tenant,No,0.44139294737998463,19329,0.4343926372542895,0.44839325750567977
2021,Owner,Yes,0.7561395950021542,12568,0.748632107448388,0.7636470825559204
2021,Owner,No,0.24386040499784575,12568,0.23635291744407957,0.25136789255161196
2021,Tenant,Yes,0.5807877041306436,12568,0.5721609246192838,0.5894144836420034
2021,Tenant,No,0.4192122958693564,12568,0.4105855163579966,0.42783907538071614
