,Unnamed: 0,year,quintil_oecd_hh,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,1st Quintile,Yes,0.40139,1370,15331,0.37618,0.43052
1,1,2015,1st Quintile,No,0.59861,2024,15331,0.56815,0.62839
2,2,2015,2nd Quintile,Yes,0.48148,1652,15331,0.45579,0.50731
3,3,2015,2nd Quintile,No,0.51852,1619,15331,0.488,0.54716
4,4,2015,3rd Quintile,Yes,0.5767,1771,15331,0.54362,0.60176
5,5,2015,3rd Quintile,No,0.4233,1213,15331,0.40032,0.44844
6,6,2015,4th Quintile,Yes,0.58182,1707,15331,0.54843,0.61462
7,7,2015,4th Quintile,No,0.41818,1045,15331,0.39361,0.44551
8,8,2015,5th Quintile,Yes,0.65765,1996,15331,0.62799,0.69241
9,9,2015,5th Quintile,No,0.34235,934,15331,0.31927,0.36245
10,10,2016,1st Quintile,Yes,0.43002,1337,14183,0.40399,0.45722
11,11,2016,1st Quintile,No,0.56998,1675,14183,0.53494,0.59722
12,12,2016,2nd Quintile,Yes,0.53281,1732,14183,0.50857,0.56185
13,13,2016,2nd Quintile,No,0.46719,1344,14183,0.43726,0.49366
14,14,2016,3rd Quintile,Yes,0.62044,1751,14183,0.59259,0.65663
15,15,2016,3rd Quintile,No,0.37956,988,14183,0.35899,0.40663
16,16,2016,4th Quintile,Yes,0.66835,1811,14183,0.63609,0.70586
17,17,2016,4th Quintile,No,0.33165,835,14183,0.31039,0.35196
18,18,2016,5th Quintile,Yes,0.70414,1936,14183,0.66955,0.73619
19,19,2016,5th Quintile,No,0.29586,774,14183,0.27406,0.31407
20,20,2017,1st Quintile,Yes,0.47198,1552,15556,0.44891,0.49952
21,21,2017,1st Quintile,No,0.52802,1585,15556,0.50234,0.55643
22,22,2017,2nd Quintile,Yes,0.56683,1905,15556,0.54018,0.59394
23,23,2017,2nd Quintile,No,0.43317,1315,15556,0.41093,0.45762
24,24,2017,3rd Quintile,Yes,0.63127,1985,15556,0.60258,0.66465
25,25,2017,3rd Quintile,No,0.36873,1077,15556,0.34669,0.3914
26,26,2017,4th Quintile,Yes,0.66858,2097,15556,0.63913,0.6972
27,27,2017,4th Quintile,No,0.33142,936,15556,0.30773,0.35174
28,28,2017,5th Quintile,Yes,0.71156,2274,15556,0.68621,0.73937
29,29,2017,5th Quintile,No,0.28844,830,15556,0.26852,0.30918
30,30,2018,1st Quintile,Yes,0.51745,1661,15324,0.48844,0.5436
31,31,2018,1st Quintile,No,0.48255,1543,15324,0.4552,0.50616
32,32,2018,2nd Quintile,Yes,0.5771,1991,15324,0.54871,0.60273
33,33,2018,2nd Quintile,No,0.4229,1365,15324,0.40048,0.44697
34,34,2018,3rd Quintile,Yes,0.63666,1915,15324,0.60896,0.66383
35,35,2018,3rd Quintile,No,0.36334,989,15324,0.33886,0.38492
36,36,2018,4th Quintile,Yes,0.69692,2034,15324,0.66832,0.73755
37,37,2018,4th Quintile,No,0.30308,822,15324,0.2814,0.32425
38,38,2018,5th Quintile,Yes,0.74177,2237,15324,0.7086,0.77295
39,39,2018,5th Quintile,No,0.25823,767,15324,0.23969,0.27677
40,40,2019,1st Quintile,Yes,0.50213,1232,12546,0.46954,0.53233
41,41,2019,1st Quintile,No,0.49787,1132,12546,0.45969,0.52855
42,42,2019,2nd Quintile,Yes,0.57647,1553,12546,0.54914,0.61136
43,43,2019,2nd Quintile,No,0.42353,1027,12546,0.39045,0.4549
44,44,2019,3rd Quintile,Yes,0.64741,1682,12546,0.61439,0.67864
45,45,2019,3rd Quintile,No,0.35259,869,12546,0.32509,0.37507
46,46,2019,4th Quintile,Yes,0.68803,1765,12546,0.65492,0.72018
47,47,2019,4th Quintile,No,0.31197,717,12546,0.28906,0.33424
48,48,2019,5th Quintile,Yes,0.7495,1939,12546,0.71001,0.7818
49,49,2019,5th Quintile,No,0.2505,630,12546,0.22985,0.27195
50,50,2020,1st Quintile,Yes,0.52612,1630,16020,0.49194,0.56038
51,51,2020,1st Quintile,No,0.47388,1722,16020,0.44327,0.50273
52,52,2020,2nd Quintile,Yes,0.62064,1935,16020,0.59096,0.6566
53,53,2020,2nd Quintile,No,0.37936,1305,16020,0.35082,0.40998
54,54,2020,3rd Quintile,Yes,0.65242,1912,16020,0.62377,0.68411
55,55,2020,3rd Quintile,No,0.34758,992,16020,0.32802,0.37611
56,56,2020,4th Quintile,Yes,0.69023,1979,16020,0.65421,0.73365
57,57,2020,4th Quintile,No,0.30977,830,16020,0.28878,0.33587
58,58,2020,5th Quintile,Yes,0.76955,2867,16020,0.73179,0.81073
59,59,2020,5th Quintile,No,0.23045,848,16020,0.20633,0.24954
60,60,2021,1st Quintile,Yes,0.50994,931,9835,0.47017,0.55585
61,61,2021,1st Quintile,No,0.49006,845,9835,0.45678,0.52971
62,62,2021,2nd Quintile,Yes,0.61039,1215,9835,0.57597,0.65729
63,63,2021,2nd Quintile,No,0.38961,756,9835,0.3592,0.42665
64,64,2021,3rd Quintile,Yes,0.66662,1241,9835,0.63203,0.70196
65,65,2021,3rd Quintile,No,0.33338,585,9835,0.29967,0.36649
66,66,2021,4th Quintile,Yes,0.68766,1326,9835,0.64337,0.72949
67,67,2021,4th Quintile,No,0.31234,550,9835,0.28412,0.34046
68,68,2021,5th Quintile,Yes,0.76381,1815,9835,0.72106,0.81337
69,69,2021,5th Quintile,No,0.23619,571,9835,0.20722,0.26265
