,Unnamed: 0,year,bula_h,hgeqpinsul,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2015,Schleswig-Holstein,Yes,0.57789,316,15335,0.49935,0.64532
1,1,2015,Schleswig-Holstein,No,0.42211,211,15335,0.36742,0.49026
2,2,2015,Hamburg,Yes,0.41007,115,15335,0.34319,0.47492
3,3,2015,Hamburg,No,0.58993,159,15335,0.50956,0.68717
4,4,2015,Lower Saxony,Yes,0.61325,903,15335,0.56776,0.65662
5,5,2015,Lower Saxony,No,0.38675,566,15335,0.35105,0.4261
6,6,2015,Bremen,Yes,0.49248,49,15335,0.34891,0.65356
7,7,2015,Bremen,No,0.50752,64,15335,0.38221,0.65478
8,8,2015,North Rhine-Westphalia,Yes,0.55071,1707,15335,0.52385,0.57712
9,9,2015,North Rhine-Westphalia,No,0.44929,1414,15335,0.41994,0.47763
10,10,2015,Hesse,Yes,0.45204,543,15335,0.41407,0.4911
11,11,2015,Hesse,No,0.54796,546,15335,0.492,0.59914
12,12,2015,"Rhineland-Palatinate, Saarland",Yes,0.47424,430,15335,0.43138,0.51499
13,13,2015,"Rhineland-Palatinate, Saarland",No,0.52576,481,15335,0.47247,0.56935
14,14,2015,Baden-Wuerttemberg,Yes,0.52243,981,15335,0.48207,0.55984
15,15,2015,Baden-Wuerttemberg,No,0.47757,786,15335,0.44134,0.5206
16,16,2015,Bavaria,Yes,0.49876,1285,15335,0.46637,0.53445
17,17,2015,Bavaria,No,0.50124,1226,15335,0.47243,0.52818
18,18,2015,Berlin,Yes,0.53939,319,15335,0.4798,0.5958
19,19,2015,Berlin,No,0.46061,306,15335,0.40419,0.51176
20,20,2015,Brandenburg,Yes,0.59978,373,15335,0.52791,0.66033
21,21,2015,Brandenburg,No,0.40022,225,15335,0.34382,0.45825
22,22,2015,Mecklenburg-Western Pomerania,Yes,0.71238,250,15335,0.6346,0.79626
23,23,2015,Mecklenburg-Western Pomerania,No,0.28762,94,15335,0.22832,0.3557
24,24,2015,Saxony,Yes,0.57068,543,15335,0.5254,0.60811
25,25,2015,Saxony,No,0.42932,344,15335,0.38114,0.47875
