"plh0040","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Grosse Sorgen","1994","Schleswig-Holstein","Staedtischer Raum","74","0.551626673513276","0.469538413909486","0.633714933117065"
"Grosse Sorgen","1994","Schleswig-Holstein","Laendlicher Raum","67","0.518239046085773","0.436628232076111","0.599849860095434"
"Grosse Sorgen","1994","Hamburg","Staedtischer Raum","75","0.582279543619015","0.500585063843783","0.663974023394248"
"Grosse Sorgen","1994","Hamburg","Laendlicher Raum","","","",""
"Grosse Sorgen","1994","Niedersachsen","Staedtischer Raum","263","0.570914817505866","0.526310701489234","0.615518933522499"
"Grosse Sorgen","1994","Niedersachsen","Laendlicher Raum","260","0.539391804806505","0.495122611040184","0.583660998572827"
"Grosse Sorgen","1994","Bremen","Staedtischer Raum","60","0.739141469600926","0.646337795225987","0.831945143975864"
"Grosse Sorgen","1994","Bremen","Laendlicher Raum","","","",""
"Grosse Sorgen","1994","Nordrhein-Westfalen","Staedtischer Raum","1293","0.556019882016243","0.536046094664079","0.575993669368406"
"Grosse Sorgen","1994","Nordrhein-Westfalen","Laendlicher Raum","30","0.501182501379703","0.376725011965153","0.625639990794253"
"Grosse Sorgen","1994","Hessen","Staedtischer Raum","414","0.533203866108262","0.498392596765343","0.568015135451181"
"Grosse Sorgen","1994","Hessen","Laendlicher Raum","78","0.707140549109685","0.625718887575231","0.788562210644138"
"Grosse Sorgen","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","306","0.595486974456028","0.553302872529139","0.637671076382918"
"Grosse Sorgen","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","58","0.494664652989388","0.401654174335104","0.587675131643672"
"Grosse Sorgen","1994","Baden-Wuerttemberg","Staedtischer Raum","723","0.498660214264429","0.473424484656523","0.523895943872335"
"Grosse Sorgen","1994","Baden-Wuerttemberg","Laendlicher Raum","111","0.570428317302262","0.504566063986902","0.636290570617622"
"Grosse Sorgen","1994","Bayern","Staedtischer Raum","324","0.447472305177395","0.412465107566177","0.482479502788613"
"Grosse Sorgen","1994","Bayern","Laendlicher Raum","346","0.453020154866877","0.418504260957783","0.487536048775971"
"Grosse Sorgen","1994","Saarland","Staedtischer Raum","","","",""
"Grosse Sorgen","1994","Saarland","Laendlicher Raum","","","",""
"Grosse Sorgen","1994","Berlin","Staedtischer Raum","365","0.657656827942046","0.617929595292288","0.697384060591804"
"Grosse Sorgen","1994","Berlin","Laendlicher Raum","","","",""
"Grosse Sorgen","1994","Brandenburg","Staedtischer Raum","36","0.681933722776522","0.562076560577137","0.801790884975907"
"Grosse Sorgen","1994","Brandenburg","Laendlicher Raum","419","0.788768817083774","0.754531032766107","0.823006601401441"
"Grosse Sorgen","1994","Mecklenburg-Vorpommern","Staedtischer Raum","45","0.785707351450435","0.680106325187895","0.891308377712976"
"Grosse Sorgen","1994","Mecklenburg-Vorpommern","Laendlicher Raum","249","0.739265191398133","0.693465729623799","0.785064653172468"
"Grosse Sorgen","1994","Sachsen","Staedtischer Raum","442","0.774299114819541","0.740365132736237","0.808233096902845"
"Grosse Sorgen","1994","Sachsen","Laendlicher Raum","391","0.752983678543742","0.716708982459084","0.789258374628401"
"Grosse Sorgen","1994","Sachsen-Anhalt","Staedtischer Raum","118","0.768829709193608","0.702674068462455","0.834985349924761"
"Grosse Sorgen","1994","Sachsen-Anhalt","Laendlicher Raum","399","0.75400314050764","0.717845407078197","0.790160873937084"
"Grosse Sorgen","1994","Thueringen","Staedtischer Raum","130","0.698132912407952","0.6328577096931","0.763408115122804"
"Grosse Sorgen","1994","Thueringen","Laendlicher Raum","334","0.716132927676739","0.67545756607071","0.756808289282767"
"Einige Sorgen","1994","Schleswig-Holstein","Staedtischer Raum","59","0.385879820464977","0.305528826645458","0.466230814284495"
"Einige Sorgen","1994","Schleswig-Holstein","Laendlicher Raum","68","0.434343386794971","0.353385365282035","0.515301408307907"
"Einige Sorgen","1994","Hamburg","Staedtischer Raum","58","0.387655469533316","0.306949631285023","0.46836130778161"
"Einige Sorgen","1994","Hamburg","Laendlicher Raum","","","",""
"Einige Sorgen","1994","Niedersachsen","Staedtischer Raum","195","0.398967870627892","0.354837728474154","0.44309801278163"
"Einige Sorgen","1994","Niedersachsen","Laendlicher Raum","203","0.418249569561663","0.374439926135201","0.462059212988125"
"Einige Sorgen","1994","Bremen","Staedtischer Raum","20","","",""
"Einige Sorgen","1994","Bremen","Laendlicher Raum","","","",""
"Einige Sorgen","1994","Nordrhein-Westfalen","Staedtischer Raum","976","0.405910060673507","0.386168817104726","0.425651304242287"
"Einige Sorgen","1994","Nordrhein-Westfalen","Laendlicher Raum","31","0.481096117526868","0.356727263563148","0.605464971490589"
"Einige Sorgen","1994","Hessen","Staedtischer Raum","336","0.422132647512252","0.387670039545496","0.456595255479009"
"Einige Sorgen","1994","Hessen","Laendlicher Raum","40","0.277034640549865","0.19696216586811","0.357107115231621"
"Einige Sorgen","1994","Rheinland-Pfalz,Saarland","Staedtischer Raum","197","0.373647431602304","0.332067205060334","0.415227658144274"
"Einige Sorgen","1994","Rheinland-Pfalz,Saarland","Laendlicher Raum","52","0.499961870213755","0.406946096118567","0.592977644308944"
"Einige Sorgen","1994","Baden-Wuerttemberg","Staedtischer Raum","698","0.452484019491095","0.427362411008596","0.477605627973594"
"Einige Sorgen","1994","Baden-Wuerttemberg","Laendlicher Raum","91","0.380241312704655","0.315652219706917","0.444830405702392"
