"plh0040","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1568","0.423054645639501","0.406738446779984","0.439370844499018"
"Grosse Sorgen","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","792","0.616382973972427","0.589660369144352","0.643105578800503"
"Grosse Sorgen","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2383","0.552238996010905","0.537666454161817","0.566811537859994"
"Grosse Sorgen","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1643","0.807528535622851","0.790690903296807","0.824366167948895"
"Grosse Sorgen","1994","66 und älter","Westdeutschland, alte Bundeslaender","724","0.670853570678916","0.643059294866645","0.698647846491187"
"Grosse Sorgen","1994","66 und älter","Ostdeutschland, neue Bundeslaender","342","0.842773042650976","0.807144773250822","0.878401312051129"
"Einige Sorgen","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1698","0.502074343257431","0.485561582754001","0.518587103760862"
"Einige Sorgen","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","449","0.354925747465752","0.328630446733338","0.381221048198167"
"Einige Sorgen","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1879","0.41029929551096","0.395884288734728","0.424714302287192"
"Einige Sorgen","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","449","0.187597500281774","0.17092433494946","0.204270665614088"
"Einige Sorgen","1994","66 und älter","Westdeutschland, alte Bundeslaender","331","0.295307216012928","0.268324611816036","0.32228982020982"
"Einige Sorgen","1994","66 und älter","Ostdeutschland, neue Bundeslaender","57","0.149471941621647","0.114573979626988","0.184369903616307"
"Keine Sorgen","1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","256","0.0748710111030676","0.0661791773880684","0.0835628448180668"
"Keine Sorgen","1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","31","0.0286912785618204","0.0195172913473598","0.0378652657762811"
"Keine Sorgen","1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","211","0.037461708478135","0.0318968843972435","0.0430265325590265"
"Keine Sorgen","1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","",""
"Keine Sorgen","1994","66 und älter","Westdeutschland, alte Bundeslaender","43","0.0338392133081561","0.0231441895554692","0.044534237060843"
"Keine Sorgen","1994","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"Grosse Sorgen","1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1542","0.396418955902112","0.380653387241649","0.412184524562575"
