"plh0040","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Keine Sorgen","2006","Ostdeutschland","447","0.0866169682428532","0.0790041631931987","0.0942297732925078"
"Keine Sorgen","2006","Westdeutschland","1920","","",""
"Einige Sorgen","2007","Ostdeutschland","2078","","",""
"Einige Sorgen","2007","Westdeutschland","7003","0.441984100578305","0.434138227433077","0.449829973723532"
"Grosse Sorgen","2007","Ostdeutschland","2440","","",""
"Grosse Sorgen","2007","Westdeutschland","6556","0.443297593525343","0.435449324019252","0.451145863031433"
"Keine Sorgen","2007","Ostdeutschland","464","0.0915153057272319","0.083508636184843","0.0995219752696209"
"Keine Sorgen","2007","Westdeutschland","1832","","",""
"Einige Sorgen","2008","Ostdeutschland","2216","","",""
"Einige Sorgen","2008","Westdeutschland","6945","0.465985132398139","0.457860354108761","0.474109910687517"
"Grosse Sorgen","2008","Ostdeutschland","2018","","",""
"Grosse Sorgen","2008","Westdeutschland","5490","0.398313651258829","0.390340197335553","0.406287105182105"
"Keine Sorgen","2008","Ostdeutschland","526","0.104139999915816","0.0954629224618931","0.112817077369739"
"Keine Sorgen","2008","Westdeutschland","2046","","",""
"Einige Sorgen","2009","Ostdeutschland","2301","","",""
"Einige Sorgen","2009","Westdeutschland","6871","0.512421495182548","0.503960562657335","0.52088242770776"
"Grosse Sorgen","2009","Ostdeutschland","1670","","",""
"Grosse Sorgen","2009","Westdeutschland","4239","0.324851701668469","0.316924417107948","0.33277898622899"
"Keine Sorgen","2009","Ostdeutschland","556","0.126012273033712","0.116345045654988","0.135679500412437"
"Keine Sorgen","2009","Westdeutschland","2297","","",""
"Einige Sorgen","2010","Ostdeutschland","2517","","",""
"Einige Sorgen","2010","Westdeutschland","8764","0.471013662516076","0.463801877730724","0.478225447301429"
"Grosse Sorgen","2010","Ostdeutschland","2165","","",""
"Grosse Sorgen","2010","Westdeutschland","6681","0.374144647778298","0.367153306029233","0.381135989527364"
"Keine Sorgen","2010","Ostdeutschland","770","0.137319671680891","0.128183558037117","0.146455785324666"
"Keine Sorgen","2010","Westdeutschland","2958","","",""
"Einige Sorgen","2011","Ostdeutschland","2285","","",""
"Einige Sorgen","2011","Westdeutschland","7714","0.492350344070847","0.484514664684683","0.500186023457011"
"Grosse Sorgen","2011","Ostdeutschland","1833","","",""
"Grosse Sorgen","2011","Westdeutschland","4854","0.31559665449965","0.308312490017922","0.322880818981377"
"Keine Sorgen","2011","Ostdeutschland","721","0.143552992669765","0.133673681756182","0.153432303583347"
"Keine Sorgen","2011","Westdeutschland","3070","0.192053001429504","0.185879103119324","0.198226899739683"
"Einige Sorgen","2012","Ostdeutschland","2298","","",""
"Einige Sorgen","2012","Westdeutschland","7711","0.491760272516998","0.483903863083945","0.49961668195005"
