"plh0040","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1994","(Fach-)Abitur","Ländlicher Raum","89","0.399032330574629","0.334175513657521","0.463889147491738"
"Einige Sorgen","1994","(Fach-)Abitur","Städtischer Raum","355","0.519995403521511","0.482985195897679","0.557005611145343"
"Einige Sorgen","1994","(noch) kein Abschluss","Ländlicher Raum","77","0.462386847714626","0.387217216891172","0.537556478538079"
"Einige Sorgen","1994","(noch) kein Abschluss","Städtischer Raum","279","0.412514454275836","0.375266278408789","0.449762630142883"
"Einige Sorgen","1994","AkademikerIn","Ländlicher Raum","182","0.297030602840885","0.261062208242014","0.332998997439755"
"Einige Sorgen","1994","AkademikerIn","Städtischer Raum","442","0.454231272908311","0.423809589487912","0.48465295632871"
"Einige Sorgen","1994","Hauptschule","Ländlicher Raum","655","0.340493193552581","0.319761333754623","0.361225053350538"
"Einige Sorgen","1994","Hauptschule","Städtischer Raum","1449","0.344992216581485","0.330351967748409","0.359632465414561"
"Einige Sorgen","1994","Realschule","Ländlicher Raum","486","0.400559226483118","0.374104888626435","0.427013564339802"
"Einige Sorgen","1994","Realschule","Städtischer Raum","700","0.41291922664852","0.389677898546542","0.436160554750498"
"Grosse Sorgen","1994","(Fach-)Abitur","Ländlicher Raum","117","0.531666616571252","0.465578513350523","0.597754719791981"
"Grosse Sorgen","1994","(Fach-)Abitur","Städtischer Raum","295","0.412292398947617","0.375826880800601","0.448757917094632"
"Grosse Sorgen","1994","(noch) kein Abschluss","Ländlicher Raum","70","0.401106517725085","0.327212481085107","0.475000554365063"
"Grosse Sorgen","1994","(noch) kein Abschluss","Städtischer Raum","325","0.484677302514479","0.446863286156183","0.522491318872775"
"Grosse Sorgen","1994","AkademikerIn","Ländlicher Raum","421","0.664820709990617","0.627663499343438","0.701977920637795"
"Grosse Sorgen","1994","AkademikerIn","Städtischer Raum","530","0.470380331748646","0.439884040042006","0.500876623455286"
"Grosse Sorgen","1994","Hauptschule","Ländlicher Raum","1292","0.634104046286204","0.613030701615492","0.655177390956916"
"Grosse Sorgen","1994","Hauptschule","Städtischer Raum","2439","0.621899450573729","0.606965169520553","0.636833731626904"
"Grosse Sorgen","1994","Realschule","Ländlicher Raum","803","0.578983194225612","0.55232853829559","0.605637850155634"
"Grosse Sorgen","1994","Realschule","Städtischer Raum","968","0.555921102425853","0.532467146304362","0.579375058547345"
"Keine Sorgen","1994","(Fach-)Abitur","Ländlicher Raum","13","","",""
"Keine Sorgen","1994","(Fach-)Abitur","Städtischer Raum","50","0.0677121975308722","0.0490995768602857","0.0863248182014587"
"Keine Sorgen","1994","(noch) kein Abschluss","Ländlicher Raum","22","","",""
"Keine Sorgen","1994","(noch) kein Abschluss","Städtischer Raum","67","0.102808243209685","0.0798285917512064","0.125787894668163"
"Keine Sorgen","1994","AkademikerIn","Ländlicher Raum","17","","",""
"Keine Sorgen","1994","AkademikerIn","Städtischer Raum","57","0.075388395343043","0.0592569855734816","0.0915198051126044"
"Keine Sorgen","1994","Hauptschule","Ländlicher Raum","60","0.0254027601612152","0.0185189727896264","0.0322865475328041"
"Keine Sorgen","1994","Hauptschule","Städtischer Raum","162","0.0331083328447864","0.0275979960443595","0.0386186696452133"
"Keine Sorgen","1994","Realschule","Ländlicher Raum","29","","",""
"Keine Sorgen","1994","Realschule","Städtischer Raum","56","0.0311596709256267","0.0229580065039917","0.0393613353472617"
"Einige Sorgen","1995","(Fach-)Abitur","Ländlicher Raum","117","0.453691845188943","0.392101794922848","0.515281895455038"
