"plh0040","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1994","16-34 Jahre alt","(Fach-)Abitur","272","0.382437793631394","0.345134682831811","0.419740904430976"
"Grosse Sorgen","1994","16-34 Jahre alt","(noch) kein Abschluss","169","0.432483700258284","0.382996627188119","0.481970773328448"
"Grosse Sorgen","1994","16-34 Jahre alt","AkademikerInnen","187","0.387826702889689","0.341060069370005","0.434593336409373"
"Grosse Sorgen","1994","16-34 Jahre alt","Hauptschulabschluss","721","0.484374273235887","0.458748274158262","0.510000272313511"
"Grosse Sorgen","1994","16-34 Jahre alt","Realschulabschluss","910","0.504683128786885","0.480667612587978","0.528698644985792"
"Grosse Sorgen","1994","35-65 Jahre alt","(Fach-)Abitur","117","0.508661537292574","0.444470416064485","0.572852658520664"
"Grosse Sorgen","1994","35-65 Jahre alt","(noch) kein Abschluss","216","0.520570080161199","0.473296160434706","0.567843999887692"
"Grosse Sorgen","1994","35-65 Jahre alt","AkademikerInnen","668","0.552465248548522","0.523134076391309","0.581796420705735"
"Grosse Sorgen","1994","35-65 Jahre alt","Hauptschulabschluss","2248","0.637630071629436","0.621797713753081","0.653462429505791"
"Grosse Sorgen","1994","35-65 Jahre alt","Realschulabschluss","733","0.577862739205648","0.549918218972443","0.605807259438853"
"Grosse Sorgen","1994","66 und älter","(Fach-)Abitur","30","0.732258213811317","0.601426823390277","0.863089604232357"
"Grosse Sorgen","1994","66 und älter","(noch) kein Abschluss","","","",""
"Grosse Sorgen","1994","66 und älter","AkademikerInnen","98","0.716819638172311","0.639667324072193","0.793971952272429"
"Grosse Sorgen","1994","66 und älter","Hauptschulabschluss","784","0.695416417986149","0.668169428215704","0.722663407756594"
"Grosse Sorgen","1994","66 und älter","Realschulabschluss","134","0.730410674694141","0.666979308102834","0.793842041285449"
"Einige Sorgen","1994","16-34 Jahre alt","(Fach-)Abitur","327","0.531197944590702","0.492893670209672","0.569502218971733"
"Einige Sorgen","1994","16-34 Jahre alt","(noch) kein Abschluss","176","0.451454230787859","0.401745688810515","0.501162772765203"
"Einige Sorgen","1994","16-34 Jahre alt","AkademikerInnen","201","0.501655664643336","0.453666003115099","0.549645326171572"
"Einige Sorgen","1994","16-34 Jahre alt","Hauptschulabschluss","650","0.461926014484329","0.436361933100533","0.487490095868126"
"Einige Sorgen","1994","16-34 Jahre alt","Realschulabschluss","695","0.456048190190698","0.432124589035205","0.47997179134619"
"Einige Sorgen","1994","35-65 Jahre alt","(Fach-)Abitur","105","0.449072231118023","0.385205371450242","0.512939090785805"
"Einige Sorgen","1994","35-65 Jahre alt","(noch) kein Abschluss","167","0.373167667058486","0.327401225791672","0.4189341083253"
"Einige Sorgen","1994","35-65 Jahre alt","AkademikerInnen","395","0.394780586226954","0.365947052347901","0.423614120106008"
"Einige Sorgen","1994","35-65 Jahre alt","Hauptschulabschluss","1191","0.337708078690029","0.322131194846114","0.353284962533945"
