year,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,,,,,,,,,,,,
1984,Tenant,3740,214.21568976421236,212.63598702863953,215.79539249978518,146.0,196.0,261.0,10.0,433.5,196.0,188.0,198.0
1985,Owner,,,,,,,,,,,,
1985,Tenant,3303,219.6548014445738,217.91408107197148,221.3955218171761,152.0,204.0,268.0,1.0,442.0,204.0,204.0,209.05
1986,Owner,,,,,,,,,,,,
1986,Tenant,3098,224.58441670799522,222.76619483706284,226.4026385789276,153.0,204.0,279.5008982035856,10.0,469.25224550896405,204.0,201.0,204.0
1987,Owner,,,,,,,,,,,,
1987,Tenant,3042,229.9903555998579,228.1017349746526,231.8789762250632,153.0,213.0,281.0,10.0,473.0,213.0,209.0,221.025
1988,Owner,,,,,,,,,,,,
1988,Tenant,2892,238.78342291102865,236.8246696443291,240.7421761777282,163.0,222.0,296.0,0.0,495.5,222.0,214.0,230.0
1989,Owner,,,,,,,,,,,,
1989,Tenant,2833,247.50282014404792,245.48300657773038,249.52263371036545,170.40027387340672,230.0,306.0,0.0,509.3995891898899,230.0,228.0,236.0
1990,Owner,,,,,,,,,,,,
1990,Tenant,4229,201.9199163215949,199.84344894833438,203.99638369485544,92.0,204.0,281.0,0.0,564.5,204.0,204.0,209.0
1991,Owner,,,,,,,,,,,,
1991,Tenant,4109,205.30453324759912,203.15322298599406,207.4558435092042,97.0,203.0,285.0,0.0,567.0,203.0,202.0,211.025
1992,Owner,,,,,,,,,,,,
1992,Tenant,4100,237.47106867028438,235.42300142178453,239.51913591878423,135.0,214.0,306.0,0.0,562.5,214.0,205.975,224.0
1993,Owner,,,,,,,,,,,,
1993,Tenant,4055,270.58749801100083,268.4613893514299,272.7136066705718,178.0,242.7616389298511,332.0,0.0,563.0,243.0,237.0,250.0
1994,Owner,,,,,,,,,,,,
1994,Tenant,3979,300.1767847913902,297.7614276598176,302.5921419229628,196.0,269.0,367.0,3.0,623.5,269.0,262.0,274.0
1995,Owner,,,,,,,,,,,,
1995,Tenant,4127,317.86227296344805,315.4131185288929,320.3114273980032,208.99992466816315,282.0,388.0,10.0,656.5001129977553,282.0,270.975,285.025
1996,Owner,,,,,,,,,,,,
1996,Tenant,4034,339.1970643988053,336.6810641080391,341.7130646895715,230.0,306.0,409.0,0.0,677.5,306.0,303.0,312.0
1997,Owner,,,,,,,,,,,,
1997,Tenant,3900,356.96168830052346,354.322394617261,359.6009819837859,249.0,322.0,434.0,17.0,711.5,322.0,312.0,328.0
1998,Owner,,,,,,,,,,,,
1998,Tenant,4296,374.4001319920694,371.9106108099797,376.88965317415915,261.0,344.0,452.0,8.0,738.5,344.0,336.0,351.0
1999,Owner,,,,,,,,,,,,
1999,Tenant,4076,384.8422852056151,382.2364724704285,387.4480979408017,269.0,354.0,464.0,16.0,756.5,354.0,351.0,361.0
2000,Owner,,,,,,,,,,,,
2000,Tenant,6769,390.2098074169134,388.1369252839597,392.2826895498671,275.0,357.0,471.0,10.0,765.0,357.0,352.0,361.0
2001,Owner,,,,,,,,,,,,
2001,Tenant,6084,399.9439163064353,397.71152971868014,402.1763028941905,281.0,365.0,480.0,14.0,778.5,365.0,358.0,371.025
2002,Owner,,,,,,,,,,,,
2002,Tenant,6006,404.13374239116837,401.8747753125204,406.39270946981634,286.47739739118083,370.0,485.0,23.0,782.7839039132288,370.0,365.0,375.0
2003,Owner,,,,,,,,,,,,
2003,Tenant,5790,413.3789009538205,411.0471624344844,415.7106394731566,294.0,375.0,500.0,15.0,809.0,375.0,370.0,380.0
2004,Owner,,,,,,,,,,,,
2004,Tenant,5620,422.4784288230122,420.03894830403596,424.9179093419885,300.0,390.0,504.0,16.0,810.0,390.0,385.0,400.0
2005,Owner,,,,,,,,,,,,
2005,Tenant,5451,428.2930201993902,425.71305303501356,430.8729873637668,300.0,388.0,510.0,50.0,825.0,388.0,381.0,395.025
2006,Owner,,,,,,,,,,,,
2006,Tenant,5885,428.6404324566314,426.1538934038067,431.1269715094561,300.0,390.0,510.0,30.0,825.0,390.0,382.0,394.025
2007,Owner,,,,,,,,,,,,
2007,Tenant,5455,434.3030546590274,431.5757163532293,437.03039296482547,305.0,395.0,510.0,37.0,817.5,395.0,390.0,400.0
2008,Owner,,,,,,,,,,,,
2008,Tenant,5098,440.64233407431124,437.79258383586915,443.4920843127533,310.0,400.0,520.0,20.0,835.0,400.0,392.975,406.025
2009,Owner,,,,,,,,,,,,
2009,Tenant,4784,447.6006361424259,444.6548775101363,450.5463947747155,315.0,405.0,525.0,11.0,840.0,405.0,399.975,410.0
2010,Owner,,,,,,,,,,,,
2010,Tenant,7078,453.85450411956504,451.54049201236126,456.1685162267688,320.0,413.0,540.0,20.0,870.0,413.0,406.0,420.0
2011,Owner,,,,,,,,,,,,
2011,Tenant,8432,455.4125200953316,453.28258993804576,457.54245025261747,320.1969822878848,415.0,545.4926486258504,7.0,883.4361481327987,415.0,409.975,420.0
2012,Owner,,,,,,,,,,,,
2012,Tenant,8267,463.30356060267786,461.0800311164294,465.52709008892634,320.0,423.0,550.0,30.0,895.0,423.0,416.0,431.0
2013,Owner,,,,,,,,,,,,
