year,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No answer / don't know,3740,214.21569,210.95552,217.47586,146.00000,196.00000,261.00000,10.00000,433.50000,,,
1985,Urban regions,2822,224.18420,220.21108,228.15731,153.00000,204.00000,275.00000,10.00000,458.00000,,,
1985,Rural regions,481,197.57510,189.52098,205.62921,141.21474,189.00000,240.65551,1.00000,389.81668,,,
1986,Urban regions,2654,230.90834,226.75579,235.06089,153.00000,209.00000,283.00000,10.00000,478.00000,,,
1986,Rural regions,444,192.59569,184.61955,200.57183,138.00000,178.00000,242.55013,15.00000,399.37532,,,
1987,Urban regions,2594,235.05159,230.74366,239.35952,158.00000,217.00000,286.00000,10.00000,478.00000,,,
1987,Rural regions,448,204.38482,195.71302,213.05662,146.96636,194.00000,255.00000,25.00000,417.05046,,,
1988,Urban regions,2468,243.00956,238.59084,247.42828,164.00000,230.00000,301.00000,0.00000,506.50000,,,
1988,Rural regions,424,216.52623,206.76605,226.28641,153.00000,203.08039,255.00000,5.00000,408.00000,,,
1989,Urban regions,2421,252.07458,247.44949,256.69967,173.00000,231.00000,306.00000,0.00000,505.50000,,,
1989,Rural regions,412,223.38602,214.39479,232.37724,158.66267,204.00000,267.41151,25.00000,430.53476,,,
1990,No answer / don't know,43,30.53857,26.84170,34.23544,23.00000,26.86352,35.00000,17.00000,53.00000,,,
1990,Urban regions,2989,228.71939,223.77447,233.66431,148.00000,222.00000,306.00000,0.00000,543.00000,,,
1990,Rural regions,1197,124.03575,117.00726,131.06425,21.00000,51.00000,210.00000,0.00000,493.50000,,,
1991,No answer / don't know,42,46.21295,19.35050,73.07539,21.88060,27.82292,37.00000,12.00000,59.67910,,,
1991,Urban regions,2928,232.98595,227.90021,238.07168,153.00000,225.00000,306.00000,0.00000,535.50000,,,
1991,Rural regions,1139,126.72919,119.28754,134.17083,23.00000,75.37269,205.00000,3.00000,478.00000,,,
1992,No answer / don't know,56,169.41561,132.58041,206.25082,85.79617,121.00000,186.83544,25.00000,338.39434,,,
1992,Urban regions,2926,258.69858,253.72417,263.67299,164.00000,234.00000,324.79042,0.00000,565.97606,,,
1992,Rural regions,1118,176.85061,169.76883,183.93240,97.00000,141.92193,230.00000,0.00000,429.50000,,,
1993,Urban regions,2905,288.87724,283.57217,294.18230,194.00000,255.00000,355.00000,0.00000,596.50000,,,
1993,Rural regions,1150,219.02971,212.18514,225.87427,147.00000,192.00000,265.03541,2.00000,442.08853,,,
1994,Urban regions,2865,318.78487,312.70735,324.86239,214.00000,286.30027,385.46945,3.00000,642.67362,,,
1994,Rural regions,1114,246.81995,239.22093,254.41896,166.00000,219.00000,299.00000,5.00000,498.50000,,,
1995,Urban regions,2958,335.97714,329.90762,342.04667,230.00000,305.00000,407.00000,10.00000,672.50000,,,
1995,Rural regions,1169,265.71500,257.37155,274.05845,172.98391,237.00000,318.02557,21.00000,535.58805,,,
