year,rentown,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,Owner,West,,,,,,,,,,,,
1984,Tenant,West,3740,214.21568976421236,209.79047183963655,217.78943882603556,146.0,196.0,261.0,10.0,433.5,196.0,188.0,198.0
1985,Owner,West,,,,,,,,,,,,
1985,Tenant,West,3303,219.65480144457385,214.4442939813508,223.42231968317907,152.0,204.0,268.0,1.0,442.0,204.0,204.0,209.0
1986,Owner,West,,,,,,,,,,,,
1986,Tenant,West,3098,224.58441670799522,219.9811990199669,229.7157647179854,153.0,204.0,279.5008982035856,10.0,469.25224550896405,204.0,199.0,204.0
1987,Owner,West,,,,,,,,,,,,
1987,Tenant,West,3042,229.9903555998579,224.99303186838262,234.97761491548238,153.0,213.0,281.0,10.0,473.0,213.0,209.0,222.0
1988,Owner,West,,,,,,,,,,,,
1988,Tenant,West,2892,238.78342291102865,234.4821249807438,243.84656818632504,163.0,222.0,296.0,0.0,495.5,222.0,214.0,230.0
1989,Owner,West,,,,,,,,,,,,
1989,Tenant,West,2833,247.50282014404794,242.93287554316944,251.95994244663316,170.64284859528794,230.0,306.0,0.0,509.03572710706806,230.0,227.0,236.0
1990,Owner,West,,,,,,,,,,,,
1990,Owner,East,,,,,,,,,,,,
1990,Tenant,West,2753,255.2959909498939,249.5209924686153,260.877405323916,178.0,237.0,306.0,0.0,498.0,237.0,232.0,244.0
1990,Tenant,East,1476,23.750634620930594,23.187603649960717,24.33527679029169,16.0,23.0,30.0,0.0,51.0,23.0,23.0,25.0
1991,Owner,West,,,,,,,,,,,,
1991,Owner,East,,,,,,,,,,,,
1991,Tenant,West,2766,258.10656639654474,252.43338870700495,262.7890535123761,178.0,234.61257775053133,307.0,0.0,500.5,235.0,229.0,240.0
1991,Tenant,East,1343,27.273673771995504,26.45493593495906,28.035535829895732,18.0,25.0,33.0,2.0,55.5,25.0,24.0,26.0
1992,Owner,West,,,,,,,,,,,,
1992,Owner,East,,,,,,,,,,,,
1992,Tenant,West,2772,275.80501655327555,270.10309711846236,281.91640382859117,189.0,250.0,332.0,0.0,546.5,250.0,245.0,259.0
1992,Tenant,East,1328,109.35191725757215,106.8953872847098,112.21274064901303,80.0,102.0,129.0,6.5,202.5,102.0,99.0,104.0
1993,Owner,West,,,,,,,,,,,,
1993,Owner,East,,,,,,,,,,,,
1993,Tenant,West,2776,299.4485792771874,293.01261541859054,306.2815560475712,204.0,270.0,359.03765774149923,0.0,591.5941443537481,270.0,262.975,281.0
1993,Tenant,East,1279,173.46676009695472,169.14690703582278,178.0166970526582,129.0,165.0,204.0,16.5,316.5,165.0,161.0,168.025
1994,Owner,West,,,,,,,,,,,,
1994,Owner,East,,,,,,,,,,,,
1994,Tenant,West,2735,331.15517714529085,323.1004084714797,338.63770224758656,229.0,304.0,398.0,3.0,651.5,304.0,302.0,314.05
1994,Tenant,East,1244,194.68023773579017,187.83842281568195,199.9596494062571,146.0,183.0,230.0,20.0,356.0,183.0,177.0,187.0
1995,Owner,West,,,,,,,,,,,,
1995,Owner,East,,,,,,,,,,,,
1995,Tenant,West,2925,346.7491211429856,340.66723528185713,354.9960146996416,240.0,312.0,412.0,10.0,670.0,312.0,304.0,318.0
1995,Tenant,East,1202,216.18380888105514,208.05733535032448,223.7653655785397,154.0,198.65911590476398,251.0,12.0,396.5,199.0,193.975,205.0
1996,Owner,West,,,,,,,,,,,,
1996,Owner,East,,,,,,,,,,,,
1996,Tenant,West,2843,363.2301653799832,355.18794179485957,370.7943431953684,255.0,331.0,438.2038149895393,21.0,713.0095374738482,331.0,326.0,344.0
1996,Tenant,East,1191,254.46927396498228,245.56537973403516,263.03472734115405,180.03015448603688,236.0,298.0,3.075386215092209,474.95476827094467,236.0,227.0,242.0
1997,Owner,West,,,,,,,,,,,,
1997,Owner,East,,,,,,,,,,,,
1997,Tenant,West,2738,381.47511628072425,373.98684486256775,390.740720637822,266.0,352.0,459.0,25.0,748.5,352.0,346.0,362.0
1997,Tenant,East,1162,270.9173408218264,262.1094948790738,280.14382318610564,189.0,256.0,316.57133814804337,17.0,507.92834537010845,256.0,247.97500000000002,263.025
1998,Owner,West,,,,,,,,,,,,
1998,Owner,East,,,,,,,,,,,,
1998,Tenant,West,3088,394.78792309735036,386.6709026264754,400.65122730069766,280.0,365.0,473.0,8.0,762.5,365.0,357.0,372.0
1998,Tenant,East,1208,299.4347920886505,290.8323766408886,307.1161075422485,218.78404687427036,278.7507335910172,358.22855513887924,17.0,567.3953175357926,279.0,271.0,287.0
1999,Owner,West,,,,,,,,,,,,
1999,Owner,East,,,,,,,,,,,,
1999,Tenant,West,2902,404.04485386175133,395.10373304222395,411.74095326275324,285.0,372.0,486.0,16.0,787.5,372.0,362.975,381.0
1999,Tenant,East,1174,314.23021762585256,305.5791176163539,323.4690531440563,230.0,290.2165887392705,373.0,21.0,587.5,290.0,283.975,298.025
2000,Owner,West,,,,,,,,,,,,
2000,Owner,East,,,,,,,,,,,,
2000,Tenant,West,4959,410.8378493568974,404.38276710978073,416.83970743254446,290.0,378.0,496.0,10.0,805.0,378.0,373.0,384.0
2000,Tenant,East,1810,314.82834100665156,307.4694742431681,322.70305152800466,233.0,295.90615008764615,374.0,21.5,585.5,296.0,289.0,302.0
2001,Owner,West,,,,,,,,,,,,
2001,Owner,East,,,,,,,,,,,,
2001,Tenant,West,4441,419.7915571250501,413.6314076369125,426.23264625814767,297.0,383.0,501.0,14.0,807.0,383.0,375.0,386.0
2001,Tenant,East,1643,327.6559812502022,319.96711579395145,335.467544195473,240.0,304.0,390.0,15.0,615.0,304.0,299.0,310.025
2002,Owner,West,,,,,,,,,,,,
2002,Owner,East,,,,,,,,,,,,
2002,Tenant,West,4385,424.55078911831373,418.06851570861875,431.2747622372034,303.52264044052794,390.0,509.5627008544832,25.0,818.6227914754161,390.0,380.0,397.025
2002,Tenant,East,1621,331.2640756458379,322.5158020648442,338.8052974725416,246.0,310.0,391.0,28.5,608.5,310.0,300.0,318.0
2003,Owner,West,,,,,,,,,,,,
2003,Owner,East,,,,,,,,,,,,
2003,Tenant,West,4196,434.4701085870539,428.1292717856575,441.80471721199615,310.0,400.0,522.0,15.0,840.0,400.0,396.975,409.0
