"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1997","Ländlicher Raum","Westdeutschland","343.14","313.5","451","168","241","409","543","951","326.31","359.97","25","2096","317","345"
"1997","Städtischer Raum","Ostdeutschland","281.12","261","515","143","199","326","429","796","269.81","292.43","48","1329","268","286"
"1997","Städtischer Raum","Westdeutschland","388.56","355.5","2286","209","275","464","588","996","381.31","395.81","41","2479","367","383"
"1998","Ländlicher Raum","Ostdeutschland","293.22","272.5","693","161","214","345","460","721","283.77","302.67","17","979","273","290"
"1998","Ländlicher Raum","Westdeutschland","358.12","325","483","178","255","434","562","997","342.15","374.09","29","2246","332","367"
"1998","Städtischer Raum","Ostdeutschland","307.93","287.5","515","155","227","374","458","735","296.63","319.23","61","1025","290","312"
"1998","Städtischer Raum","Westdeutschland","401.51","370.5","2605","217","282","485","614","1016","394.82","408.2","8","2045","376","388"
"1999","Ländlicher Raum","Ostdeutschland","310.38","283.5","674","179","229","362","470","802","300.66","320.1","72","999","289","302"
"1999","Ländlicher Raum","Westdeutschland","369.61","337.5","469","188","265","460","587","808","353.6","385.62","16","2136","338","373"
"1999","Städtischer Raum","Ostdeutschland","319.6","304.5","500","167","232","394","470","754","307.84","331.36","21","1099","306","327"
"1999","Städtischer Raum","Westdeutschland","410.6","377.5","2433","224","291","491","638","1022","403.58","417.62","26","2111","383","394"
"2000","Ländlicher Raum","Ostdeutschland","302.78","285.5","1023","165","228","357","450","715","295.1","310.46","16","945","292","306"
"2000","Ländlicher Raum","Westdeutschland","365.9","345.5","859","182","260","447","561","909","354.36","377.44","10","2045","352","369"
"2000","Städtischer Raum","Ostdeutschland","331.03","309","787","183","240","395","497","738","321.46","340.6","40","1227","310","327"
"2000","Städtischer Raum","Westdeutschland","420.03","383.5","4100","230","296","507","644","1045","414.25","425.81","26","2147","389","401"
"2001","Ländlicher Raum","Ostdeutschland","314.76","293.5","916","173","237","371","476","776","306.15","323.37","15","1022","297","317"
"2001","Ländlicher Raum","Westdeutschland","377.49","356.5","734","208","275","460","566","919","364.89","390.09","51","2045","358","383"
"2001","Städtischer Raum","Ostdeutschland","344.16","317.5","727","192","250","409","527","876","333.81","354.51","51","1149","317","337"
"2001","Städtischer Raum","Westdeutschland","428.22","391.5","3707","234","304","511","662","1098","422.1","434.34","14","2199","398","409"
"2002","Ländlicher Raum","Ostdeutschland","316.97","296.5","909","173","237","370","478","815","307.84","326.1","23","990","302","320"
"2002","Ländlicher Raum","Westdeutschland","385.8","359","729","215","280","475","579","900","371.86","399.74","50","2000","360","385"
