year,bula_h,quintil_oecd_hh,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Lower Saxony,1st Quintile,No,0.86684,89,89,0.79586,0.93783
1996,Lower Saxony,2nd Quintile,No,0.90475,82,82,0.84082,0.96868
1996,Lower Saxony,3rd Quintile,No,0.89593,110,110,0.83861,0.95326
1996,Lower Saxony,4th Quintile,No,0.86675,101,101,0.80014,0.93336
1996,Lower Saxony,5th Quintile,No,0.91089,88,88,0.85102,0.97076
1996,North Rhine-Westphalia,1st Quintile,No,0.89725,255,255,0.85991,0.93459
1996,North Rhine-Westphalia,2nd Quintile,Yes,0.11475,32,271,0.07673,0.15277
1996,North Rhine-Westphalia,2nd Quintile,No,0.88525,239,271,0.84723,0.92327
1996,North Rhine-Westphalia,3rd Quintile,No,0.87913,202,202,0.83407,0.92420
1996,North Rhine-Westphalia,4th Quintile,No,0.89354,226,226,0.85324,0.93384
1996,North Rhine-Westphalia,5th Quintile,No,0.89972,225,225,0.86039,0.93906
1996,Hesse,1st Quintile,No,0.90536,100,100,0.84769,0.96302
1996,Hesse,2nd Quintile,No,0.95866,73,73,0.91268,1.00464
1996,Hesse,3rd Quintile,No,0.87746,81,81,0.80560,0.94932
1996,Hesse,4th Quintile,No,0.80230,75,75,0.71156,0.89304
1996,Hesse,5th Quintile,No,0.86815,88,88,0.79706,0.93925
1996,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.88980,65,65,0.81308,0.96652
1996,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.87992,54,54,0.79241,0.96743
1996,"Rhineland-Palatinate, Saarland",3rd Quintile,No,0.85822,59,59,0.76844,0.94799
1996,"Rhineland-Palatinate, Saarland",4th Quintile,No,0.73428,61,61,0.62251,0.84605
1996,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.82653,49,49,0.71941,0.93365
1996,Baden-Wuerttemberg,1st Quintile,No,0.95070,149,149,0.91582,0.98558
1996,Baden-Wuerttemberg,2nd Quintile,No,0.89113,152,152,0.84145,0.94081
1996,Baden-Wuerttemberg,3rd Quintile,No,0.89082,145,145,0.83988,0.94176
1996,Baden-Wuerttemberg,4th Quintile,No,0.85198,160,160,0.79678,0.90718
1996,Baden-Wuerttemberg,5th Quintile,No,0.86602,140,140,0.80939,0.92264
1996,Bavaria,1st Quintile,No,0.86138,132,132,0.80220,0.92055
1996,Bavaria,2nd Quintile,No,0.89353,130,130,0.84030,0.94676
1996,Bavaria,3rd Quintile,No,0.89353,160,160,0.84558,0.94147
1996,Bavaria,4th Quintile,Yes,0.14516,32,183,0.09398,0.19634
1996,Bavaria,4th Quintile,No,0.85484,151,183,0.80366,0.90602
1996,Bavaria,5th Quintile,No,0.87954,169,169,0.83032,0.92876
1996,Berlin,1st Quintile,No,0.86889,56,56,0.77969,0.95809
1996,Berlin,2nd Quintile,No,0.80067,40,40,0.67529,0.92606
1996,Berlin,3rd Quintile,No,0.79607,52,52,0.68549,0.90665
1996,Berlin,4th Quintile,No,0.83449,57,57,0.73715,0.93182
