year,bula_h,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Berlin,Tenant,Yes,0.14163,55,421,0.10828,0.17497
2001,Berlin,Tenant,No,0.85837,366,421,0.82503,0.89172
2001,Brandenburg,Owner,Yes,0.44571,87,200,0.37665,0.51477
2001,Brandenburg,Owner,No,0.55429,113,200,0.48523,0.62335
2001,Brandenburg,Tenant,Yes,0.17766,54,300,0.13434,0.22099
2001,Brandenburg,Tenant,No,0.82234,246,300,0.77901,0.86566
2001,Mecklenburg-Western Pomerania,Owner,Yes,0.36712,42,102,0.27312,0.46113
2001,Mecklenburg-Western Pomerania,Owner,No,0.63288,60,102,0.53887,0.72688
2001,Mecklenburg-Western Pomerania,Tenant,No,0.89816,166,166,0.85201,0.94430
2001,Saxony,Owner,Yes,0.36187,115,309,0.30821,0.41554
2001,Saxony,Owner,No,0.63813,194,309,0.58446,0.69179
2001,Saxony,Tenant,Yes,0.13503,77,540,0.10618,0.16389
2001,Saxony,Tenant,No,0.86497,463,540,0.83611,0.89382
2001,Saxony-Anhalt,Owner,Yes,0.34051,87,233,0.27953,0.40149
2001,Saxony-Anhalt,Owner,No,0.65949,146,233,0.59851,0.72047
2001,Saxony-Anhalt,Tenant,Yes,0.12521,33,272,0.08581,0.16462
2001,Saxony-Anhalt,Tenant,No,0.87479,239,272,0.83538,0.91419
2001,Thuringa,Owner,Yes,0.34725,86,242,0.28714,0.40736
2001,Thuringa,Owner,No,0.65275,156,242,0.59264,0.71286
2001,Thuringa,Tenant,Yes,0.14946,40,252,0.10535,0.19357
2001,Thuringa,Tenant,No,0.85054,212,252,0.80643,0.89465
2006,Schleswig-Holstein,Owner,Yes,0.21258,44,215,0.15777,0.26740
2006,Schleswig-Holstein,Owner,No,0.78742,171,215,0.73260,0.84223
2006,Schleswig-Holstein,Tenant,No,0.85199,147,147,0.79439,0.90960
2006,Hamburg,Owner,No,0.94497,43,43,0.87600,1.01394
2006,Hamburg,Tenant,No,0.90208,132,132,0.85119,0.95298
2006,Lower Saxony,Owner,Yes,0.15325,115,639,0.12530,0.18121
2006,Lower Saxony,Owner,No,0.84675,524,639,0.81879,0.87470
2006,Lower Saxony,Tenant,Yes,0.12406,51,435,0.09304,0.15507
