,Unnamed: 0,year,quintil_oecd_hh,regtyp,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,1st Quintile,Urban regions,Yes,0.09915,85,6626,0.08506,0.11459
1,1,1996,1st Quintile,Urban regions,No,0.90085,799,6626,0.84072,0.95391
2,2,1996,1st Quintile,Rural regions,Yes,0.16508,84,6626,0.14444,0.18655
3,3,1996,1st Quintile,Rural regions,No,0.83492,411,6626,0.76838,0.89981
4,4,1996,2nd Quintile,Urban regions,Yes,0.09903,99,6626,0.08932,0.11502
5,5,1996,2nd Quintile,Urban regions,No,0.90097,808,6626,0.84572,0.95171
6,6,1996,2nd Quintile,Rural regions,Yes,0.17673,108,6626,0.15725,0.19992
7,7,1996,2nd Quintile,Rural regions,No,0.82327,436,6626,0.76202,0.88352
8,8,1996,3rd Quintile,Urban regions,Yes,0.1281,102,6626,0.1104,0.14403
9,9,1996,3rd Quintile,Urban regions,No,0.8719,743,6626,0.8274,0.92329
10,10,1996,3rd Quintile,Rural regions,Yes,0.16913,114,6626,0.14813,0.18755
11,11,1996,3rd Quintile,Rural regions,No,0.83087,428,6626,0.77138,0.90181
12,12,1996,4th Quintile,Urban regions,Yes,0.13579,123,6626,0.12391,0.14901
13,13,1996,4th Quintile,Urban regions,No,0.86421,800,6626,0.82109,0.90631
14,14,1996,4th Quintile,Rural regions,Yes,0.18578,87,6626,0.15761,0.21737
15,15,1996,4th Quintile,Rural regions,No,0.81422,294,6626,0.7414,0.88809
16,16,1996,5th Quintile,Urban regions,Yes,0.10777,97,6626,0.09389,0.12195
17,17,1996,5th Quintile,Urban regions,No,0.89223,737,6626,0.85117,0.93111
18,18,1996,5th Quintile,Rural regions,Yes,0.14732,46,6626,0.12146,0.17687
19,19,1996,5th Quintile,Rural regions,No,0.85268,225,6626,0.77569,0.93058
20,20,2001,1st Quintile,Urban regions,Yes,0.12096,179,11678,0.11019,0.13271
21,21,2001,1st Quintile,Urban regions,No,0.87904,1235,11678,0.84428,0.91178
22,22,2001,1st Quintile,Rural regions,Yes,0.21246,175,11678,0.19211,0.23073
23,23,2001,1st Quintile,Rural regions,No,0.78754,624,11678,0.75281,0.8272
24,24,2001,2nd Quintile,Urban regions,Yes,0.12448,208,11678,0.1157,0.13324
25,25,2001,2nd Quintile,Urban regions,No,0.87552,1302,11678,0.84151,0.90713
26,26,2001,2nd Quintile,Rural regions,Yes,0.19318,221,11678,0.17879,0.20791
27,27,2001,2nd Quintile,Rural regions,No,0.80682,731,11678,0.76544,0.84475
28,28,2001,3rd Quintile,Urban regions,Yes,0.12305,217,11678,0.11222,0.13372
29,29,2001,3rd Quintile,Urban regions,No,0.87695,1349,11678,0.84848,0.90512
30,30,2001,3rd Quintile,Rural regions,Yes,0.21768,215,11678,0.20308,0.23593
31,31,2001,3rd Quintile,Rural regions,No,0.78232,679,11678,0.74382,0.81419
32,32,2001,4th Quintile,Urban regions,Yes,0.13129,218,11678,0.12146,0.14365
33,33,2001,4th Quintile,Urban regions,No,0.86871,1393,11678,0.84029,0.89337
34,34,2001,4th Quintile,Rural regions,Yes,0.19814,179,11678,0.18149,0.21359
35,35,2001,4th Quintile,Rural regions,No,0.80186,578,11678,0.76415,0.85294
36,36,2001,5th Quintile,Urban regions,Yes,0.12687,225,11678,0.11617,0.13604
37,37,2001,5th Quintile,Urban regions,No,0.87313,1439,11678,0.84704,0.89762
38,38,2001,5th Quintile,Rural regions,Yes,0.20528,123,11678,0.18409,0.22387
39,39,2001,5th Quintile,Rural regions,No,0.79472,388,11678,0.74555,0.84272
40,40,2006,1st Quintile,Urban regions,Yes,0.11904,173,12259,0.10917,0.13133
41,41,2006,1st Quintile,Urban regions,No,0.88096,1147,12259,0.84572,0.91132
42,42,2006,1st Quintile,Rural regions,Yes,0.19959,160,12259,0.17939,0.2205
43,43,2006,1st Quintile,Rural regions,No,0.80041,601,12259,0.76344,0.84171
44,44,2006,2nd Quintile,Urban regions,Yes,0.13058,192,12259,0.11879,0.1453
45,45,2006,2nd Quintile,Urban regions,No,0.86942,1135,12259,0.83394,0.90746
46,46,2006,2nd Quintile,Rural regions,Yes,0.21543,219,12259,0.19669,0.23798
47,47,2006,2nd Quintile,Rural regions,No,0.78457,688,12259,0.74763,0.82496
48,48,2006,3rd Quintile,Urban regions,Yes,0.13571,222,12259,0.12354,0.14948
49,49,2006,3rd Quintile,Urban regions,No,0.86429,1279,12259,0.82965,0.9024
50,50,2006,3rd Quintile,Rural regions,Yes,0.21202,213,12259,0.19109,0.23651
51,51,2006,3rd Quintile,Rural regions,No,0.78798,694,12259,0.73929,0.83225
52,52,2006,4th Quintile,Urban regions,Yes,0.12443,241,12259,0.11278,0.13707
53,53,2006,4th Quintile,Urban regions,No,0.87557,1439,12259,0.8429,0.91237
54,54,2006,4th Quintile,Rural regions,Yes,0.1939,180,12259,0.17409,0.21659
55,55,2006,4th Quintile,Rural regions,No,0.8061,621,12259,0.75807,0.86106
56,56,2006,5th Quintile,Urban regions,Yes,0.11044,313,12259,0.09914,0.12168
57,57,2006,5th Quintile,Urban regions,No,0.88956,2001,12259,0.85847,0.92649
58,58,2006,5th Quintile,Rural regions,Yes,0.23499,180,12259,0.19513,0.2665
59,59,2006,5th Quintile,Rural regions,No,0.76501,561,12259,0.71794,0.8296
60,60,2011,1st Quintile,Urban regions,Yes,0.10068,181,12081,0.08856,0.11417
61,61,2011,1st Quintile,Urban regions,No,0.89932,1199,12081,0.86171,0.94436
62,62,2011,1st Quintile,Rural regions,Yes,0.16676,164,12081,0.13934,0.19529
63,63,2011,1st Quintile,Rural regions,No,0.83324,694,12081,0.77419,0.89071
64,64,2011,2nd Quintile,Urban regions,Yes,0.12914,197,12081,0.11193,0.15022
65,65,2011,2nd Quintile,Urban regions,No,0.87086,1149,12081,0.8178,0.91259
66,66,2011,2nd Quintile,Rural regions,Yes,0.19441,197,12081,0.17379,0.21953
