year,sampreg,pet_cat,proportion,n,lower_confidence,upper_confidence
1996,Westdeutschland,Nein,0.6335394359825064,6631,0.621941865860568,0.6451370061044448
1996,Ostdeutschland,Nein,0.22394812245513498,6631,0.21391385558583265,0.23398238932443732
1996,Westdeutschland,Ja,0.08927763534911778,6631,0.0824143682988224,0.09614090239941317
1996,Ostdeutschland,Ja,0.05323480621324084,6631,0.047831177037907326,0.05863843538857435
2001,Westdeutschland,Nein,0.6456335616438356,11680,0.6369588711033779,0.6543082521842932
2001,Ostdeutschland,Nein,0.18655821917808219,11680,0.1794933344313807,0.19362310392478366
2001,Westdeutschland,Ja,0.11095890410958904,11680,0.10526281666694698,0.11665499155223111
2001,Ostdeutschland,Ja,0.05684931506849315,11680,0.05264990958973277,0.061048720547253535
2006,Westdeutschland,Nein,0.6438646555238483,12265,0.6353899010208693,0.6523394100268273
2006,Ostdeutschland,Nein,0.18540562576437017,12265,0.17852774801493732,0.19228350351380302
2006,Westdeutschland,Ja,0.11740725642070933,12265,0.11171020760058398,0.12310430524083468
2006,Ostdeutschland,Ja,0.053322462291072154,12265,0.049346168827851214,0.05729875575429309
2011,Westdeutschland,Nein,0.6374544852697782,16603,0.6301419386759186,0.6447670318636378
2011,Ostdeutschland,Nein,0.18809996689837802,16603,0.18215556140949607,0.19404437238725997
2011,Westdeutschland,Ja,0.12322078781860311,16603,0.11822101927062989,0.12822055636657634
2011,Ostdeutschland,Ja,0.051224760013240646,16603,0.04787136723400568,0.05457815279247561
2016,Westdeutschland,Nein,0.653824639910502,16419,0.6465474880507082,0.6611017917702958
2016,Ostdeutschland,Nein,0.16445252412250036,16419,0.15878245233327076,0.17012259591172996
2016,Westdeutschland,Ja,0.1312403859600056,16419,0.12607543406186938,0.1364053378581418
2016,Ostdeutschland,Ja,0.05048245000699203,16419,0.04713353265292615,0.05383136736105791
2021,Westdeutschland,Nein,0.6442655571635311,12568,0.6358956931753187,0.6526354211517434
2021,Ostdeutschland,Nein,0.16579232995658466,12568,0.15929039991834348,0.17229425999482584
2021,Westdeutschland,Ja,0.13947178002894356,12568,0.13341490356741667,0.14552865649047045
2021,Ostdeutschland,Ja,0.050470332850940665,12568,0.046643007879292646,0.054297657822588684
