year,quintil_oecd_hh,sampreg,pet_cat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1996,,West,No,0.8980952380952381,6631,0.8908136686876803,0.9053768075027958
1996,,West,Yes,0.1019047619047619,6631,0.09462319249720409,0.10918633131231971
1996,,East,No,0.8196392785571143,6631,0.8103848646304076,0.8288936924838209
1996,,East,Yes,0.18036072144288579,6631,0.1711063075161791,0.18961513536959246
1996,,West,No,0.8788115715402658,6631,0.8709565927334973,0.8866665503470342
1996,,West,Yes,0.12118842845973417,6631,0.11333344965296575,0.1290434072665026
1996,,East,No,0.8079763663220089,6631,0.7984956046795934,0.8174571279644244
1996,,East,Yes,0.19202363367799113,6631,0.18254287203557562,0.20150439532040665
1996,,West,No,0.8708551483420593,6631,0.8627832056833101,0.8789270910008086
1996,,West,Yes,0.12914485165794065,6631,0.12107290899919143,0.13721679431668987
1996,,East,No,0.7677261613691931,6631,0.7575620392094388,0.7778902835289475
1996,,East,Yes,0.23227383863080683,6631,0.2221097164710525,0.24243796079056118
1996,,West,No,0.8645465253239105,6631,0.8563097765999885,0.8727832740478325
1996,,West,Yes,0.1354534746760895,6631,0.12721672595216754,0.14369022340001147
1996,,East,No,0.8502415458937198,6631,0.8416527280365442,0.8588303637508954
1996,,East,Yes,0.1497584541062802,6631,0.14116963624910467,0.15834727196345572
1996,,West,No,0.8571428571428571,6631,0.8487202965781241,0.8655654177075901
1996,,West,Yes,0.14285714285714285,6631,0.1344345822924098,0.1512797034218759
1996,,East,No,0.8478260869565217,6631,0.83918058826821,0.8564715856448335
1996,,East,Yes,0.15217391304347827,6631,0.14352841435516644,0.1608194117317901
2001,,West,No,0.8544407894736842,11680,0.8480449805297623,0.8608365984176061
2001,,West,Yes,0.1455592105263158,11680,0.13916340158239385,0.15195501947023773
2001,,East,No,0.8164794007490637,11680,0.8094591976712481,0.8234996038268793
2001,,East,Yes,0.18352059925093633,11680,0.17650039617312072,0.19054080232875195
2001,,West,No,0.8588687534321802,11680,0.852554679828378,0.8651828270359824
2001,,West,Yes,0.1411312465678199,11680,0.1348171729640177,0.14744532017162207
2001,,East,No,0.7554535017221584,11680,0.7476584456510518,0.7632485577932651
2001,,East,Yes,0.24454649827784156,11680,0.23675144220673489,0.2523415543489482
2001,,West,No,0.8482263134261339,11680,0.8417191942314071,0.8547334326208607
2001,,West,Yes,0.1517736865738662,11680,0.14526656737913946,0.15828080576859294
2001,,East,No,0.764277035236938,11680,0.7565793348651587,0.7719747356087173
2001,,East,Yes,0.23572296476306198,11680,0.22802526439128268,0.24342066513484129
2001,,West,No,0.8460803059273423,11680,0.8395356391572532,0.8526249726974314
2001,,West,Yes,0.15391969407265774,11680,0.14737502730256857,0.1604643608427469
2001,,East,No,0.7472766884531591,11680,0.7393953855510527,0.7551579913552655
2001,,East,Yes,0.25272331154684097,11680,0.24484200864473454,0.2606046144489474
2001,,West,No,0.8636056718433491,11680,0.8573813713888068,0.8698299722978915
2001,,West,Yes,0.13639432815665092,11680,0.1301700277021086,0.14261862861119326
2001,,East,No,0.7243589743589743,11680,0.7162552716322258,0.7324626770857229
2001,,East,Yes,0.27564102564102566,11680,0.2675373229142771,0.2837447283677742
2006,,West,No,0.8651079136690647,12265,0.8590621568639705,0.8711536704741589
2006,,West,Yes,0.13489208633093525,12265,0.12884632952584102,0.14093784313602947
2006,,East,No,0.8157389635316699,12265,0.8088775332743907,0.822600393788949
2006,,East,Yes,0.18426103646833014,12265,0.17739960621105105,0.19112246672560923
2006,,West,No,0.8365730741540677,12265,0.8300291833772926,0.8431169649308428
2006,,West,Yes,0.16342692584593232,12265,0.15688303506915724,0.1699708166227074
2006,,East,No,0.7716763005780347,12265,0.7642475569180582,0.7791050442380112
2006,,East,Yes,0.22832369942196531,12265,0.22089495576198884,0.2357524430819418
2006,,West,No,0.8351534061362454,12265,0.828586732801745,0.8417200794707459
2006,,West,Yes,0.16484659386375455,12265,0.15827992052925408,0.17141326719825503
2006,,East,No,0.7801778907242694,12265,0.7728487206466974,0.7875070608018413
2006,,East,Yes,0.21982210927573062,12265,0.2124929391981587,0.22715127935330254
2006,,West,No,0.8444040036396724,12265,0.8379890038574521,0.8508190034218927
2006,,West,Yes,0.15559599636032756,12265,0.14918099657810732,0.1620109961425478
2006,,East,No,0.770293609671848,12265,0.7628490848688714,0.7777381344748246
2006,,East,Yes,0.229706390328152,12265,0.22226186552517538,0.2371509151311286
2006,,West,No,0.8511970534069981,12265,0.8448984666394123,0.857495640174584
2006,,West,Yes,0.14880294659300183,12265,0.14250435982541593,0.15510153336058774
2006,,East,No,0.7306590257879656,12265,0.7228079189887207,0.7385101325872105
2006,,East,Yes,0.2693409742120344,12265,0.2614898674127894,0.2771920810112794
2011,,West,No,0.8537886872998933,16603,0.848414306022097,0.8591630685776896
2011,,West,Yes,0.14621131270010673,16603,0.1408369314223104,0.15158569397790306
2011,,East,No,0.8037383177570093,16603,0.7976969137024448,0.8097797218115739
2011,,East,Yes,0.19626168224299065,16603,0.19022027818842607,0.20230308629755522
2011,,West,No,0.8757396449704142,16603,0.8707218075276618,0.8807574824131666
2011,,West,Yes,0.1242603550295858,16603,0.11924251758683341,0.12927819247233818
2011,,East,No,0.8013816925734024,16603,0.7953130419700052,0.8074503431767996
2011,,East,Yes,0.19861830742659758,16603,0.19254965682320035,0.20468695802999481
2011,,West,No,0.8191044776119403,16603,0.8132492154346311,0.8249597397892494
2011,,West,Yes,0.1808955223880597,16603,0.17504026021075053,0.18675078456536887
