,Unnamed: 0,year,rentown,sampreg,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Owner,West,Yes,0.1337,281,6631,0.12398,0.14237
1,1,1996,Owner,West,No,0.8663,1530,6631,0.83931,0.89194
2,2,1996,Owner,East,Yes,0.38873,231,6631,0.36359,0.4122
3,3,1996,Owner,East,No,0.61127,353,6631,0.57193,0.64614
4,4,1996,Tenant,West,Yes,0.11004,311,6631,0.10163,0.11832
5,5,1996,Tenant,West,No,0.88996,2671,6631,0.85799,0.91695
6,6,1996,Tenant,East,Yes,0.09657,122,6631,0.08634,0.10718
7,7,1996,Tenant,East,No,0.90343,1132,6631,0.8667,0.93372
8,8,2001,Owner,West,Yes,0.16376,744,11680,0.15836,0.16975
9,9,2001,Owner,West,No,0.83624,3420,11680,0.82061,0.85324
10,10,2001,Owner,East,Yes,0.37046,423,11680,0.35231,0.39015
11,11,2001,Owner,East,No,0.62954,680,11680,0.60155,0.65798
12,12,2001,Tenant,West,Yes,0.11259,552,11680,0.10722,0.11833
13,13,2001,Tenant,West,No,0.88741,4121,11680,0.86851,0.90404
14,14,2001,Tenant,East,Yes,0.13475,241,11680,0.12479,0.14656
15,15,2001,Tenant,East,No,0.86525,1499,11680,0.84116,0.88875
16,16,2006,Owner,West,Yes,0.15729,817,12263,0.14723,0.16584
17,17,2006,Owner,West,No,0.84271,3977,12263,0.82294,0.85995
18,18,2006,Owner,East,Yes,0.31184,387,12263,0.28818,0.33406
19,19,2006,Owner,East,No,0.68816,822,12263,0.64901,0.73009
20,20,2006,Tenant,West,Yes,0.1272,623,12263,0.11977,0.13389
21,21,2006,Tenant,West,No,0.8728,3919,12263,0.85369,0.89077
22,22,2006,Tenant,East,Yes,0.14066,267,12263,0.12819,0.15289
23,23,2006,Tenant,East,No,0.85934,1451,12263,0.82998,0.89082
24,24,2011,Owner,West,Yes,0.15927,833,12084,0.15064,0.17077
25,25,2011,Owner,West,No,0.84073,3949,12084,0.81795,0.85772
26,26,2011,Owner,East,Yes,0.3043,364,12084,0.27338,0.33033
27,27,2011,Owner,East,No,0.6957,798,12084,0.64837,0.74585
28,28,2011,Tenant,West,Yes,0.12873,656,12084,0.11802,0.1382
29,29,2011,Tenant,West,No,0.87127,3754,12084,0.84797,0.89405
30,30,2011,Tenant,East,Yes,0.12932,255,12084,0.11428,0.14398
31,31,2011,Tenant,East,No,0.87068,1475,12084,0.83267,0.9156
32,32,2016,Owner,West,Yes,0.15425,953,14301,0.14337,0.16593
33,33,2016,Owner,West,No,0.84575,4193,14301,0.81871,0.86945
34,34,2016,Owner,East,Yes,0.3206,376,14301,0.29087,0.35713
35,35,2016,Owner,East,No,0.6794,780,14301,0.63333,0.7327
36,36,2016,Tenant,West,Yes,0.13528,924,14301,0.12406,0.14452
37,37,2016,Tenant,West,No,0.86472,5157,14301,0.83587,0.88794
38,38,2016,Tenant,East,Yes,0.14893,346,14301,0.13234,0.16976
39,39,2016,Tenant,East,No,0.85107,1572,14301,0.80295,0.89989
40,40,2021,Owner,West,Yes,0.16748,792,11051,0.15453,0.18289
41,41,2021,Owner,West,No,0.83252,3335,11051,0.79898,0.86423
42,42,2021,Owner,East,Yes,0.28182,310,11051,0.23421,0.31644
43,43,2021,Owner,East,No,0.71818,643,11051,0.63906,0.79315
44,44,2021,Tenant,West,Yes,0.1485,750,11051,0.13492,0.16201
45,45,2021,Tenant,West,No,0.8515,3784,11051,0.81561,0.88379
46,46,2021,Tenant,East,Yes,0.15017,248,11051,0.1252,0.17657
47,47,2021,Tenant,East,No,0.84983,1189,11051,0.7967,0.90765
