year,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,Yes,0.16600,512,2395,0.15110,0.18091
1996,Owner,No,0.83400,1883,2395,0.81909,0.84890
1996,Tenant,Yes,0.10705,433,4236,0.09774,0.11636
1996,Tenant,No,0.89295,3803,4236,0.88364,0.90226
2001,Owner,Yes,0.19412,1167,5267,0.18344,0.20480
2001,Owner,No,0.80588,4100,5267,0.79520,0.81656
2001,Tenant,Yes,0.11734,793,6413,0.10946,0.12521
2001,Tenant,No,0.88266,5620,6413,0.87479,0.89054
2006,Owner,Yes,0.17993,1204,6003,0.17021,0.18965
2006,Owner,No,0.82007,4799,6003,0.81035,0.82979
2006,Tenant,Yes,0.13009,890,6260,0.12175,0.13842
2006,Tenant,No,0.86991,5370,6260,0.86158,0.87825
2011,Owner,Yes,0.17953,1197,5944,0.16977,0.18929
2011,Owner,No,0.82047,4747,5944,0.81071,0.83023
2011,Tenant,Yes,0.12888,911,6140,0.12050,0.13726
2011,Tenant,No,0.87112,5229,6140,0.86274,0.87950
2016,Owner,Yes,0.17756,1329,6302,0.16813,0.18700
2016,Owner,No,0.82244,4973,6302,0.81300,0.83187
2016,Tenant,Yes,0.13776,1270,7999,0.13021,0.14532
2016,Tenant,No,0.86224,6729,7999,0.85468,0.86979
2021,Owner,Yes,0.18361,1102,5080,0.17296,0.19426
2021,Owner,No,0.81639,3978,5080,0.80574,0.82704
2021,Tenant,Yes,0.14815,998,5971,0.13914,0.15716
2021,Tenant,No,0.85185,4973,5971,0.84284,0.86086
