,Unnamed: 0,year,bula_h,regtyp,pet_cat,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1996,Schleswig-Holstein,Urban regions,No,1.0,61,6442,0.83226,1.18307
1,1,1996,Schleswig-Holstein,Rural regions,No,1.0,66,6442,0.88372,1.1081
2,2,1996,Hamburg,Urban regions,No,1.0,72,6442,0.86586,1.1458
3,3,1996,Lower Saxony,Urban regions,No,1.0,257,6442,0.91317,1.07776
4,4,1996,Lower Saxony,Rural regions,Yes,0.15491,39,6442,0.12282,0.18864
5,5,1996,Lower Saxony,Rural regions,No,0.84509,214,6442,0.77995,0.91705
6,6,1996,Bremen,Urban regions,No,1.0,46,6442,0.88018,1.17351
7,7,1996,North Rhine-Westphalia,Urban regions,Yes,0.10943,139,6442,0.09805,0.12245
8,8,1996,North Rhine-Westphalia,Urban regions,No,0.89057,1118,6442,0.85064,0.93138
9,9,1996,Hesse,Urban regions,Yes,0.11988,40,6442,0.09597,0.14959
10,10,1996,Hesse,Urban regions,No,0.88012,353,6442,0.78276,0.95059
11,11,1996,Hesse,Rural regions,No,1.0,64,6442,0.83837,1.16208
12,12,1996,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.16182,46,6442,0.13538,0.18878
13,13,1996,"Rhineland-Palatinate, Saarland",Urban regions,No,0.83818,242,6442,0.76662,0.92442
14,14,1996,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,47,6442,0.80429,1.19424
15,15,1996,Baden-Wuerttemberg,Urban regions,Yes,0.11629,81,6442,0.09949,0.13627
16,16,1996,Baden-Wuerttemberg,Urban regions,No,0.88371,653,6442,0.83603,0.94266
17,17,1996,Baden-Wuerttemberg,Rural regions,No,1.0,93,6442,0.81135,1.19293
18,18,1996,Bavaria,Urban regions,Yes,0.10025,44,6442,0.08141,0.12071
19,19,1996,Bavaria,Urban regions,No,0.89975,386,6442,0.82653,0.96719
20,20,1996,Bavaria,Rural regions,Yes,0.14808,75,6442,0.13597,0.15975
21,21,1996,Bavaria,Rural regions,No,0.85192,356,6442,0.78262,0.91111
